symbol,bar_date,p_open,p_high,p_low,p_close,p_vol,a_open,a_high,a_low,a_close,a_vol,d_open,d_high,d_low,d_close,d_vol
LHX,2024-12-30,210.06,211.22,208.3518,208.94,811710.0,210.06,211.22,208.3518,208.94,811710.0,0.0,0.0,0.0,0.0,0.0
SMTI,2024-12-30,33.3,33.43,32.04,33.19,24150.0,33.3,33.43,32.04,33.19,24150.0,0.0,0.0,0.0,0.0,0.0
AMLP,2024-12-30,47.88,48.22,47.47,48.01,852554.0,47.88,48.22,47.47,48.01,852554.0,0.0,0.0,0.0,0.0,0.0
MITN,2024-12-30,25.11,25.1445,25.11,25.11,6239.0,25.11,25.1445,25.11,25.11,6239.0,0.0,0.0,0.0,0.0,0.0
NVDX,2024-11-08,20.52,20.795,19.82,20.17,10021774.0,20.52,20.795,19.82,20.17,10021774.0,0.0,0.0,0.0,0.0,0.0
PRDO,2024-12-30,26.1,26.44,25.95,26.23,236966.0,26.1,26.44,25.95,26.23,236966.0,0.0,0.0,0.0,0.0,0.0
KC,2024-11-11,4.18,4.8,4.15,4.8,4405565.0,4.18,4.8,4.15,4.8,4405565.0,0.0,0.0,0.0,0.0,0.0
LBTYA,2024-12-30,12.32,12.57,12.18,12.53,2564069.0,12.32,12.57,12.18,12.53,2564069.0,0.0,0.0,0.0,0.0,0.0
BPYPM,2024-12-30,15.5,15.5,15.25,15.39,34102.0,15.5,15.5,15.25,15.39,34102.0,0.0,0.0,0.0,0.0,0.0
PLTK,2024-12-31,7.07,7.1487,6.91,6.94,727781.0,7.07,7.1487,6.91,6.94,727781.0,0.0,0.0,0.0,0.0,0.0
SMR,2024-11-22,28.4,30.84,27.75,30.21,11893204.0,28.4,30.84,27.75,30.21,11893204.0,0.0,0.0,0.0,0.0,0.0
TDIV,2024-12-31,79.04,79.117,78.32,78.46,102324.0,79.04,79.117,78.32,78.46,102324.0,0.0,0.0,0.0,0.0,0.0
FINT,2024-12-30,24.975,25.08,24.9437,25.0405,6539.0,24.975,25.08,24.9437,25.0405,6539.0,0.0,0.0,0.0,0.0,0.0
CMCSA,2024-12-31,37.31,37.595,37.235,37.53,13705293.0,37.31,37.595,37.235,37.53,13705293.0,0.0,0.0,0.0,0.0,0.0
IJJ,2024-12-30,124.27,124.755,123.03,124.17,185772.0,124.27,124.755,123.03,124.17,185772.0,0.0,0.0,0.0,0.0,0.0
WNW,2024-12-30,2.2,3.02,2.0,2.02,2786331.0,2.2,3.02,2.0,2.02,2786331.0,0.0,0.0,0.0,0.0,0.0
ARQT,2024-12-30,14.34,14.6409,13.91,14.2,1651330.0,14.34,14.6409,13.91,14.2,1651330.0,0.0,0.0,0.0,0.0,0.0
TTI,2024-12-31,3.55,3.66,3.54,3.58,600075.0,3.55,3.66,3.54,3.58,600075.0,0.0,0.0,0.0,0.0,0.0
OPTX,2024-11-18,1.11,1.13,0.99,0.9901,108075.0,1.11,1.13,0.99,0.9901,108075.0,0.0,0.0,0.0,0.0,0.0
MOB,2024-11-29,1.53,1.89,1.5,1.86,858562.0,1.53,1.89,1.5,1.86,858562.0,0.0,0.0,0.0,0.0,0.0
MFSB,2024-12-31,24.56,24.5876,24.51,24.5876,15830.0,24.56,24.5876,24.51,24.5876,15830.0,0.0,0.0,0.0,0.0,0.0
SPY,2024-11-15,589.72,590.2,583.86,585.75,75988766.0,589.72,590.2,583.86,585.75,75988766.0,0.0,0.0,0.0,0.0,0.0
SMID,2024-12-30,45.37,46.1861,43.52,43.86,8435.0,45.37,46.1861,43.52,43.86,8435.0,0.0,0.0,0.0,0.0,0.0
JNUG,2024-12-31,35.29,36.65,35.29,36.49,359434.0,35.29,36.65,35.29,36.49,359434.0,0.0,0.0,0.0,0.0,0.0
STM,2024-12-12,26.05,26.34,26.0,26.23,3978744.0,26.05,26.34,26.0,26.23,3978744.0,0.0,0.0,0.0,0.0,0.0
SIXL,2024-12-31,37.035,37.3,36.987,37.3,2529.0,37.035,37.3,36.987,37.3,2529.0,0.0,0.0,0.0,0.0,0.0
COPY,2024-12-30,10.02,10.03,9.9588,10.0053,37956.0,10.02,10.03,9.9588,10.0053,37956.0,0.0,0.0,0.0,0.0,0.0
RLAY,2024-12-30,4.3,4.3,4.16,4.18,1535553.0,4.3,4.3,4.16,4.18,1535553.0,0.0,0.0,0.0,0.0,0.0
GEGGL,2024-12-30,23.55,24.2953,23.55,23.57,651.0,23.55,24.2953,23.55,23.57,651.0,0.0,0.0,0.0,0.0,0.0
AMPX,2024-11-20,2.13,2.1302,1.87,1.93,1971597.0,2.13,2.1302,1.87,1.93,1968950.0,0.0,0.0,0.0,0.0,0.13443713654486267
EEX,2024-12-31,4.81,4.93,4.81,4.82,121021.0,4.81,4.93,4.81,4.82,121021.0,0.0,0.0,0.0,0.0,0.0
RACE,2024-12-30,428.25,429.3,424.945,426.77,150257.0,428.25,429.3,424.945,426.77,150257.0,0.0,0.0,0.0,0.0,0.0
BHC,2024-12-31,7.76,8.26,7.7,8.06,2489100.0,7.76,8.26,7.7,8.06,2489100.0,0.0,0.0,0.0,0.0,0.0
THO,2024-12-31,94.75,96.525,94.75,95.71,394608.0,94.75,96.525,94.75,95.71,394608.0,0.0,0.0,0.0,0.0,0.0
ACSI,2024-12-30,61.24,61.25,61.1089,61.1089,283.0,61.24,61.25,61.1089,61.1089,283.0,0.0,0.0,0.0,0.0,0.0
DFIS,2024-12-30,24.48,24.61,24.357,24.52,350206.0,24.48,24.61,24.357,24.52,350206.0,0.0,0.0,0.0,0.0,0.0
MSTU,2024-12-10,139.71,142.973,125.79,141.62,3829269.0,139.71,142.973,125.79,141.62,3829269.0,0.0,0.0,0.0,0.0,0.0
CWI,2024-12-30,27.97,28.015,27.79,27.94,319381.0,27.97,28.015,27.79,27.94,319381.0,0.0,0.0,0.0,0.0,0.0
UMMA,2024-12-31,23.66,23.7046,23.5,23.64,32368.0,23.66,23.7046,23.5,23.64,32368.0,0.0,0.0,0.0,0.0,0.0
UTF,2024-12-30,23.77,23.91,23.63,23.89,317153.0,23.77,23.91,23.63,23.89,317153.0,0.0,0.0,0.0,0.0,0.0
SPXX,2024-12-31,17.84,17.87,17.69,17.75,112635.0,17.84,17.87,17.69,17.75,112635.0,0.0,0.0,0.0,0.0,0.0
JTEK,2024-12-30,76.16,77.11,75.64,76.56,80188.0,76.16,77.11,75.64,76.56,80188.0,0.0,0.0,0.0,0.0,0.0
APM,2024-12-06,0.76,0.76,0.6801,0.7588,9864.0,0.76,0.76,0.6801,0.7588,9864.0,0.0,0.0,0.0,0.0,0.0
KOF,2024-12-31,77.76,78.31,77.47,77.89,80453.0,77.76,78.31,77.47,77.89,80453.0,0.0,0.0,0.0,0.0,0.0
GHY,2024-12-30,12.44,12.46,12.355,12.4,181238.0,12.44,12.46,12.355,12.4,181238.0,0.0,0.0,0.0,0.0,0.0
FPA,2024-12-30,27.5734,27.5734,27.5734,27.5734,194.0,27.5734,27.5734,27.5734,27.5734,194.0,0.0,0.0,0.0,0.0,0.0
KNF,2024-12-31,103.12,103.8,101.23,101.64,296758.0,103.12,103.8,101.23,101.64,296758.0,0.0,0.0,0.0,0.0,0.0
ALDF,2024-12-31,0.0,0.0,0.0,0.0,1.0,9.93,9.93,9.93,9.93,0.0,-100.0,-100.0,-100.0,-100.0,inf
SPDN,2024-12-30,10.97,11.03,10.89,10.95,9189990.0,10.97,11.03,10.89,10.95,9189990.0,0.0,0.0,0.0,0.0,0.0
KORU,2024-12-19,3.97,3.99,3.87,3.89,2579913.0,3.97,3.99,3.87,3.89,2579913.0,0.0,0.0,0.0,0.0,0.0
KDP,2024-12-31,32.04,32.19,31.85,32.12,5259321.0,32.04,32.19,31.85,32.12,5259321.0,0.0,0.0,0.0,0.0,0.0
SPY,2024-12-17,604.19,605.17,602.885,604.29,55773545.0,604.19,605.17,602.885,604.29,55773545.0,0.0,0.0,0.0,0.0,0.0
PLTR,2024-12-31,77.58,77.9796,73.65,75.63,56267937.0,77.58,77.9796,73.65,75.63,56267937.0,0.0,0.0,0.0,0.0,0.0
THQ,2024-12-31,18.92,19.06,18.8425,18.87,193643.0,18.92,19.06,18.8425,18.87,193643.0,0.0,0.0,0.0,0.0,0.0
FTCS,2024-12-31,87.93,88.1039,87.5,87.82,246606.0,87.93,88.1039,87.5,87.82,246606.0,0.0,0.0,0.0,0.0,0.0
NRIX,2024-12-30,19.03,19.085,18.44,18.64,518696.0,19.03,19.085,18.44,18.64,518696.0,0.0,0.0,0.0,0.0,0.0
EPAM,2024-12-31,235.27,235.92,231.93,233.82,298197.0,235.27,235.92,231.93,233.82,298197.0,0.0,0.0,0.0,0.0,0.0
DIN,2024-12-30,30.37,30.7,29.735,30.41,410835.0,30.37,30.7,29.735,30.41,410835.0,0.0,0.0,0.0,0.0,0.0
MRNY,2024-11-11,6.15,6.15,5.5916,5.66,519219.0,6.15,6.15,5.5916,5.66,519219.0,0.0,0.0,0.0,0.0,0.0
CIEN,2024-12-31,85.11,85.38,84.38,84.81,1310461.0,85.11,85.38,84.38,84.81,1310461.0,0.0,0.0,0.0,0.0,0.0
STRS,2024-12-26,20.0,21.1399,20.0,20.53,4779.0,20.0,21.1399,20.0,20.53,4779.0,0.0,0.0,0.0,0.0,0.0
WLACU,2024-12-31,9.98,9.98,9.98,9.98,3105.0,9.98,9.98,9.98,9.98,3105.0,0.0,0.0,0.0,0.0,0.0
SPTS,2024-12-30,28.94,28.96,28.94,28.96,1053344.0,28.94,28.96,28.94,28.96,1053344.0,0.0,0.0,0.0,0.0,0.0
PMM,2024-12-30,5.99,6.06,5.94,5.97,366304.0,5.99,6.06,5.94,5.97,366304.0,0.0,0.0,0.0,0.0,0.0
GDOT,2024-12-31,10.55,10.665,10.4339,10.64,993654.0,10.55,10.665,10.4339,10.64,993654.0,0.0,0.0,0.0,0.0,0.0
APYX,2024-12-31,1.6,1.68,1.56,1.58,22732.0,1.6,1.68,1.56,1.58,22732.0,0.0,0.0,0.0,0.0,0.0
COMP,2024-12-19,6.07,6.15,5.92,5.98,5156151.0,6.07,6.15,5.92,5.98,5156151.0,0.0,0.0,0.0,0.0,0.0
ICG,2024-11-25,4.29,4.4,4.1112,4.3099,55050.0,4.29,4.4,4.1112,4.3099,55050.0,0.0,0.0,0.0,0.0,0.0
BHM,2024-12-30,13.23,13.23,13.23,13.23,630.0,13.23,13.23,13.23,13.23,630.0,0.0,0.0,0.0,0.0,0.0
BINV,2024-12-30,29.87,29.8999,29.66,29.825,26016.0,29.87,29.8999,29.66,29.825,26016.0,0.0,0.0,0.0,0.0,0.0
KTTAW,2024-12-31,0.037,0.037,0.0346,0.0346,19859.0,0.037,0.037,0.0346,0.0346,19859.0,0.0,0.0,0.0,0.0,0.0
MLCO,2024-12-30,5.8,5.85,5.6,5.6,2787172.0,5.8,5.85,5.6,5.6,2787172.0,0.0,0.0,0.0,0.0,0.0
ITGR,2024-12-30,133.06,134.318,131.75,133.58,103757.0,133.06,134.318,131.75,133.58,103757.0,0.0,0.0,0.0,0.0,0.0
SQFT,2024-12-30,0.77,0.8142,0.77,0.795,39741.0,0.77,0.8142,0.77,0.795,39741.0,0.0,0.0,0.0,0.0,0.0
TOKE,2024-12-30,5.0,5.08,4.95,5.0699,95434.0,5.0,5.08,4.95,5.0699,95434.0,0.0,0.0,0.0,0.0,0.0
DEED,2024-12-31,20.71,20.8,20.581,20.68,16771.0,20.71,20.8,20.581,20.68,16771.0,0.0,0.0,0.0,0.0,0.0
FG,2024-12-30,41.23,42.065,40.26,41.56,35139.0,41.23,42.065,40.26,41.56,35139.0,0.0,0.0,0.0,0.0,0.0
USNZ,2024-12-31,37.25,37.26,37.1758,37.1758,305.0,37.25,37.26,37.1758,37.1758,305.0,0.0,0.0,0.0,0.0,0.0
STFS,2024-12-31,7.47,8.1,7.08,7.08,676145.0,7.47,8.1,7.08,7.08,676145.0,0.0,0.0,0.0,0.0,0.0
INOV,2024-12-31,28.71,28.7195,28.62,28.63,33970.0,28.71,28.7195,28.62,28.63,33970.0,0.0,0.0,0.0,0.0,0.0
TLTE,2024-12-30,51.21,51.21,50.9723,51.08,3390.0,51.21,51.21,50.9723,51.08,3390.0,0.0,0.0,0.0,0.0,0.0
BBW,2024-12-31,47.08,47.24,45.47,46.04,379414.0,47.08,47.24,45.47,46.04,379414.0,0.0,0.0,0.0,0.0,0.0
YDEC,2024-12-31,22.64,22.65,22.5457,22.57,23264.0,22.64,22.65,22.5457,22.57,23264.0,0.0,0.0,0.0,0.0,0.0
URE,2024-12-30,61.43,62.0,60.45,61.48,23678.0,61.43,62.0,60.45,61.48,23678.0,0.0,0.0,0.0,0.0,0.0
LEXX,2024-12-31,2.15,2.21,2.02,2.1,374996.0,2.15,2.21,2.02,2.1,374996.0,0.0,0.0,0.0,0.0,0.0
VECO,2024-11-22,26.54,27.42,26.53,27.4,721976.0,26.54,27.42,26.53,27.4,721976.0,0.0,0.0,0.0,0.0,0.0
NVA,2024-12-31,14.49,14.49,13.7717,13.83,14991.0,14.49,14.49,13.7717,13.83,14991.0,0.0,0.0,0.0,0.0,0.0
BYND,2024-12-31,3.88,3.93,3.63,3.76,4096841.0,3.88,3.93,3.63,3.76,4096841.0,0.0,0.0,0.0,0.0,0.0
GUG,2024-12-31,14.97,14.9799,14.78,14.87,191595.0,14.97,14.9799,14.78,14.87,191595.0,0.0,0.0,0.0,0.0,0.0
BRZE,2024-12-31,42.7,42.91,41.41,41.88,975590.0,42.7,42.91,41.41,41.88,975590.0,0.0,0.0,0.0,0.0,0.0
SPY,2024-08-29,560.31,563.68,557.18,558.35,38715176.0,560.31,563.68,557.18,558.35,38715176.0,0.0,0.0,0.0,0.0,0.0
SCHL,2024-12-31,21.06,21.64,21.06,21.33,337571.0,21.06,21.64,21.06,21.33,337571.0,0.0,0.0,0.0,0.0,0.0
U,2024-11-11,20.5,20.51,19.72,20.2,16543971.0,20.5,20.51,19.72,20.2,16543971.0,0.0,0.0,0.0,0.0,0.0
AMPX,2024-11-05,1.21,1.3,1.205,1.28,1396159.0,1.21,1.3,1.205,1.28,1396159.0,0.0,0.0,0.0,0.0,0.0
TMET,2024-12-31,21.47,21.47,21.39,21.39,997.0,21.47,21.47,21.39,21.39,997.0,0.0,0.0,0.0,0.0,0.0
CGCB,2024-12-31,25.85,25.85,25.755,25.79,1756565.0,25.85,25.85,25.755,25.79,1756565.0,0.0,0.0,0.0,0.0,0.0
SRZNW,2024-12-31,0.021,0.025,0.0141,0.0214,383857.0,0.021,0.025,0.0141,0.0214,383857.0,0.0,0.0,0.0,0.0,0.0
ARQQ,2024-11-25,14.98,20.93,14.6,17.73,2851756.0,14.98,20.93,14.6,17.73,2851756.0,0.0,0.0,0.0,0.0,0.0
XMLV,2024-12-31,60.89,61.112,60.74,60.82,18191.0,60.89,61.112,60.74,60.82,18191.0,0.0,0.0,0.0,0.0,0.0
HYLN,2024-12-31,2.6,2.73,2.57,2.61,1102819.0,2.6,2.73,2.57,2.61,1102819.0,0.0,0.0,0.0,0.0,0.0
CWK,2024-11-12,14.99,15.16,14.575,14.62,1585985.0,14.99,15.16,14.575,14.62,1585985.0,0.0,0.0,0.0,0.0,0.0
PERF,2024-12-31,3.35,3.44,2.43,2.83,781944.0,3.35,3.44,2.43,2.83,781944.0,0.0,0.0,0.0,0.0,0.0
FTSD,2024-12-31,90.3535,90.43,90.1901,90.26,49174.0,90.3535,90.43,90.1901,90.26,49174.0,0.0,0.0,0.0,0.0,0.0
ARTV,2024-12-30,10.9,10.9,10.44,10.58,36709.0,10.9,10.9,10.44,10.58,36709.0,0.0,0.0,0.0,0.0,0.0
PRM,2024-11-12,13.99,13.99,11.75,12.23,2366280.0,13.99,13.99,11.75,12.23,2366280.0,0.0,0.0,0.0,0.0,0.0
MATW,2024-12-30,27.29,27.88,27.12,27.69,115006.0,27.29,27.88,27.12,27.69,115006.0,0.0,0.0,0.0,0.0,0.0
NEOG,2024-12-31,12.47,12.6562,12.08,12.14,1770885.0,12.47,12.6562,12.08,12.14,1770885.0,0.0,0.0,0.0,0.0,0.0
GRAB,2024-12-31,4.72,4.77,4.65,4.72,15072367.0,4.72,4.77,4.65,4.72,15072367.0,0.0,0.0,0.0,0.0,0.0
IZRL,2024-12-30,22.07,22.2962,21.9126,22.23,17694.0,22.07,22.2962,21.9126,22.23,17694.0,0.0,0.0,0.0,0.0,0.0
OTLY,2024-12-31,0.6341,0.6941,0.6341,0.6628,4059817.0,0.6341,0.6941,0.6341,0.6628,4059817.0,0.0,0.0,0.0,0.0,0.0
CLOB,2024-12-30,50.61,50.61,50.6,50.61,921.0,50.61,50.61,50.6,50.61,921.0,0.0,0.0,0.0,0.0,0.0
PSIX,2024-12-30,27.19,31.35,26.6526,30.3,298781.0,27.19,31.35,26.6526,30.3,298781.0,0.0,0.0,0.0,0.0,0.0
PRM,2024-12-05,12.82,12.95,12.585,12.72,608152.0,12.82,12.95,12.585,12.72,608152.0,0.0,0.0,0.0,0.0,0.0
SOUN,2024-11-29,8.02,9.53,7.905,9.31,71312671.0,8.02,9.53,7.905,9.31,71312671.0,0.0,0.0,0.0,0.0,0.0
BDMDW,2024-12-31,0.0495,0.3199,0.0307,0.205,2230370.0,0.0495,0.3199,0.0307,0.205,2230370.0,0.0,0.0,0.0,0.0,0.0
FVR,2024-12-30,18.1,18.18,17.8,17.95,118633.0,18.1,18.18,17.8,17.95,118633.0,0.0,0.0,0.0,0.0,0.0
VCLN,2024-12-30,16.79,16.8831,16.79,16.8831,434.0,16.79,16.8831,16.79,16.8831,434.0,0.0,0.0,0.0,0.0,0.0
ISCB,2024-12-31,59.1347,59.1347,58.646,58.6644,4676.0,59.1347,59.1347,58.646,58.6644,4676.0,0.0,0.0,0.0,0.0,0.0
CMTL,2024-11-21,3.06,3.23,3.02,3.16,420649.0,3.06,3.23,3.02,3.16,420649.0,0.0,0.0,0.0,0.0,0.0
JZXN,2024-12-30,1.4,1.5449,1.34,1.44,86907.0,1.4,1.5449,1.34,1.44,86907.0,0.0,0.0,0.0,0.0,0.0
DAPR,2024-12-31,37.3599,37.3599,37.19,37.2093,9278.0,37.3599,37.3599,37.19,37.2093,9278.0,0.0,0.0,0.0,0.0,0.0
AMPG,2024-11-15,0.89,0.98,0.8518,0.8803,96820.0,0.89,0.98,0.8518,0.8803,96820.0,0.0,0.0,0.0,0.0,0.0
PULT,2024-12-30,50.41,50.42,50.4,50.42,12025.0,50.41,50.42,50.4,50.42,12025.0,0.0,0.0,0.0,0.0,0.0
EOLS,2024-12-19,11.14,11.35,10.64,10.87,772599.0,11.14,11.35,10.64,10.87,772599.0,0.0,0.0,0.0,0.0,0.0
SMST,2024-12-31,6.99,8.575,6.91,8.34,24146882.0,6.99,8.575,6.91,8.34,24146882.0,0.0,0.0,0.0,0.0,0.0
YPF,2024-12-31,42.62,43.24,42.315,42.51,877819.0,42.62,43.24,42.315,42.51,877819.0,0.0,0.0,0.0,0.0,0.0
DFAW,2024-12-31,62.62,62.8199,62.3,62.46,49516.0,62.62,62.8199,62.3,62.46,49516.0,0.0,0.0,0.0,0.0,0.0
APM,2024-12-13,0.7333,0.7997,0.7333,0.7667,11128.0,0.7333,0.7997,0.7333,0.7667,11128.0,0.0,0.0,0.0,0.0,0.0
SKIN,2024-12-31,1.63,1.675,1.57,1.59,434562.0,1.63,1.675,1.57,1.59,434562.0,0.0,0.0,0.0,0.0,0.0
VECO,2024-11-08,28.8,29.22,28.43,28.68,694572.0,28.8,29.22,28.43,28.68,694572.0,0.0,0.0,0.0,0.0,0.0
BTBT,2024-12-03,4.34,4.6,4.28,4.35,14885269.0,4.34,4.6,4.28,4.35,14885269.0,0.0,0.0,0.0,0.0,0.0
NVDA,2024-12-31,138.03,138.07,133.83,134.29,155659211.0,138.03,138.07,133.83,134.29,155659211.0,0.0,0.0,0.0,0.0,0.0
FSZ,2024-12-31,62.74,62.74,62.74,62.74,116.0,62.74,62.74,62.74,62.74,116.0,0.0,0.0,0.0,0.0,0.0
EVMT,2024-12-30,14.68,14.75,14.52,14.72,2665.0,14.68,14.75,14.52,14.72,2665.0,0.0,0.0,0.0,0.0,0.0
DHT,2024-11-05,10.15,10.2,9.97,10.03,1158689.0,10.15,10.2,9.97,10.03,1158689.0,0.0,0.0,0.0,0.0,0.0
SER,2024-12-31,5.0,5.11,4.78,5.01,14734.0,5.0,5.11,4.78,5.01,14734.0,0.0,0.0,0.0,0.0,0.0
HYD,2024-12-31,51.78,51.91,51.76,51.91,781091.0,51.78,51.91,51.76,51.91,781091.0,0.0,0.0,0.0,0.0,0.0
COGT,2024-11-26,9.19,9.7,9.06,9.625,827329.0,9.19,9.7,9.06,9.625,827329.0,0.0,0.0,0.0,0.0,0.0
IPGP,2024-12-31,72.67,73.215,71.5615,72.72,162362.0,72.67,73.215,71.5615,72.72,162362.0,0.0,0.0,0.0,0.0,0.0
FRO,2024-12-09,15.32,15.735,15.2,15.22,3180480.0,15.32,15.735,15.2,15.22,3180480.0,0.0,0.0,0.0,0.0,0.0
NNOX,2024-12-30,7.43,7.61,6.995,7.52,2401207.0,7.43,7.61,6.995,7.52,2401207.0,0.0,0.0,0.0,0.0,0.0
MUU,2024-12-17,27.34,27.71,26.34,26.82,922748.0,27.34,27.71,26.34,26.82,922748.0,0.0,0.0,0.0,0.0,0.0
CSTL,2024-12-30,26.65,26.79,25.82,26.66,177348.0,26.65,26.79,25.82,26.66,177348.0,0.0,0.0,0.0,0.0,0.0
RR,2024-12-30,2.83,3.77,2.38,3.49,37516139.0,2.83,3.77,2.38,3.49,37516139.0,0.0,0.0,0.0,0.0,0.0
CCO,2024-12-30,1.34,1.43,1.33,1.4,1173102.0,1.34,1.43,1.33,1.4,1173102.0,0.0,0.0,0.0,0.0,0.0
BXP,2024-12-30,73.97,74.5,72.87,74.17,616460.0,73.97,74.5,72.87,74.17,616460.0,0.0,0.0,0.0,0.0,0.0
MBLY,2024-11-20,16.8,17.565,16.72,16.92,5353086.0,16.8,17.565,16.72,16.92,5345091.0,0.0,0.0,0.0,0.0,0.1495764992588633
