symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry
CTEV,2025-01-13,09:36:00,14.82,14.45,15.22,5750,09:38:00,14.41,stop,-2398.32,-2.81,4,0.3737,0.4000,2.50,2149.06,15.40,22.61,2,5143,1612,1.9899,14.46,14.61,14.75,14.89,14.69,14.89,916,13.02,15.21,12.76,14.70,416147,19.20,173680,2.40,,5367883,66,1,4.28,5.53,False,0.02,2,15.40,5.55,2.30,2.00,0.00,0.30,0.30,0.30,0.20,2.300,1.356,0.20,0.00,15.40
EWCZ,2025-01-13,10:02:00,6.78,6.67,7.00,11294,10:03:00,6.65,stop,-1566.99,-2.05,4,0.1187,0.2125,2.50,1341.16,5.26,36.76,3,11130,5348,0.3400,6.67,6.75,6.75,6.75,6.70,6.70,12902,6.06,6.80,5.80,6.31,1035806,17.24,754795,1.37,,24439658,92,1,4.61,-0.81,False,0.02,2,5.26,4.26,2.40,2.00,0.30,0.30,0.30,0.30,0.00,2.400,1.356,0.20,0.00,13.33
KULR,2025-01-13,09:49:00,2.03,1.94,2.23,6999,10:13:00,1.93,stop,-671.34,-4.72,28,0.0901,0.2000,2.50,630.61,10.50,26.32,2,736420,324986,0.1900,1.95,2.02,1.99,2.03,1.99,2.03,235001,2.13,2.25,1.81,2.21,31375892,24.31,37015704,0.85,,43203756,79,1,0.48,-7.08,False,0.02,2,10.50,1.03,2.80,1.00,0.00,0.00,0.30,0.30,0.20,2.800,1.356,0.00,0.00,23.76
STIM,2025-01-13,09:37:00,2.20,2.12,2.39,10213,09:40:00,2.47,trail_stop,2713.37,12.07,6,0.0859,0.1875,2.50,877.81,14.66,23.21,2,24499,11856,0.2800,2.12,2.19,2.19,2.31,2.19,2.30,26238,1.95,2.80,1.76,2.34,10421604,59.18,283726,36.73,,28677738,67,1,4.73,14.04,False,0.02,2,14.66,3.67,2.30,1.80,0.00,0.30,0.30,0.30,0.20,2.300,1.356,0.20,0.00,26.32
FGL,2025-01-14,10:09:00,2.51,2.45,2.65,11781,10:23:00,2.44,stop,-881.63,-2.98,16,0.0675,0.1375,2.50,795.22,6.16,31.03,2,22769,12846,0.1450,2.46,2.50,2.49,2.50,2.47,2.47,15068,2.09,2.55,1.88,1.94,1104848,35.63,1299532,0.85,,154787,99,1,5.58,1.46,False,-0.09,2,6.16,5.79,1.80,1.80,0.30,0.00,0.30,0.00,0.00,1.800,1.104,0.20,0.00,20.98
ARQQ,2025-01-15,08:46:00,22.26,21.72,22.94,1703,09:30:00,24.50,exhaust+trail_stop,3861.02,10.18,32,0.5407,0.6750,2.50,920.90,6.42,12.12,5,4050,2273,1.3200,21.73,21.99,22.15,22.19,22.15,22.19,824,24.85,25.41,20.08,20.59,1335901,26.54,941888,1.42,,5326954,16,4,2.63,13.02,False,-0.05,2,6.42,3.81,2.30,1.00,0.30,0.30,0.30,0.00,0.20,2.300,1.180,0.20,0.00,21.88
EVTL,2025-01-15,09:40:00,9.33,9.12,9.73,4934,10:09:00,9.46,trail_stop,663.65,1.44,28,0.2085,0.4052,2.50,1028.79,5.37,21.28,2,5423,1628,0.4700,9.13,9.28,9.25,9.40,9.25,9.40,2657,8.60,10.65,8.50,10.46,299130,25.29,340606,0.88,,23689956,70,1,4.83,0.50,False,-0.05,2,5.37,4.84,2.00,2.00,0.30,0.00,0.30,0.00,0.20,2.000,1.180,0.20,0.00,14.59
MASS,2025-01-15,10:08:00,2.61,2.57,2.69,7833,10:12:00,2.68,trail_stop,516.50,2.52,6,0.0430,0.0750,2.50,336.82,4.84,16.67,2,4869,4548,0.1200,2.58,2.60,2.58,2.64,2.58,2.62,21984,2.52,3.09,2.41,2.91,12218944,28.22,391675,31.20,,23011847,98,1,1.35,20.20,False,-0.05,3,4.84,1.81,1.80,1.00,0.30,0.30,0.00,0.00,0.20,1.800,1.180,0.00,0.00,35.35
COEP,2025-01-16,09:54:00,10.00,9.72,10.36,4688,10:13:00,9.70,stop,-1424.80,-3.04,13,0.2747,0.3625,2.50,1288.03,3.16,21.67,2,1527,865,0.3000,9.73,9.87,9.95,9.95,9.80,9.83,1049,9.27,10.00,8.55,9.56,114119,16.96,414124,0.28,,5253083,84,1,2.96,0.22,False,-0.09,2,3.16,4.09,1.70,2.00,0.00,0.00,0.30,0.00,0.20,1.700,1.023,0.20,0.00,16.37
SPHL,2025-01-16,10:39:00,3.75,3.59,4.13,3373,11:39:00,3.94,trail_stop,628.71,4.97,35,0.1681,0.3735,2.50,566.92,4.05,7.50,2,3887,2200,0.1400,3.59,3.73,3.72,3.74,3.72,3.74,1259,3.33,4.12,2.93,3.51,198774,40.57,500712,0.40,,943937,129,1,11.74,1.71,False,-0.09,2,4.05,11.49,1.40,1.80,0.00,-0.30,0.30,0.00,0.20,1.400,1.023,0.20,0.00,27.43
XGN,2025-01-17,10:43:00,3.54,3.41,3.73,7206,10:55:00,3.65,trail_stop,795.45,3.12,13,0.1281,0.1943,2.50,923.19,3.31,7.00,3,1828,595,0.1100,3.42,3.49,3.52,3.59,3.52,3.58,2334,3.08,4.09,3.04,3.99,817617,34.54,213103,3.84,,16167503,133,1,4.16,0.65,False,-0.05,3,3.31,5.27,1.40,2.00,0.00,-0.30,0.30,0.00,0.20,1.400,0.845,0.20,0.00,16.77
DWTX,2025-01-27,10:35:00,17.38,16.60,19.11,883,10:37:00,16.55,stop,-730.99,-4.76,8,0.7781,1.7290,2.50,687.02,23.94,50.00,4,141722,118901,3.3400,15.62,17.29,16.21,17.49,16.21,17.31,217730,9.40,21.78,9.40,17.40,15118929,131.70,9132720,1.66,,4799469,125,1,17.01,-15.79,False,0.28,3,23.94,16.01,1.70,1.80,0.00,0.00,0.00,-0.50,0.00,1.700,0.587,0.20,0.00,83.94
ZNTL,2025-01-29,09:42:00,2.38,2.28,2.62,8353,09:48:00,2.27,stop,-947.86,-4.76,8,0.1067,0.2370,2.50,890.85,10.95,34.78,3,198196,100054,0.2300,2.25,2.37,2.31,2.37,2.29,2.35,104539,1.77,2.37,1.76,1.89,12472223,34.65,2304151,5.41,,48666479,72,1,10.97,-26.25,False,-0.02,3,10.95,11.02,2.20,1.80,0.00,-0.30,0.30,0.00,0.00,2.200,0.955,0.20,0.00,33.90
DOMH,2025-01-31,10:23:00,3.62,3.49,3.81,6988,10:39:00,3.80,trail_stop,1240.92,4.91,18,0.1330,0.1875,2.50,929.40,6.47,47.99,5,4767,1764,0.2188,3.50,3.56,3.60,3.60,3.60,3.60,351,3.76,4.35,3.25,3.49,1342813,33.85,349427,3.84,,9239991,113,4,-9.40,-2.23,False,0.01,3,6.47,-7.92,2.90,1.00,0.30,0.30,0.30,0.00,0.00,2.900,1.053,0.00,0.00,30.63
CPIX,2025-02-05,09:39:00,4.44,4.24,4.88,3392,09:43:00,4.65,trail_stop,695.08,4.61,7,0.1989,0.4420,2.50,674.67,14.58,37.50,3,371480,360047,0.5600,4.19,4.42,4.34,4.44,4.23,4.26,501202,3.84,6.43,3.84,5.08,60248270,67.45,1357654,44.38,,8723752,69,2,5.40,6.12,False,-0.01,3,14.58,5.59,1.50,2.00,0.00,0.00,0.00,0.30,0.00,1.500,1.328,0.20,0.00,16.62
DUOT,2025-02-05,09:39:00,7.46,7.12,8.20,2022,09:42:00,7.10,stop,-728.61,-4.83,5,0.3390,0.7415,2.50,685.43,10.33,44.60,3,4556,3811,0.6949,7.11,7.41,7.42,7.42,7.27,7.27,5490,6.74,7.95,6.65,7.28,573681,19.55,164084,3.50,,25986212,69,1,5.18,1.87,False,-0.01,3,10.33,5.37,1.50,2.00,0.00,0.00,0.00,0.30,0.00,1.500,1.328,0.20,0.00,13.86
BFRG,2025-02-10,10:28:00,3.50,3.40,3.69,4050,10:34:00,3.61,trail_stop,467.08,3.30,8,0.0964,0.1975,2.50,390.42,5.79,31.05,4,37464,5293,0.1900,3.41,3.48,3.46,3.48,3.44,3.44,6799,3.22,4.35,3.20,3.36,14154888,35.92,690024,20.51,,10223833,118,4,-0.78,15.03,False,-0.06,2,5.79,-0.28,1.60,1.00,0.30,0.00,0.30,0.00,0.00,1.600,0.983,0.00,0.00,31.82
DOMH,2025-02-10,10:12:00,4.18,4.06,4.43,3200,10:14:00,4.05,stop,-432.61,-3.23,4,0.1230,0.2500,2.50,393.64,5.30,47.62,3,12788,7512,0.2100,4.07,4.16,4.16,4.30,4.16,4.24,22118,3.90,6.50,3.74,6.16,23714849,73.98,467391,50.74,,9239991,102,1,-2.85,16.61,False,-0.06,2,5.30,-2.30,1.60,1.00,0.30,0.00,0.30,0.00,0.00,1.600,0.983,0.00,0.00,44.88
BFRG,2025-02-11,10:41:00,3.98,3.85,4.25,5458,10:49:00,3.84,stop,-770.94,-3.55,13,0.1297,0.2748,2.50,707.90,5.61,42.88,2,45999,38930,0.2099,3.86,3.96,3.90,3.96,3.90,3.91,17943,3.51,4.00,3.01,3.02,3563481,32.89,1386121,2.57,,10223833,131,6,7.56,4.46,False,0.07,2,5.61,7.82,1.50,2.00,0.30,0.00,0.00,0.00,0.00,1.500,0.813,0.20,0.00,17.26
RLGT,2025-02-11,09:40:00,7.94,7.79,8.19,4180,09:50:00,7.77,stop,-722.60,-2.18,12,0.1495,0.2503,2.50,624.91,5.87,31.82,3,5314,4363,0.4400,7.80,7.89,7.90,7.92,7.89,7.90,3941,7.45,7.94,7.15,7.17,414817,11.02,104503,3.97,,33890923,70,1,2.44,5.67,False,0.07,3,5.87,2.88,1.80,2.00,0.30,0.30,0.00,0.00,0.00,1.800,0.813,0.20,0.00,12.20
ASYS,2025-02-14,09:42:00,5.63,5.48,5.93,1468,09:51:00,5.46,stop,-245.94,-2.98,9,0.1511,0.3050,2.50,221.81,5.83,-12.30,2,2733,1188,0.3000,5.49,5.60,5.60,5.74,5.59,5.68,8309,5.30,6.10,5.15,5.84,208410,18.45,36732,5.67,,10383906,72,1,5.68,4.90,False,0.05,3,5.83,4.87,2.00,2.00,0.30,0.00,0.30,0.00,0.20,2.000,0.899,0.20,0.00,13.88
INLF,2025-02-14,09:46:00,10.36,9.90,11.39,1454,10:13:00,11.31,trail_stop,1374.72,9.12,32,0.4639,1.0310,2.50,674.58,7.49,48.96,5,11131,5354,0.6900,9.56,10.31,10.18,10.60,10.18,10.60,19720,8.75,21.00,5.40,16.33,7680970,288.89,292884,26.23,,12863145,76,3,8.44,-2.89,False,0.05,2,7.49,5.76,1.50,2.00,0.30,-0.30,0.30,0.00,0.00,1.500,0.899,0.20,0.00,17.83
RCEL,2025-02-14,09:41:00,10.38,10.04,11.09,1964,11:23:00,10.86,trail_stop,950.52,4.66,98,0.3366,0.7125,2.50,661.13,5.05,28.57,2,12049,8664,0.4900,10.05,10.32,10.23,10.45,10.18,10.45,24252,9.92,11.25,9.70,10.57,952295,15.98,143884,6.62,,30282592,71,1,2.72,12.98,False,0.05,2,5.05,2.58,1.40,2.00,0.30,-0.30,0.00,0.00,0.20,1.400,0.899,0.20,0.00,16.06
FLD,2025-02-19,10:20:00,12.16,11.76,13.01,1352,10:29:00,12.56,trail_stop,542.42,3.30,12,0.4005,0.8500,2.50,541.48,13.74,32.43,2,6796,1458,1.4800,11.77,12.10,11.97,12.33,11.90,11.90,1773,10.35,14.00,10.25,10.90,793127,36.59,160299,4.95,,5847205,110,1,3.19,-6.76,False,-0.02,3,13.74,3.64,2.30,1.00,0.00,0.30,0.30,-0.50,0.00,2.300,0.648,0.20,0.00,36.59
INSG,2025-02-20,09:49:00,9.50,9.18,10.17,1556,10:41:00,9.65,trail_stop,243.75,1.65,51,0.3171,0.6747,2.50,493.48,7.88,37.68,2,15489,6016,0.6900,9.19,9.45,9.31,9.45,9.21,9.45,8300,10.50,12.57,8.76,12.51,1261919,43.49,114681,11.00,,13872865,79,1,1.25,-8.63,False,0.00,3,7.88,1.74,2.10,1.00,0.30,0.00,0.30,-0.50,0.00,2.100,0.476,0.00,0.00,23.29
LE,2025-02-25,09:02:00,13.04,12.49,14.24,1916,15:00:00,12.97,eod,-143.32,-0.57,222,0.5548,1.2000,2.50,1063.00,8.23,0.00,4,2627,1503,0.9500,12.50,12.97,12.98,12.98,12.96,12.98,2233,12.58,13.85,12.41,12.64,660044,11.60,80719,8.18,,8673107,32,1,7.98,0.89,False,0.00,2,8.23,7.62,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,1.224,0.20,0.00,15.38
DNA,2025-02-26,09:46:00,9.36,8.99,10.16,2248,11:01:00,9.83,trail_stop,1072.99,5.10,78,0.3666,0.8000,2.50,824.00,8.22,49.30,2,33907,20118,0.7100,9.00,9.31,9.30,9.60,9.30,9.60,42608,8.82,10.23,8.50,9.11,3970629,20.35,2012864,1.97,,41656053,76,1,4.38,-14.29,False,-0.13,3,8.22,4.47,1.80,2.00,0.30,0.00,0.00,0.30,0.00,1.800,1.439,0.20,0.00,10.94
EHTH,2025-02-26,09:52:00,8.52,8.24,8.87,5998,10:49:00,9.32,exhaust+trail_stop,5176.13,10.13,47,0.2824,0.3500,2.50,1693.84,4.69,2.70,2,3808,563,0.3700,8.25,8.38,8.48,8.48,8.48,8.48,201,9.00,9.50,7.79,9.46,447530,21.95,280864,1.59,,26824080,82,1,1.01,-1.75,False,-0.13,2,4.69,2.72,2.10,2.00,0.30,0.00,0.30,0.30,0.20,2.100,1.439,0.00,0.00,16.05
LTBR,2025-02-27,10:21:00,11.77,11.50,12.29,3430,10:32:00,11.47,stop,-1039.12,-2.57,14,0.2684,0.5248,2.50,920.78,5.31,32.19,2,33990,22838,0.5900,11.51,11.71,11.64,11.79,11.61,11.77,22269,10.35,12.10,9.70,9.99,4043659,24.74,3946702,1.02,,30277877,111,3,5.26,4.97,False,0.05,3,5.31,5.69,1.80,2.00,0.30,0.00,0.00,0.30,0.00,1.800,1.271,0.20,0.00,18.66
NTRP,2025-02-27,09:49:00,4.42,4.33,4.60,1160,09:51:00,4.32,stop,-123.77,-2.41,3,0.0937,0.1792,2.50,108.70,12.39,8.77,2,1829,132,0.4832,4.34,4.40,4.40,4.48,4.40,4.47,2343,3.90,4.48,3.70,3.97,71555,21.00,29031,2.46,,6294931,79,1,7.78,2.83,False,0.05,2,12.39,6.95,2.30,2.00,0.00,0.30,0.30,0.30,0.20,2.300,1.271,0.20,0.00,18.88
RIOX,2025-02-27,10:16:00,13.79,13.55,14.19,3748,10:21:00,13.51,stop,-1046.63,-2.03,7,0.2386,0.4000,2.50,894.27,3.82,4.00,2,3075,2228,0.5000,13.56,13.71,13.72,13.78,13.70,13.73,8581,13.99,14.72,11.60,11.72,518214,26.90,283311,1.83,,4650700,106,1,0.05,11.30,False,0.05,3,3.82,0.61,1.50,2.00,0.00,0.00,0.00,0.30,0.20,1.500,1.271,0.00,0.00,16.73
RRGB,2025-02-27,09:45:00,6.00,5.72,6.57,1304,10:15:00,5.70,stop,-381.80,-4.88,32,0.2756,0.5750,2.50,359.42,4.92,40.15,4,43803,34139,0.2740,5.73,5.95,5.97,5.97,5.82,5.82,29713,5.39,6.24,5.25,6.08,3921954,18.86,290724,13.49,,13977531,75,1,5.69,23.01,False,0.05,2,4.92,6.32,1.50,1.00,0.30,-0.30,0.00,0.30,0.00,1.500,1.271,0.20,0.00,32.08
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,26998,11:48:00,3.90,exhaust+trail_stop,10927.46,11.51,23,0.1075,0.1000,2.50,2902.28,8.44,41.82,2,3653,929,0.2750,3.42,3.45,3.50,3.50,3.50,3.50,1110,3.60,4.02,2.78,3.97,174227,44.60,869210,0.20,Energy,6883781,106,1,6.86,-0.83,False,,2,8.44,8.75,3.00,1.80,0.30,0.30,0.30,0.30,0.00,3.400,1.668,0.20,0.00,29.50
ALDX,2025-03-03,09:38:00,5.84,5.61,6.30,3706,09:50:00,6.02,trail_stop,678.86,3.14,14,0.2326,0.4585,2.50,861.83,9.73,26.16,3,11439,10588,0.5100,5.62,5.79,5.81,5.92,5.80,5.85,6804,5.24,6.52,5.24,6.06,1407855,24.43,451298,3.12,,48559681,68,1,3.55,2.54,False,,3,9.73,4.07,1.70,2.00,0.00,0.00,0.00,0.30,0.20,1.700,1.900,0.20,0.00,13.79
SCOR,2025-03-05,09:53:00,7.19,6.99,7.59,736,10:11:00,6.97,stop,-161.36,-3.05,14,0.1983,0.4062,2.50,145.92,5.58,0.00,2,821,452,0.3700,7.00,7.15,7.03,7.29,7.03,7.29,2263,6.59,7.30,6.50,6.94,131830,12.31,20471,6.44,,3316591,83,1,7.10,10.68,False,,2,5.58,6.51,2.30,1.80,0.30,0.00,0.30,0.30,0.20,2.300,2.471,0.20,0.00,25.26
ARTV,2025-03-06,10:41:00,4.75,4.63,4.98,3156,12:07:00,5.01,trail_stop,813.05,5.42,28,0.1236,0.2250,2.50,390.24,5.14,-17.78,2,1418,240,0.2250,4.64,4.72,4.73,4.75,4.72,4.72,1690,4.36,5.15,4.24,5.10,104267,21.46,78904,1.32,,4233224,131,1,7.35,-2.90,False,,3,5.14,7.29,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,2.454,0.20,0.00,11.56
KLXE,2025-03-07,09:52:00,5.27,5.03,5.79,4293,09:55:00,5.02,stop,-1077.08,-4.76,6,0.2358,0.5240,2.50,1012.29,6.50,35.20,3,9967,7413,0.3088,4.95,5.24,5.15,5.24,5.13,5.24,18230,4.10,5.29,4.10,4.74,687164,29.02,174056,3.95,,13446529,82,1,7.26,-0.49,False,,2,6.50,6.00,2.50,1.80,0.30,-0.30,0.00,0.30,0.00,2.500,2.040,0.20,0.00,27.80
GYRE,2025-03-10,10:16:00,9.60,9.42,9.92,2610,12:00:00,9.79,trail_stop,513.98,2.05,65,0.1758,0.3202,2.50,458.97,3.71,22.97,2,1138,293,0.3400,9.43,9.55,9.54,9.55,9.54,9.55,343,10.11,10.45,9.14,10.33,185698,14.31,65261,2.85,,20946520,46,1,-2.36,-2.03,False,,2,3.71,-1.86,1.80,2.00,0.00,0.00,0.30,0.30,0.20,1.800,1.967,0.00,0.00,14.31
SKBL,2025-03-10,09:42:00,10.24,9.94,10.70,3908,12:40:00,10.60,trail_stop,1392.08,3.48,114,0.3009,0.4605,2.50,1176.11,3.81,35.14,3,4661,2698,0.3700,9.95,10.12,10.19,10.25,10.19,10.25,6448,9.56,10.93,9.25,10.85,399035,18.14,1226600,0.33,,9472782,12,1,2.68,10.27,False,,3,3.81,3.49,1.80,2.00,0.00,0.00,0.30,0.30,0.00,1.800,1.967,0.20,0.00,18.22
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,7747,12:27:00,4.38,trail_stop,1908.38,5.96,153,0.1599,0.3485,2.50,1239.11,49.63,6.67,5,31462,10407,1.3500,3.98,4.11,4.02,4.16,4.01,4.12,39095,2.72,4.55,2.72,4.45,1877569,67.26,423153,4.44,,24439658,26,3,8.44,-46.77,False,,2,49.63,6.14,3.00,1.80,0.00,0.30,0.30,0.30,0.20,3.300,2.118,0.20,0.00,51.08
GYRE,2025-03-11,09:44:00,11.74,11.39,12.46,1930,10:23:00,11.36,stop,-738.17,-3.26,33,0.3483,0.7247,2.50,672.22,3.91,29.95,2,1741,1470,0.4340,11.40,11.68,11.66,11.69,11.65,11.65,3534,10.98,12.09,10.74,11.35,154716,12.57,72405,2.14,,20946520,14,1,4.22,6.29,False,,2,3.91,4.01,1.40,2.00,0.00,-0.30,0.00,0.30,0.20,1.400,2.118,0.20,0.00,11.71
BWMN,2025-03-12,09:45:00,22.59,21.73,24.47,1006,09:51:00,21.66,stop,-933.16,-4.11,12,0.8624,1.8750,2.50,867.57,16.71,46.48,4,4820,1304,3.3350,21.74,22.48,22.12,22.50,21.82,22.05,18698,20.00,23.29,19.95,22.01,391539,16.71,85160,4.60,Industrials,13768500,15,3,3.69,6.38,False,,3,16.71,3.17,2.10,1.80,0.00,0.30,0.30,0.30,0.00,2.100,2.255,0.20,0.00,21.38
IMDX,2025-03-13,10:07:00,3.80,3.71,3.97,5122,10:08:00,3.70,stop,-512.35,-2.63,3,0.0889,0.1750,2.50,455.35,6.90,0.00,3,309,225,0.2400,3.72,3.78,3.78,3.79,3.78,3.79,400,3.68,3.90,3.25,3.87,128346,20.00,128067,1.00,,10716762,37,2,9.15,-2.90,False,,2,6.90,9.60,2.30,2.00,0.30,0.30,0.00,0.30,0.20,2.300,2.129,0.20,0.00,16.62
OPRX,2025-03-13,09:38:00,7.33,7.00,8.06,2056,15:45:00,7.10,force_close,-465.58,-3.09,320,0.3280,0.7290,2.50,674.47,16.58,31.11,3,46647,32396,1.0282,6.91,7.29,7.20,7.39,7.20,7.33,18986,6.33,7.83,6.20,7.15,2458679,26.25,935817,2.63,,14477854,8,1,4.11,0.80,False,,3,16.58,4.38,1.50,2.00,0.00,0.00,0.00,0.30,0.00,1.500,2.129,0.20,0.00,17.71
ARQQ,2025-03-14,09:41:00,14.66,14.31,15.36,3284,10:00:00,14.85,trail_stop,622.02,1.29,21,0.3529,0.7000,2.50,1159.09,5.03,11.59,4,14810,2697,0.6900,14.32,14.59,14.54,14.59,14.52,14.54,2734,13.20,15.25,13.20,15.00,609269,15.53,297284,2.05,,5326954,11,1,4.19,1.77,False,,2,5.03,4.56,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,1.863,0.20,0.00,11.80
