symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry
CRDU,2025-10-17,09:56:00,16.80,16.21,18.06,1346,10:37:00,16.16,stop,-857.57,-3.79,33,0.5885,1.2623,2.50,792.11,4.51,-3.30,4,2796,2385,0.6995,16.22,16.72,16.61,16.86,16.61,16.86,1742,15.30,17.76,14.80,17.63,362299,20.00,239626,1.51,,4404850,26,1,5.79,-4.85,False,-0.09,3,4.51,5.99,1.70,2.00,0.30,-0.30,0.00,0.30,0.20,1.700,1.806,0.20,0.00,12.96
PFAI,2025-10-17,10:21:00,3.43,3.35,3.56,20800,11:01:00,3.34,stop,-1916.20,-2.68,19,0.0821,0.1250,2.50,1707.16,5.59,22.23,2,3448,350,0.1799,3.36,3.40,3.42,3.42,3.38,3.38,404,3.02,3.83,3.02,3.62,254281,26.82,3324001,0.08,,3625011,51,3,4.40,-14.93,False,-0.09,3,5.59,5.35,2.60,2.00,0.30,0.30,0.30,0.30,0.20,2.600,1.806,0.20,0.00,14.24
STI,2025-10-17,10:32:00,20.95,20.01,23.03,599,10:40:00,19.95,stop,-597.74,-4.76,10,0.9379,2.0842,2.50,561.78,11.43,48.82,3,18472,12643,2.1494,19.91,20.84,20.28,21.30,20.20,21.09,24143,16.50,24.34,15.58,21.17,2359632,56.23,5851971,0.40,,2186283,62,1,14.06,-8.44,False,-0.09,3,11.43,13.67,2.50,1.00,0.00,0.00,0.00,0.30,0.00,2.500,1.806,0.20,0.00,34.53
ANRO,2025-10-20,09:37:00,7.24,7.01,7.71,4420,09:46:00,8.26,exhaust+trail_stop,4342.96,13.58,11,0.2260,0.4750,2.50,998.92,6.24,30.94,2,27171,13544,0.4199,7.02,7.20,7.11,7.22,7.11,7.17,15055,6.75,12.19,6.72,11.00,17764866,81.40,3409545,5.21,Healthcare,19191588,7,1,2.83,11.02,False,0.14,2,6.24,3.10,2.10,2.00,0.30,0.00,0.30,0.30,0.00,2.100,1.546,0.20,0.00,17.11
TAOX,2025-10-20,09:46:00,8.88,8.62,9.43,3808,09:47:00,8.60,stop,-1094.30,-3.23,3,0.2615,0.5433,2.50,995.79,12.32,25.39,2,18569,5420,0.9740,8.63,8.84,8.76,8.88,8.66,8.82,6062,7.94,9.40,7.72,9.02,1529719,21.76,368785,4.15,,7308370,16,1,6.36,9.82,False,0.14,3,12.32,6.63,2.30,1.80,0.00,0.30,0.30,0.30,0.20,2.300,1.546,0.20,0.00,22.54
WKEY,2025-10-20,10:30:00,9.23,9.07,9.50,8726,10:31:00,9.04,stop,-1597.82,-1.98,3,0.1559,0.2750,2.50,1360.38,4.91,23.26,2,6535,2388,0.4300,9.08,9.18,9.17,9.18,9.09,9.09,2624,9.52,10.00,8.68,9.27,603607,15.21,446952,1.35,,3916970,60,1,0.65,10.33,False,0.14,2,4.91,1.15,2.40,2.00,0.30,0.30,0.30,0.30,0.20,2.400,1.546,0.00,0.00,10.45
AMCI,2025-10-21,10:10:00,13.81,13.29,14.94,925,10:13:00,13.25,stop,-520.37,-4.07,5,0.5227,1.1350,2.50,483.50,12.89,28.91,2,13364,2521,1.5699,13.30,13.74,13.58,13.90,13.38,13.61,16216,13.00,15.97,11.66,13.50,3535956,36.93,47594,74.29,,4715205,40,1,-0.35,55.89,False,-0.03,3,12.89,0.19,2.10,1.00,0.00,0.30,0.30,0.30,0.20,2.100,1.221,0.00,0.00,86.42
NERV,2025-10-21,10:38:00,10.34,9.87,11.36,1486,10:42:00,9.84,stop,-731.77,-4.76,6,0.4628,1.0285,2.50,687.76,12.51,29.98,3,533062,378590,1.1342,9.86,10.29,10.22,10.50,10.02,10.47,536780,6.74,12.46,5.98,6.41,166728510,108.36,692857,240.64,,24615776,68,4,5.09,153.38,False,-0.03,3,12.51,5.56,1.70,1.80,0.00,0.00,0.00,0.30,0.20,1.700,1.221,0.20,0.00,354.88
WOK,2025-10-21,09:46:00,3.77,3.62,4.08,2926,09:54:00,3.85,trail_stop,228.05,2.07,9,0.1427,0.3075,2.50,417.67,5.34,32.10,3,4409,1516,0.1872,3.63,3.75,3.75,3.90,3.75,3.84,3306,3.72,4.30,3.50,3.92,2867522,22.86,51393773,0.06,,1218758,16,2,3.59,10262.12,False,-0.03,2,5.34,3.58,1.80,1.00,0.30,-0.30,0.30,0.30,0.00,1.800,1.221,0.20,0.00,10345.13
FUSE,2025-10-23,10:36:00,3.37,3.22,3.70,4028,10:40:00,3.21,stop,-646.08,-4.76,12,0.1507,0.3350,2.50,607.22,20.14,49.12,4,3752,1116,0.5700,3.12,3.35,3.30,3.50,3.30,3.40,4598,2.90,4.25,2.80,4.00,1080978,51.79,5239942,0.21,,14965424,66,1,6.57,,False,0.02,2,20.14,6.71,1.50,1.80,0.00,0.00,0.30,0.00,0.00,1.500,0.834,0.20,0.00,28.21
VELO,2025-10-23,10:35:00,6.21,6.04,6.46,8008,10:44:00,6.02,stop,-1474.24,-2.97,11,0.1660,0.2497,2.50,1329.14,4.92,28.69,2,8838,1128,0.2876,6.05,6.14,6.18,6.18,6.14,6.14,3216,5.61,6.26,5.26,5.55,732097,19.01,1115261,0.66,,8818290,65,1,4.34,1.36,False,0.02,2,4.92,5.38,2.00,2.00,0.30,0.00,0.30,0.00,0.20,2.000,0.834,0.20,0.00,11.98
NRC,2025-10-28,09:37:00,12.75,12.28,13.78,1462,09:38:00,12.72,post_fill_exit,-55.94,-0.30,1,0.4733,1.0248,2.50,692.04,7.73,2.26,2,16008,964,0.8834,12.29,12.69,,,,,,11.43,14.00,11.43,13.25,273232,22.52,89836,3.04,,12186837,7,2,8.86,0.09,False,-0.04,2,7.73,,1.50,2.00,0.30,0.00,0.30,-0.50,0.20,1.500,0.552,0.20,0.00,11.06
NRC,2025-10-28,09:40:00,12.91,12.28,13.94,1462,13:21:00,13.33,trail_stop,601.47,3.19,108,0.6342,1.0248,2.50,927.27,7.73,2.26,3,16008,787,0.8834,12.29,12.69,12.85,13.14,12.85,13.14,988,11.43,14.00,11.43,13.25,273232,22.52,89836,3.04,,12186837,10,2,8.10,0.09,False,-0.04,2,7.73,9.53,1.50,2.00,0.30,0.00,0.30,-0.50,0.20,1.500,0.552,0.20,0.00,11.30
NPT,2025-10-29,10:51:00,8.18,7.81,8.99,1879,10:52:00,8.16,post_fill_exit,-46.11,-0.30,1,0.3663,0.8140,2.50,688.28,10.44,35.18,2,6855,2359,0.7573,7.74,8.14,,,,,,6.11,9.00,6.11,8.77,325720,47.30,552110,0.59,,3508114,81,1,10.65,-6.72,False,-0.08,3,10.44,,1.70,1.80,0.00,-0.30,0.30,-0.50,0.00,1.700,0.505,0.20,0.00,33.22
