symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day
FC,2025-04-07,10:18:00,21.09,20.85,21.38,8333,10:20:00,20.85,stop,-1999.92,-1.14,4,0.2400,0.6000,2.50,1999.92,4.12,3.07,2,2908,316,0.8150,20.55,20.78,21.09,21.11,21.05,21.11,1980,20.21,21.32,19.04,20.06,301731,11.97,500258,0.60,,9410593,48,1
MAXN,2025-04-07,10:19:00,3.12,3.07,3.23,10000,10:21:00,3.07,stop,-439.00,-1.41,4,0.0439,0.1097,2.50,439.00,4.68,34.50,2,6002,1954,0.1400,3.08,3.12,3.11,3.13,3.09,3.13,1565,2.60,3.15,2.60,3.00,244886,21.15,51309,4.77,,6718919,49,1
NTHI,2025-04-07,10:34:00,11.00,10.62,11.93,5298,10:39:00,10.62,stop,-1999.99,-3.43,3,0.3775,0.9437,2.50,1999.99,10.00,38.50,4,370,264,1.0000,10.62,10.98,11.00,11.00,11.00,11.00,200,12.00,12.00,9.30,9.77,47868,29.03,70151,0.68,,4137316,64,3
NTRP,2025-04-07,11:07:00,5.46,5.35,5.47,10000,11:14:00,5.35,stop,-1099.00,-2.01,5,0.1099,0.2748,2.50,1099.00,15.86,31.48,4,1265,216,0.7297,5.10,5.20,5.46,5.46,5.36,5.45,1002,5.75,5.75,4.60,5.12,67839,25.00,27992,2.42,,6294931,97,3
SEAT,2025-04-07,10:17:00,2.66,2.62,2.74,10000,10:18:00,2.62,stop,-390.00,-1.47,3,0.0390,0.0975,2.50,390.00,4.57,16.52,2,11289,8751,0.1150,2.61,2.64,2.66,2.67,2.65,2.67,5832,2.49,2.67,2.36,2.49,2818459,13.14,263811,10.68,,3649053,47,1
VVPR,2025-04-07,10:05:00,3.22,3.19,3.31,10000,10:08:00,3.31,target,875.00,2.72,5,0.0350,0.0875,2.50,350.00,7.31,48.89,3,5084,2286,0.2250,3.19,3.22,3.22,3.22,3.22,3.22,1504,3.40,4.04,3.06,3.70,1723323,32.14,608438,2.83,,9859166,35,2
SXTP,2025-04-08,14:27:00,3.17,3.10,3.34,10000,14:28:00,3.10,stop,-700.00,-2.21,3,0.0700,0.1750,2.50,700.00,6.35,47.12,2,140680,95760,0.1910,3.11,3.17,3.16,3.20,3.14,3.16,105278,2.47,4.41,2.35,2.87,85188432,87.66,966485,88.14,,937139,297,3
AENT,2025-04-09,14:27:00,2.89,2.86,2.89,10000,14:28:00,2.89,target,50.00,0.17,3,0.0300,0.0750,2.50,300.00,7.41,0.00,2,4364,336,0.1931,2.80,2.82,2.89,2.90,2.89,2.90,417,2.48,3.20,2.45,2.85,109400,30.61,51317,2.13,,3142031,297,1
SPPL,2025-04-09,10:50:00,3.75,3.70,3.82,10000,11:05:00,3.70,stop,-499.00,-1.33,5,0.0499,0.1247,2.50,499.00,13.19,6.98,2,4471,426,0.4300,3.66,3.70,3.75,3.75,3.75,3.75,386,3.48,3.82,3.03,3.65,55038,26.03,3540,15.55,,4318970,80,1
SXTP,2025-04-10,11:18:00,3.37,3.32,3.41,10000,11:19:00,3.32,stop,-496.00,-1.47,3,0.0496,0.1240,2.50,496.00,3.12,49.60,2,10530,10064,0.1000,3.25,3.29,3.37,3.39,3.30,3.34,29439,2.71,3.53,2.50,3.10,3249691,41.20,966485,3.36,,937139,108,1
BGLC,2025-04-11,10:32:00,2.73,2.70,2.81,10000,10:33:00,2.70,stop,-316.00,-1.16,3,0.0316,0.0790,2.50,316.00,3.76,50.00,2,39962,20749,0.1000,2.71,2.73,2.73,2.74,2.71,2.71,7023,2.93,3.35,2.34,2.63,29847309,43.16,4831,6178.29,,1291994,62,1
BLIV,2025-04-11,09:46:00,3.69,3.65,3.73,10000,09:47:00,3.73,target,425.00,1.15,3,0.0420,0.1050,2.50,420.00,11.83,46.26,2,1784,164,0.3999,3.60,3.63,3.69,3.69,3.69,3.69,108,3.44,4.29,3.38,4.02,330880,26.92,4200,78.78,,5270190,16,1
KIDZ,2025-04-11,11:10:00,2.06,2.01,2.17,10000,11:11:00,2.01,stop,-505.00,-2.45,7,0.0505,0.1263,2.50,505.00,5.73,27.27,2,2823,1726,0.1100,2.00,2.04,2.06,2.06,2.02,2.02,700,1.92,2.06,1.65,1.86,1068166,24.85,14666294,0.07,,429867,100,1
SXTP,2025-04-11,09:43:00,3.60,3.53,3.75,10000,09:45:00,3.53,stop,-698.00,-1.94,4,0.0698,0.1745,2.50,698.00,16.77,32.08,2,33147,21434,0.5300,3.52,3.58,3.60,3.61,3.52,3.56,5614,3.29,3.85,2.96,2.96,1488764,30.07,966485,1.54,,937139,13,1
ALOT,2025-04-14,14:22:00,8.32,8.19,8.52,10000,15:35:00,8.19,stop,-1221.00,-1.47,5,0.1221,0.3052,2.50,1221.00,4.80,50.00,3,980,361,0.3800,8.10,8.21,8.32,8.32,8.32,8.32,106,7.53,8.33,7.53,8.10,9505,10.60,44567,0.21,,5313134,292,2
TPST,2025-04-14,09:56:00,6.43,6.33,6.67,10000,11:32:00,6.67,target,2398.00,3.73,15,0.1028,0.2570,2.50,1028.00,4.22,14.56,2,1324,576,0.2575,6.32,6.41,6.43,6.50,6.43,6.50,1619,6.21,7.12,6.07,6.96,56788,17.30,46839,1.21,,2844856,26,1
AENT,2025-04-15,14:01:00,2.85,2.83,2.90,10000,14:28:00,2.90,target,500.00,1.75,7,0.0200,0.0500,2.50,200.00,8.06,36.75,3,1211,499,0.2177,2.84,2.85,2.85,2.85,2.85,2.85,100,2.90,3.05,2.70,2.95,33076,12.87,51317,0.64,,3142031,271,2
PIII,2025-04-15,10:04:00,9.61,9.42,9.72,10000,10:06:00,9.72,target,1016.00,1.06,3,0.1972,0.4930,2.50,1972.00,5.01,25.46,3,1585,334,0.4364,9.04,9.22,9.61,9.61,9.61,9.61,121,8.76,10.19,8.43,9.79,61138,20.88,82564,0.74,,1398851,34,2
SCLX,2025-04-15,09:36:00,7.17,7.04,7.44,10000,09:39:00,7.04,stop,-1299.00,-1.81,4,0.1299,0.3248,2.50,1299.00,5.95,29.98,2,5778,2670,0.4000,7.00,7.12,7.17,7.17,7.03,7.11,1442,6.72,7.64,6.20,6.92,172311,23.33,32050,5.38,,3692723,6,1
BGLC,2025-04-16,11:20:00,2.71,2.65,2.85,10000,12:23:00,2.65,stop,-650.00,-2.40,21,0.0650,0.1625,2.50,650.00,9.00,29.15,5,1895,602,0.2230,2.63,2.69,2.71,2.71,2.71,2.71,593,2.58,2.90,2.41,2.67,186193,20.44,4831,38.54,,1291994,110,4
CPIX,2025-04-16,14:35:00,4.59,4.54,4.56,10000,14:45:00,4.54,stop,-464.00,-1.01,3,0.0464,0.1160,2.50,464.00,7.91,47.76,4,3702,325,0.3350,4.41,4.45,4.59,4.59,4.52,4.52,309,3.98,4.59,3.98,4.53,33388,15.47,65400,0.51,,8642836,305,3
HUHU,2025-04-16,10:38:00,3.60,3.58,3.65,10000,10:39:00,3.65,target,500.00,1.39,3,0.0200,0.0500,2.50,200.00,6.58,17.86,2,1992,350,0.2240,3.59,3.60,3.60,3.75,3.60,3.75,503,3.42,4.66,3.37,4.35,58762,38.13,2759,21.30,,5349119,68,1
