symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading
CRMX,2026-03-02,09:45:00,8.08,7.78,8.73,1729,09:56:00,7.76,stop,-559.40,-4.00,16,0.3002,0.6500,2.50,519.05,7.38,38.18,2,7727,6342,0.5500,7.79,8.04,7.99,8.14,7.99,8.05,7136,7.02,9.10,6.82,8.59,513181,33.43,629218,0.82,,487740,75,1,4.35,-8.36,False,0.07,3,7.38,4.13,1.50,1.50,0.30,0.00,0.00,0.00,0.00,1.500,0.864,0.20,0.00
DFDV,2026-03-02,09:42:00,3.62,3.52,3.83,4705,10:53:00,3.92,exhaust+trail_stop,1436.70,8.44,73,0.1030,0.2125,2.50,484.61,9.09,25.00,4,5773,2537,0.3000,3.52,3.60,3.53,3.60,3.53,3.60,4758,3.44,4.00,3.26,3.83,1187480,22.83,1302248,0.91,,21463779,72,3,5.64,-1.15,False,0.07,5,9.09,5.89,2.00,1.00,0.00,0.30,0.30,0.00,0.20,2.000,0.864,0.20,0.00
HYPD,2026-03-02,10:08:00,3.08,2.99,3.21,9817,12:47:00,3.25,trail_stop,1714.25,5.68,89,0.0853,0.1375,2.50,837.39,6.55,47.37,3,7153,6043,0.1900,3.00,3.04,3.06,3.06,3.06,3.06,214,2.79,3.35,2.76,3.25,497931,21.51,399630,1.25,,9666153,98,1,4.12,-0.62,False,0.07,2,6.55,4.75,1.80,1.50,0.30,0.30,0.00,0.00,0.00,1.800,0.864,0.20,0.00
JFB,2026-03-02,10:07:00,17.72,16.99,19.34,790,10:27:00,18.28,trail_stop,441.25,3.15,22,0.7332,1.6125,2.50,579.21,4.62,0.00,2,1834,896,0.7500,17.00,17.64,17.24,17.99,17.24,17.75,7217,14.93,19.80,14.93,18.88,338714,32.62,201843,1.68,,4708356,97,1,12.43,2.11,False,0.07,3,4.62,11.44,1.70,1.50,0.30,-0.30,0.30,0.00,0.20,1.700,0.864,0.20,0.00
PURR,2026-03-02,09:39:00,4.97,4.78,5.40,3000,09:57:00,4.77,stop,-627.27,-4.20,21,0.1947,0.4250,2.50,584.25,15.65,23.88,2,124639,107643,0.6700,4.79,4.95,4.87,4.96,4.84,4.87,121020,4.28,5.03,4.28,4.86,7101510,17.52,3612761,1.97,,30153285,69,1,4.44,4.90,False,0.07,4,15.65,4.47,1.70,1.50,0.00,0.30,0.00,0.00,0.20,1.700,0.864,0.20,0.00
QURE,2026-03-02,10:22:00,10.04,9.85,10.39,3645,10:23:00,9.82,stop,-799.71,-2.19,3,0.1898,0.3498,2.50,692.00,3.11,29.97,2,37817,19476,0.3000,9.86,9.99,9.99,10.10,9.95,10.10,29585,9.19,11.09,8.96,10.50,16841636,23.77,2961122,5.69,,49188134,112,1,4.44,-41.20,False,0.07,2,3.11,4.93,1.70,1.50,0.00,0.00,0.30,0.00,0.20,1.700,0.864,0.20,0.00
RBNE,2026-03-02,09:50:00,4.07,3.94,4.35,3544,09:57:00,3.93,stop,-503.50,-3.49,12,0.1302,0.2750,2.50,461.61,7.37,46.43,2,87000,77646,0.2800,3.95,4.05,4.01,4.05,4.00,4.04,28933,4.61,4.71,2.92,3.58,18693740,61.30,606428,30.83,,2732326,80,1,-3.07,13.83,False,0.07,2,7.37,-2.36,1.30,1.50,0.30,0.00,0.00,0.00,0.00,1.300,0.864,0.00,0.00
RCAX,2026-03-02,09:44:00,19.77,18.88,21.74,418,10:23:00,20.53,trail_stop,317.69,3.84,44,0.8851,1.9670,2.50,369.99,20.08,18.65,4,13134,8154,3.1100,18.02,19.67,19.43,20.00,19.43,19.95,8349,15.49,21.48,15.49,17.63,707217,38.64,61712,11.46,,1733000,74,2,9.63,17.64,False,0.07,4,20.08,8.50,1.10,1.50,0.00,-0.30,0.00,0.00,0.20,1.100,0.864,0.20,0.00
RDWU,2026-03-02,09:40:00,12.38,12.18,12.73,4932,09:49:00,13.46,trail_stop,5309.33,8.69,12,0.2015,0.3498,2.50,993.80,5.37,-37.70,2,4793,2718,0.6100,12.19,12.32,12.27,12.45,12.27,12.45,2550,10.41,13.70,10.41,11.73,271071,31.60,234819,1.15,,366075,70,1,5.32,-2.71,False,0.07,2,5.37,5.27,2.30,1.50,0.30,0.30,0.30,0.00,0.20,2.300,0.864,0.20,0.00
RFIL,2026-03-02,09:46:00,12.56,12.14,13.46,833,15:00:00,12.88,eod,268.64,2.57,203,0.4225,0.9000,2.50,351.94,5.18,39.34,2,15659,2636,0.6100,12.15,12.50,12.50,12.57,12.50,12.55,5318,11.31,13.05,11.03,12.95,669610,18.31,154818,4.33,,8677800,76,2,7.16,-0.18,False,0.07,2,5.18,7.33,1.50,1.00,0.30,-0.30,0.30,0.00,0.00,1.500,0.864,0.20,0.00
