symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading
AGH,2026-03-09,10:46:00,4.99,4.85,5.29,1153,10:51:00,5.11,trail_stop,132.51,2.30,8,0.1448,0.3000,2.50,167.01,4.66,31.81,4,25808,21849,0.2194,4.86,4.97,4.94,5.00,4.94,4.99,18090,6.05,6.05,4.47,5.48,28832658,35.31,38490,749.09,,13502784,76,2,-4.06,23.94,True,0.16,4,4.66,-3.55,0.70,1.50,0.30,-0.30,0.00,0.00,0.00,0.700,1.172,0.00,-0.30
ANTX,2026-03-09,09:53:00,3.41,3.28,3.67,2240,09:54:00,3.27,stop,-299.93,-3.93,3,0.1240,0.2677,2.50,277.87,5.79,47.08,2,59822,43812,0.1850,3.29,3.39,3.37,3.41,3.36,3.41,58552,3.02,6.91,2.97,5.25,57969521,132.66,515058,112.55,,16954540,23,1,5.72,5.96,False,0.16,3,5.79,5.95,1.20,1.00,0.30,-0.30,0.00,0.00,0.00,1.200,1.172,0.20,0.00
BAIG,2026-03-09,10:24:00,4.05,3.97,4.19,5217,10:52:00,3.95,stop,-506.28,-2.40,17,0.0851,0.1437,2.50,444.23,3.60,17.27,3,1992,840,0.1390,3.98,4.02,4.03,4.03,4.03,4.03,200,4.33,4.46,3.86,4.39,566143,15.49,463117,1.22,,1472475,54,3,-0.00,-1.37,False,0.16,5,3.60,0.68,1.50,1.00,0.00,0.00,0.30,0.00,0.20,1.500,1.172,0.00,0.00
BEX,2026-03-09,09:46:00,19.43,18.79,20.78,666,10:12:00,19.95,trail_stop,350.76,2.71,28,0.6366,1.3500,2.50,424.01,9.77,30.81,4,10522,6284,1.7199,18.80,19.33,19.31,19.78,19.31,19.77,5483,17.80,22.95,17.40,22.27,1075026,31.90,954775,1.13,,3155415,16,3,6.00,-1.55,False,0.16,6,9.77,6.27,1.20,1.50,0.00,0.00,0.00,0.00,0.00,1.200,1.172,0.20,0.00
FJET,2026-03-09,10:24:00,7.97,7.82,8.23,2876,10:34:00,8.22,trail_stop,726.42,3.17,12,0.1439,0.2607,2.50,413.98,3.13,27.42,2,6743,2896,0.2400,7.83,7.93,7.90,7.94,7.87,7.94,5753,7.67,8.39,7.35,8.03,1193928,14.14,2010533,0.59,,18436458,54,4,0.66,-1.41,False,0.16,4,3.13,1.16,1.50,1.00,0.00,0.00,0.30,0.00,0.20,1.500,1.172,0.00,0.00
IMMX,2026-03-09,09:40:00,10.43,10.14,11.01,2680,09:42:00,10.11,stop,-850.35,-3.04,4,0.2869,0.5875,2.50,768.82,8.36,43.21,3,15870,4899,0.8100,10.15,10.38,10.30,10.39,10.30,10.39,1887,9.15,10.50,9.15,10.13,1002334,14.75,750689,1.34,,36452851,10,2,4.91,-1.51,False,0.16,3,8.36,5.37,2.10,1.50,0.30,0.30,0.30,0.00,0.00,2.100,1.172,0.20,0.00
OPTX,2026-03-09,09:42:00,6.64,6.41,7.16,2634,09:46:00,6.86,trail_stop,574.88,3.29,6,0.2380,0.5125,2.50,627.02,8.16,43.00,2,14954,5491,0.5000,6.42,6.61,6.61,6.88,6.60,6.76,29837,6.64,7.29,6.13,7.14,2785017,18.92,627640,4.44,,6055945,12,1,2.89,5.95,False,0.16,2,8.16,2.79,1.80,1.50,0.30,0.00,0.30,0.00,0.00,1.800,1.172,0.20,0.00
LFMD,2026-03-10,09:46:00,3.77,3.66,3.99,4000,10:03:00,3.94,trail_stop,682.58,4.53,20,0.1087,0.2250,2.50,435.00,7.37,46.15,2,52998,37675,0.2600,3.67,3.75,3.74,3.80,3.72,3.79,106065,3.50,4.06,3.46,3.91,6119160,17.51,936202,6.54,,39446493,16,1,2.44,12.18,False,0.11,2,7.37,2.57,1.80,1.00,0.30,0.00,0.00,0.30,0.00,1.800,1.688,0.20,0.00
NIOG,2026-03-10,10:04:00,17.38,16.73,18.78,486,15:52:00,18.65,force_close,618.95,7.33,70,0.6477,1.4032,2.50,314.81,7.74,20.60,5,10614,1024,1.2200,16.74,17.29,17.29,17.29,17.29,17.29,125,16.11,18.75,15.30,18.66,171592,22.55,16219,10.58,,359605,34,3,4.48,10.77,False,0.11,3,7.74,4.55,2.30,1.50,0.30,0.00,0.30,0.30,0.20,2.300,1.688,0.20,0.00
PIII,2026-03-10,10:44:00,3.37,3.22,3.71,668,10:45:00,3.21,stop,-107.31,-4.76,6,0.1510,0.3355,2.50,100.85,6.14,8.11,3,5309,3927,0.1850,3.19,3.35,3.30,3.46,3.30,3.38,3794,2.94,4.14,2.92,3.64,891286,41.78,33402,26.68,,1406662,74,4,2.40,1.91,False,0.11,2,6.14,2.84,1.70,1.00,0.30,-0.30,0.00,0.30,0.20,1.700,1.688,0.20,0.00
TENX,2026-03-10,09:38:00,13.89,13.27,15.27,813,09:39:00,13.23,stop,-537.96,-4.76,4,0.6219,1.3820,2.50,505.60,14.75,43.22,2,40435,35216,1.7700,13.01,13.82,13.53,13.82,13.45,13.58,79972,12.00,14.60,12.00,14.51,2131369,21.67,207852,10.25,,17165511,8,1,6.28,8.98,False,0.11,3,14.75,5.30,1.50,1.50,0.00,0.00,0.00,0.30,0.00,1.500,1.688,0.20,0.00
UMAC,2026-03-10,09:46:00,19.40,18.84,20.55,1173,09:53:00,18.78,stop,-719.07,-3.16,10,0.5565,1.1500,2.50,652.77,6.44,41.88,2,114388,109962,1.1699,18.85,19.30,19.04,19.47,18.97,19.44,110692,17.32,19.93,16.84,18.50,7758139,18.34,2921424,2.66,,36187062,16,1,4.73,0.23,False,0.11,2,6.44,4.64,1.80,1.50,0.30,0.00,0.00,0.30,0.00,1.800,1.688,0.20,0.00
VRCA,2026-03-10,10:42:00,5.97,5.80,6.12,3868,15:45:00,5.98,force_close,39.84,0.17,158,0.1697,0.1500,2.50,656.40,3.23,-33.33,3,1313,659,0.1800,5.81,5.86,5.94,5.94,5.93,5.94,920,5.71,6.08,5.37,5.98,272050,13.20,128951,2.11,,6777375,72,2,4.91,0.53,False,0.11,2,3.23,6.62,2.30,1.50,0.00,0.30,0.30,0.30,0.20,2.300,1.688,0.20,0.00
XGN,2026-03-10,10:06:00,3.33,3.19,3.59,5713,10:08:00,3.18,stop,-863.26,-4.54,6,0.1415,0.2625,2.50,808.68,10.14,21.67,3,32841,643,0.3000,3.19,3.29,3.31,3.31,3.22,3.30,6467,3.40,3.79,2.91,3.25,926099,30.14,325117,2.85,,16167503,36,2,6.08,0.59,False,0.11,3,10.14,7.11,2.00,1.50,0.00,0.00,0.30,0.30,0.20,2.000,1.688,0.20,0.00
