symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day
JYD,2025-02-06,14:07:00,4.59,4.54,4.70,10000,14:12:00,4.54,stop,-450.00,-0.98,7,0.0450,0.1125,2.50,450.00,4.05,47.22,3,2055,333,0.1800,4.54,4.57,4.59,4.59,4.56,4.56,350,4.91,5.01,4.20,4.41,160354,19.24,41140,3.90,,643830,277,2
ACON,2025-02-07,14:54:00,5.45,5.41,5.55,10000,15:02:00,5.55,target,1000.00,1.83,7,0.0400,0.1000,2.50,400.00,3.81,25.00,2,2518,1589,0.2000,5.40,5.43,5.45,5.65,5.45,5.65,5566,6.16,6.40,4.68,5.36,414941,36.75,40548,10.23,,671344,324,1
QNTM,2025-02-07,11:14:00,12.11,11.99,12.39,10000,11:16:00,12.39,target,2875.00,2.37,4,0.1150,0.2875,2.50,1150.00,5.04,49.15,3,13475,6668,0.5900,12.00,12.11,12.11,12.11,12.00,12.11,10733,12.57,13.58,10.70,11.32,2945684,26.92,278830,10.56,,3580945,104,2
CPIX,2025-02-10,11:25:00,4.49,4.39,4.73,10000,11:33:00,4.39,stop,-978.00,-2.18,5,0.0978,0.2445,2.50,978.00,3.70,50.00,3,1655,1368,0.1600,4.40,4.49,4.46,4.53,4.46,4.53,1232,4.34,4.70,4.12,4.52,386394,13.96,65400,5.91,,8642836,115,2
DOMH,2025-02-10,11:07:00,4.15,4.01,4.49,10000,11:14:00,4.01,stop,-1363.00,-3.29,10,0.1363,0.3408,2.50,1363.00,12.32,47.31,2,23549,19352,0.4650,4.02,4.15,4.11,4.17,4.07,4.14,12591,3.90,6.50,3.74,6.16,23714849,73.98,44197,536.57,,8733983,97,1
KMDA,2025-02-10,10:39:00,8.38,8.21,8.81,10000,11:46:00,8.81,target,4250.00,5.07,69,0.1700,0.4250,2.50,1700.00,10.10,38.46,3,41198,35685,0.7800,8.20,8.36,8.38,8.42,8.36,8.40,8638,7.96,9.15,7.95,8.33,2686567,15.16,51446,52.22,,9634616,69,2
DOMH,2025-02-11,14:44:00,8.78,8.72,8.93,10000,14:45:00,8.72,stop,-600.00,-0.68,3,0.0600,0.1500,2.50,600.00,3.06,46.15,2,12927,1970,0.2600,8.65,8.70,8.78,8.78,8.73,8.74,5092,10.43,11.33,7.33,7.46,33245308,54.57,44197,752.21,,8733983,314,3
ACON,2025-02-12,14:05:00,4.34,4.26,4.54,10000,14:06:00,4.54,target,2015.00,4.64,3,0.0806,0.2015,2.50,806.00,3.61,20.40,4,1707,604,0.1500,4.27,4.34,4.32,4.34,4.32,4.33,762,4.21,5.34,3.86,4.68,707346,38.34,40548,17.44,,671344,275,5
INBS,2025-02-13,10:52:00,2.39,2.34,2.51,10000,11:02:00,2.34,stop,-500.00,-2.09,10,0.0500,0.1250,2.50,500.00,7.57,35.40,2,11412,1502,0.1695,2.35,2.39,2.39,2.39,2.39,2.39,264,2.52,2.52,2.24,2.37,742193,12.50,53518,13.87,,1594305,82,1
JL,2025-02-13,14:08:00,3.89,3.77,4.19,10000,14:24:00,4.19,target,3000.00,7.71,9,0.1200,0.3000,2.50,1200.00,4.17,6.66,4,2155,577,0.1502,3.74,3.85,3.89,3.94,3.89,3.93,2357,3.78,4.41,3.35,3.84,123026,31.74,34231,3.59,,1652703,278,3
DOMH,2025-02-14,11:14:00,10.10,10.00,10.35,10000,11:20:00,10.35,target,2507.50,2.48,8,0.1003,0.2508,2.50,1003.00,7.15,26.47,2,18844,17842,0.6800,10.01,10.10,10.05,10.26,10.05,10.26,15208,11.99,12.63,8.65,11.94,3424826,46.01,44197,77.49,,8733983,104,1
PCLA,2025-02-14,11:20:00,4.78,4.62,5.18,10000,11:29:00,5.18,target,4000.00,8.37,11,0.1600,0.4000,2.50,1600.00,3.08,42.86,2,30733,23370,0.1400,4.63,4.78,4.72,4.80,4.68,4.74,19708,6.55,7.59,4.50,7.51,3504529,68.67,4731,740.76,,789180,110,1
EFOI,2025-02-18,14:26:00,2.15,2.10,2.27,10000,14:27:00,2.10,stop,-500.00,-2.33,3,0.0500,0.1250,2.50,500.00,12.79,48.78,4,138279,118135,0.2460,2.05,2.09,2.15,2.19,2.10,2.13,284705,1.95,2.89,1.67,2.72,74699513,73.05,47899,1559.52,,2349717,296,6
PCLA,2025-02-18,10:39:00,8.00,7.84,8.40,10000,11:17:00,7.84,stop,-1600.00,-2.00,40,0.1600,0.4000,2.50,1600.00,7.55,47.37,3,27286,9656,0.5700,7.85,8.00,7.98,8.09,7.97,8.09,23009,7.55,8.38,7.30,7.93,2674203,14.79,4731,565.25,,789180,69,2
ARQQ,2025-02-19,10:38:00,16.35,16.20,16.71,10000,10:39:00,16.20,stop,-1471.00,-0.90,3,0.1471,0.3678,2.50,1471.00,3.95,46.31,3,5258,1967,0.6200,16.01,16.15,16.35,16.38,16.23,16.23,1897,15.80,17.00,15.32,15.60,481215,10.94,171977,2.80,,5424308,68,2
EFOI,2025-02-19,11:24:00,2.34,2.32,2.39,10000,11:27:00,2.39,target,505.00,2.16,5,0.0202,0.0505,2.50,202.00,5.44,16.69,2,15462,2555,0.1198,2.30,2.31,2.34,2.37,2.32,2.37,4847,2.45,2.83,2.10,2.61,3498558,34.76,47899,73.04,,2349717,114,1
SINT,2025-02-20,11:35:00,4.40,4.33,4.57,10000,12:09:00,4.57,target,1662.50,3.78,39,0.0665,0.1662,2.50,665.00,7.32,23.33,3,5210,3315,0.3000,4.33,4.39,4.40,4.42,4.37,4.42,9126,4.67,4.95,3.98,4.80,1037620,24.37,30276,34.27,,2979950,125,3
TNMG,2025-02-20,14:01:00,2.79,2.74,2.91,10000,14:07:00,2.91,target,1250.00,4.48,8,0.0500,0.1250,2.50,500.00,3.40,44.44,4,4648,2858,0.0900,2.70,2.74,2.79,2.85,2.72,2.75,6540,2.63,6.00,2.10,2.52,6661639,185.70,5985,1113.06,,2080556,271,3
DOMH,2025-02-25,14:10:00,9.58,9.51,9.75,10000,14:11:00,9.75,target,1747.50,1.82,3,0.0699,0.1748,2.50,699.00,4.70,13.95,5,21028,12151,0.4300,9.52,9.58,9.56,9.99,9.56,9.95,74410,8.87,10.00,7.43,9.90,3816362,34.59,44197,86.35,,8733983,280,5
ACON,2025-02-26,09:59:00,3.59,3.57,3.64,10000,10:09:00,3.57,stop,-200.00,-0.56,3,0.0200,0.0500,2.50,200.00,3.60,25.00,2,4098,664,0.1200,3.42,3.43,3.59,3.59,3.59,3.59,510,3.20,3.53,3.03,3.30,294376,16.50,40548,7.26,,671344,29,1
RNAZ,2025-02-26,11:07:00,3.35,3.21,3.71,10000,11:13:00,3.71,target,3625.00,10.82,8,0.1450,0.3625,2.50,1450.00,7.97,42.86,2,5549,3019,0.2450,3.21,3.35,3.35,3.37,3.33,3.35,2194,4.00,4.23,3.00,3.35,933916,41.00,6757,138.21,,832424,97,1
TZOO,2025-02-26,10:40:00,15.08,14.92,15.48,10000,11:42:00,15.48,target,3977.50,2.64,45,0.1591,0.3977,2.50,1591.00,4.98,27.46,2,4516,1708,0.7100,14.77,14.91,15.08,15.08,15.08,15.08,299,14.25,15.93,14.25,15.53,301958,11.82,162411,1.86,,6454233,70,1
PCLA,2025-02-28,11:10:00,5.20,5.13,5.38,10000,11:16:00,5.13,stop,-700.00,-1.35,8,0.0700,0.1750,2.50,700.00,5.00,48.00,2,5635,2495,0.2500,5.13,5.19,5.20,5.25,5.20,5.23,980,5.80,5.98,4.59,4.85,1406735,30.12,4731,297.34,,789180,100,1
ACON,2025-03-03,10:10:00,7.04,6.95,7.26,10000,10:11:00,6.95,stop,-900.00,-1.28,3,0.0900,0.2250,2.50,900.00,8.09,33.99,3,240191,208015,0.5302,6.90,6.98,7.04,7.06,6.94,7.02,184998,7.21,8.50,4.94,7.60,90515240,72.06,40548,2232.30,,671344,40,1
MAXN,2025-03-04,10:51:00,2.95,2.89,3.10,10000,10:56:00,3.10,target,1505.00,5.10,8,0.0602,0.1505,2.50,602.00,11.30,31.24,2,15894,15563,0.3041,2.90,2.95,2.95,2.98,2.95,2.98,1866,3.35,3.39,2.68,3.24,940655,26.49,51309,18.33,,6718919,81,1
JVA,2025-03-05,10:40:00,6.90,6.71,7.36,10000,11:09:00,7.36,target,4632.50,6.71,31,0.1853,0.4632,2.50,1853.00,7.55,24.02,4,7311,1094,0.4800,6.72,6.90,6.81,6.94,6.78,6.94,5754,6.45,7.60,6.36,7.39,478489,19.50,41552,11.52,,4565909,70,3
SCOR,2025-03-05,10:53:00,7.15,6.99,7.56,10000,11:11:00,6.99,stop,-1625.00,-2.27,14,0.1625,0.4062,2.50,1625.00,5.58,0.00,2,821,452,0.3700,7.00,7.15,7.03,7.29,7.03,7.29,2263,6.59,7.30,6.50,6.94,131830,12.31,16109,8.18,,1068537,83,1
SPHL,2025-03-06,14:14:00,3.85,3.83,3.90,10000,14:27:00,3.83,stop,-200.00,-0.52,7,0.0200,0.0500,2.50,200.00,3.49,7.69,2,6961,675,0.1300,3.84,3.85,3.85,3.85,3.85,3.85,622,3.88,4.25,3.69,3.87,352604,15.18,9755,36.15,,943937,284,1
DWTX,2025-03-10,10:58:00,7.85,7.77,8.05,10000,10:59:00,7.77,stop,-800.00,-1.02,3,0.0800,0.2000,2.50,800.00,4.03,46.67,2,6325,5383,0.3000,7.60,7.67,7.85,7.85,7.70,7.74,12394,7.30,9.45,6.72,8.44,11037490,40.62,49807,221.61,,406784,88,1
DWTX,2025-03-12,09:49:00,13.78,13.55,14.35,8699,09:50:00,13.55,stop,-1999.90,-1.67,3,0.2299,0.5748,2.50,1999.90,10.89,34.72,2,84245,40209,1.2960,12.75,12.97,13.78,13.94,13.30,13.64,172478,12.99,14.69,10.14,10.70,7301194,44.87,49807,146.59,,406784,19,1
IMDX,2025-03-13,10:07:00,3.78,3.71,3.95,10000,10:08:00,3.71,stop,-700.00,-1.85,3,0.0700,0.1750,2.50,700.00,6.90,0.00,3,309,225,0.2400,3.72,3.78,3.78,3.79,3.78,3.79,400,3.68,3.90,3.25,3.87,128346,20.00,133720,0.96,,9598287,37,2
CNSP,2025-03-14,10:02:00,3.00,2.93,3.17,10000,10:20:00,2.93,stop,-700.00,-2.33,15,0.0700,0.1750,2.50,700.00,6.23,28.51,2,4558,4164,0.1754,2.94,3.00,2.98,3.01,2.98,3.01,1776,2.81,3.35,2.73,3.12,354120,22.71,160993,2.20,,523810,32,1
SINT,2025-03-14,14:09:00,3.50,3.45,3.62,10000,14:11:00,3.45,stop,-500.00,-1.43,4,0.0500,0.1250,2.50,500.00,7.27,33.33,4,9275,1249,0.2400,3.46,3.50,3.46,3.55,3.46,3.49,4647,3.05,3.55,3.05,3.42,130892,16.39,30276,4.32,,2979950,279,3
THCH,2025-03-18,10:27:00,3.29,3.25,3.39,10000,10:28:00,3.25,stop,-400.00,-1.22,3,0.0400,0.1000,2.50,400.00,3.47,9.52,2,578,200,0.1050,3.12,3.15,3.29,3.29,3.29,3.29,370,3.20,3.29,2.99,3.14,14296,10.03,1001,14.28,,7160859,57,1
EHLD,2025-03-19,14:32:00,7.07,6.96,7.34,10000,14:46:00,7.34,target,2750.00,3.89,5,0.1100,0.2750,2.50,1100.00,5.18,0.00,4,2567,545,0.3400,6.90,7.00,7.07,7.07,7.07,7.07,430,7.97,8.77,6.11,6.91,130127,43.54,4407,29.53,,1061864,302,4
HPAI,2025-03-19,10:01:00,6.10,5.92,6.55,10000,10:06:00,5.92,stop,-1800.00,-2.95,3,0.1800,0.4500,2.50,1800.00,10.91,28.33,2,1798,420,0.6000,5.93,6.10,6.00,6.10,6.00,6.10,1054,5.31,6.15,5.31,5.76,13099,15.82,2055,6.37,,7416946,31,1
SCOR,2025-03-20,11:04:00,7.28,7.13,7.64,10000,11:08:00,7.13,stop,-1450.00,-1.99,3,0.1450,0.3625,2.50,1450.00,5.30,0.00,2,1626,281,0.3500,6.95,7.08,7.28,7.28,7.28,7.28,402,6.02,8.00,6.02,7.26,47430,32.89,16109,2.94,,1068537,94,1
WKHS,2025-03-20,09:41:00,2.09,2.06,2.16,10000,09:49:00,2.16,target,675.00,3.23,7,0.0270,0.0675,2.50,270.00,4.98,36.00,5,2733,852,0.1000,2.07,2.09,2.09,2.10,2.09,2.10,2217,2.04,2.25,2.01,2.20,435602,11.69,60537,7.20,,3472223,11,4
CHCI,2025-03-21,10:41:00,8.37,8.16,8.88,9756,11:22:00,8.16,stop,-1999.98,-2.45,24,0.2050,0.5125,2.50,1999.98,7.89,47.45,3,1610,1086,0.6133,8.10,8.29,8.37,8.37,8.37,8.37,1214,7.02,8.79,7.02,7.74,166633,25.21,14819,11.24,,3565884,71,2
JVA,2025-03-21,09:46:00,4.92,4.80,5.22,10000,09:48:00,4.80,stop,-1200.00,-2.44,4,0.1200,0.3000,2.50,1200.00,6.68,45.16,2,19869,14328,0.3100,4.81,4.92,4.91,4.93,4.87,4.87,1608,4.88,5.14,3.77,4.02,920773,36.34,41552,22.16,,4565909,16,1
EDBL,2025-03-26,10:16:00,3.43,3.35,3.63,10000,10:17:00,3.35,stop,-800.00,-2.33,3,0.0800,0.2000,2.50,800.00,10.36,46.88,2,2550,1376,0.3200,3.26,3.33,3.43,3.43,3.34,3.34,1603,2.99,3.97,2.96,3.83,531034,33.97,66505,7.98,,414439,46,1
VVPR,2025-03-27,14:34:00,5.10,4.99,5.37,10000,14:39:00,4.99,stop,-1100.00,-2.16,8,0.1100,0.2750,2.50,1100.00,10.17,41.65,2,210218,117476,0.4799,5.00,5.10,5.03,5.10,5.01,5.04,83035,4.67,6.66,3.79,4.18,44826019,75.73,608438,73.67,,9859166,304,1
DOMH,2025-03-31,10:22:00,4.36,4.32,4.46,10000,10:33:00,4.32,stop,-395.00,-0.91,13,0.0395,0.0987,2.50,395.00,6.47,47.98,3,16080,2796,0.2699,4.31,4.34,4.36,4.48,4.36,4.43,15445,5.46,5.46,3.84,4.00,8445246,42.15,44197,191.08,,8733983,52,2
EHLD,2025-04-01,10:56:00,5.39,5.19,5.88,10000,11:07:00,5.19,stop,-1981.00,-3.68,12,0.1981,0.4952,2.50,1981.00,3.92,50.00,2,1317,731,0.2000,5.20,5.39,5.39,5.39,5.39,5.39,888,4.62,5.85,4.53,5.75,142104,29.14,4407,32.25,,1061864,86,1
GRI,2025-04-01,10:26:00,7.12,6.92,7.62,10000,10:27:00,6.92,stop,-1989.00,-2.79,3,0.1989,0.4973,2.50,1989.00,17.23,47.64,2,107740,68584,1.0700,6.77,6.96,7.12,7.12,6.82,6.89,53896,9.33,11.12,2.00,2.02,12187923,456.00,62365,195.43,,1445029,56,1
CRVO,2025-04-03,10:01:00,12.65,12.45,13.16,9886,10:20:00,12.45,stop,-1999.94,-1.60,21,0.2023,0.5057,2.50,1999.94,3.40,49.56,2,5182,4452,0.4163,12.46,12.65,12.62,12.72,12.55,12.62,3357,13.14,13.35,10.92,11.24,1023483,22.25,53023,19.30,,5491674,31,1
DOMH,2025-04-04,14:32:00,3.53,3.51,3.59,10000,14:49:00,3.59,target,625.00,1.77,14,0.0250,0.0625,2.50,250.00,3.51,41.67,2,3259,220,0.1200,3.49,3.50,3.53,3.54,3.50,3.50,320,3.50,3.69,3.25,3.63,345281,13.54,44197,7.81,,8733983,302,1
TIL,2025-04-04,11:12:00,15.84,15.70,16.19,10000,11:17:00,16.19,target,3500.00,2.21,4,0.1400,0.3500,2.50,1400.00,4.14,22.22,2,409,193,0.6300,15.69,15.82,15.84,15.87,15.82,15.87,848,15.02,16.32,14.34,14.61,140356,13.81,58315,2.41,,3228627,102,1
CRVO,2025-04-07,09:55:00,10.02,9.86,10.42,10000,10:02:00,9.86,stop,-1600.00,-1.60,11,0.1600,0.4000,2.50,1600.00,7.72,23.65,2,2900,1395,0.7189,9.86,10.01,10.02,10.20,9.90,10.13,9615,9.86,10.50,9.12,9.76,468137,15.13,53023,8.83,,5491674,25,1
ECOR,2025-04-07,09:55:00,5.46,5.40,5.60,10000,10:10:00,5.60,target,1437.50,2.63,8,0.0575,0.1438,2.50,575.00,6.20,14.81,2,2908,724,0.3160,5.36,5.41,5.46,5.46,5.46,5.46,100,5.28,6.36,5.09,5.68,129555,24.87,24477,5.29,,5036060,25,1
MAXN,2025-04-07,10:19:00,3.12,3.07,3.23,10000,10:21:00,3.07,stop,-439.00,-1.41,4,0.0439,0.1097,2.50,439.00,4.68,34.50,2,6002,1954,0.1400,3.08,3.12,3.11,3.13,3.09,3.13,1565,2.60,3.15,2.60,3.00,244886,21.15,51309,4.77,,6718919,49,1
NTRP,2025-04-07,11:07:00,5.46,5.35,5.73,10000,11:14:00,5.35,stop,-1099.00,-2.01,5,0.1099,0.2748,2.50,1099.00,15.86,31.48,4,1265,216,0.7297,5.10,5.20,5.46,5.46,5.36,5.45,1002,5.75,5.75,4.60,5.12,67839,25.00,27992,2.42,,6294931,97,3
