symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
QCLS,2026-03-06,11:32:00,4.72,4.61,4.95,3780,11:35:00,4.60,stop,-481.31,-2.70,5,0.1135,0.2250,2.50,429.03,4.91,36.36,3,112899,64555,0.2200,4.62,4.70,4.68,4.70,4.64,4.67,35510,3.42,4.97,3.41,4.50,10945709,45.76,328015,33.37,,7776858,182,5,9.97,-2.59,False,-0.08,2,4.91,10.46,2.10,1.80,0.30,0.00,0.30,0.30,0.00,2.100,1.500,0.20,0.00,41.37,0.550,1.500
ANTX,2026-03-09,11:45:00,4.52,4.44,4.67,3000,11:47:00,4.43,stop,-287.46,-2.12,4,0.0825,0.1500,2.50,247.50,4.90,23.81,3,107115,86838,0.2100,4.45,4.50,4.50,4.60,4.48,4.57,200950,3.02,6.91,2.97,5.25,57969521,132.66,515058,112.55,,20014901,135,7,15.47,5.96,False,0.16,3,4.90,15.68,2.00,1.00,0.30,0.30,0.00,0.00,0.20,2.000,1.172,0.20,0.00,57.89,2.314,1.172
FOFO,2026-03-09,14:07:00,3.71,3.54,4.08,1219,15:52:00,4.10,force_close,477.30,10.56,18,0.1660,0.3690,2.50,202.41,8.43,17.86,10,613,225,0.2800,3.55,3.69,3.69,3.69,3.69,3.69,101,3.40,4.18,3.21,4.17,41104,30.02,51232,0.80,,3571050,277,1,5.38,-1.16,False,0.16,2,8.43,5.61,2.00,1.00,0.30,0.00,0.30,0.00,0.20,2.000,1.172,0.20,0.00,15.40,0.448,1.172
NIOG,2026-03-10,10:04:00,17.38,16.73,18.78,735,15:52:00,18.65,force_close,936.06,7.33,70,0.6477,1.4032,2.50,476.10,7.74,20.60,5,10614,1024,1.2200,16.74,17.29,17.29,17.29,17.29,17.29,125,16.11,18.75,15.30,18.66,171592,22.55,16219,10.58,,359605,34,3,4.48,10.77,False,0.11,3,7.74,4.55,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,1.688,0.20,0.00,18.61,0.122,1.688
XGN,2026-03-10,10:06:00,3.33,3.19,3.59,3426,10:08:00,3.18,stop,-517.69,-4.54,6,0.1415,0.2625,2.50,484.95,10.14,21.67,3,32841,643,0.3000,3.19,3.29,3.31,3.31,3.22,3.30,6467,3.40,3.79,2.91,3.25,926099,30.14,325117,2.85,,13807348,36,4,6.08,0.59,False,0.11,3,10.14,7.11,2.00,2.00,0.00,0.00,0.30,0.30,0.20,2.000,1.688,0.20,0.00,17.87,10.063,1.688
ACXP,2026-03-11,11:05:00,4.90,4.68,5.39,1492,11:08:00,4.67,stop,-348.61,-4.76,6,0.2196,0.4880,2.50,327.64,8.46,47.37,2,733950,716468,0.3800,4.69,4.88,4.84,5.00,4.82,4.92,1043341,3.48,6.30,3.30,6.03,107124173,90.91,2144960,49.94,,4169150,95,4,16.52,20.00,False,0.09,2,8.46,16.11,1.80,1.80,0.30,0.00,0.00,0.30,0.00,1.800,1.623,0.20,0.00,66.90,1.456,1.623
ANNA,2026-03-11,14:39:00,3.52,3.43,3.69,2700,14:51:00,3.42,stop,-264.03,-2.78,11,0.0875,0.1750,2.50,236.25,6.00,49.93,2,1706,1322,0.2003,3.44,3.50,3.48,3.52,3.48,3.52,799,3.01,3.78,2.96,3.48,798675,27.70,416269,1.92,,9752727,309,1,2.45,3.44,False,0.09,2,6.00,2.96,2.10,1.00,0.30,0.30,0.00,0.30,0.00,2.100,1.623,0.20,0.00,28.87,0.605,1.623
VRCA,2026-03-11,09:47:00,6.12,5.85,6.73,1992,15:46:00,6.15,force_close,58.86,0.48,120,0.2740,0.6090,2.50,545.91,7.92,-80.00,4,3475,1101,0.4000,5.77,6.09,6.07,6.14,6.00,6.00,3626,5.05,6.51,5.05,6.26,222061,28.88,136751,1.62,,7896744,17,2,8.65,-15.55,False,0.09,2,7.92,7.90,3.00,1.80,0.30,-0.30,0.30,0.30,0.20,3.000,1.623,0.20,0.00,22.77,3.293,1.623
MCRP,2026-03-12,14:16:00,4.17,4.10,4.28,4189,14:37:00,4.09,stop,-347.90,-1.99,16,0.0707,0.1127,2.50,296.37,3.59,48.28,2,10457,915,0.1450,4.11,4.15,4.15,4.15,4.15,4.15,1004,3.47,4.19,3.42,3.97,235370,22.51,230215,1.02,,11886494,286,2,8.51,-1.42,False,-0.07,2,3.59,9.01,2.10,1.00,0.00,0.30,0.30,0.30,0.00,2.100,1.641,0.20,0.00,22.22,1.097,1.641
SEAT,2026-03-12,09:57:00,6.04,5.76,6.64,1500,11:46:00,6.33,trail_stop,436.28,4.82,33,0.2800,0.6000,2.50,420.07,6.40,12.53,6,991,464,0.3400,5.61,6.00,6.01,6.02,6.01,6.02,382,5.06,6.63,5.06,5.65,168271,31.03,107555,1.56,,3544539,27,3,13.78,-17.05,False,-0.07,2,6.40,14.27,2.00,2.00,0.30,-0.30,0.30,0.30,0.20,2.000,1.641,0.20,0.00,18.58,0.824,1.641
EDHL,2026-03-13,10:13:00,3.64,3.51,3.84,4500,11:11:00,3.82,trail_stop,820.37,5.01,56,0.1281,0.2000,2.50,576.45,8.78,24.15,2,4107,3268,0.2899,3.52,3.59,3.62,3.62,3.60,3.60,705,3.76,4.37,3.25,4.24,4909873,34.46,210545,23.32,,541273,43,2,3.31,8.67,False,0.12,2,8.78,4.68,2.00,2.00,0.30,0.30,0.00,0.00,0.20,2.000,1.048,0.20,0.00,18.15,0.216,1.048
