symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult
BAER,2025-01-10,09:21:00,3.55,3.44,3.77,6000,09:30:00,3.79,trail_stop,1459.76,6.86,13,0.1076,0.2250,2.50,645.90,5.76,21.05,4,23208,21067,0.1900,3.45,3.53,3.50,3.56,3.50,3.56,17627,3.82,4.43,2.91,3.28,51728045,52.41,988157,52.35,Industrials,36982650,51,1,0.75,31.54,True,-0.14,3,5.76,1.25,1.80,1.50
AIRS,2025-01-13,10:04:00,4.29,4.10,4.72,2808,11:50:00,4.56,trail_stop,756.49,6.27,93,0.1923,0.4273,2.50,539.96,5.40,46.99,5,8879,1134,0.2128,4.05,4.27,4.27,4.29,4.27,4.29,1974,4.05,5.06,3.83,4.79,939842,32.11,270258,3.48,Healthcare,10777264,94,2,3.22,-32.27,False,0.02,4,5.40,3.50,1.60,1.50
KULR,2025-01-13,09:49:00,2.03,1.94,2.23,4499,10:13:00,1.93,stop,-431.54,-4.72,28,0.0901,0.2000,2.50,405.36,10.50,26.32,2,736420,324986,0.1900,1.95,2.02,1.99,2.03,1.99,2.03,235001,2.13,2.25,1.81,2.21,31375892,24.31,37015704,0.85,Technology,43203756,79,1,0.48,-7.08,False,0.02,2,10.50,1.03,1.80,1.00
STIM,2025-01-13,09:37:00,2.20,2.12,2.39,8400,09:40:00,2.47,trail_stop,2231.69,12.07,6,0.0859,0.1875,2.50,721.98,14.66,23.21,2,24499,11856,0.2800,2.12,2.19,2.19,2.31,2.19,2.30,26238,1.95,2.80,1.76,2.34,10421604,59.18,283726,36.73,Healthcare,28677738,67,1,4.73,14.04,False,0.02,2,14.66,3.67,2.10,1.50
AIFF,2025-01-14,09:26:00,4.46,4.31,4.79,2307,09:31:00,5.11,exhaust+trail_stop,1446.66,14.05,7,0.1522,0.3250,2.50,351.13,10.72,27.91,2,381226,312029,0.4300,4.32,4.44,4.43,4.53,4.40,4.40,540432,4.49,5.80,2.85,3.15,131280318,103.51,816061,160.87,Technology,12899857,56,1,12.27,89.48,False,-0.09,5,10.72,12.46,1.50,1.00
FGL,2025-01-14,10:09:00,2.51,2.45,2.65,8727,10:23:00,2.44,stop,-653.09,-2.98,16,0.0675,0.1375,2.50,589.07,6.16,31.03,2,22769,12846,0.1450,2.46,2.50,2.49,2.50,2.47,2.47,15068,2.09,2.55,1.88,1.94,1104848,35.63,1299532,0.85,Industrials,154787,99,1,5.58,1.46,False,-0.09,2,6.16,5.79,1.60,1.50
ARQQ,2025-01-15,08:46:00,22.26,21.72,22.94,1555,09:30:00,24.50,exhaust+trail_stop,3525.48,10.18,32,0.5407,0.6750,2.50,840.87,6.42,12.12,5,4050,2273,1.3200,21.73,21.99,22.15,22.19,22.15,22.19,824,24.85,25.41,20.08,20.59,1335901,26.54,941888,1.42,Technology,5326954,16,4,2.63,13.02,False,-0.05,2,6.42,3.81,2.10,1.00
MASS,2025-01-15,10:08:00,2.61,2.57,2.69,7833,10:12:00,2.68,trail_stop,516.50,2.52,6,0.0430,0.0750,2.50,336.82,4.84,16.67,2,4869,4548,0.1200,2.58,2.60,2.58,2.64,2.58,2.62,21984,2.52,3.09,2.41,2.91,12218944,28.22,391675,31.20,Healthcare,23011847,98,1,1.35,20.20,False,-0.05,3,4.84,1.81,1.80,1.00
VMAR,2025-01-15,08:46:00,2.05,2.01,2.13,8000,08:54:00,2.11,trail_stop,505.92,3.08,10,0.0402,0.0750,2.50,321.60,3.05,16.67,3,16312,13393,0.0600,2.02,2.04,2.04,2.04,2.02,2.02,10767,2.03,2.55,1.70,2.05,67133187,50.00,23901305,2.81,Consumer Cyclical,788045,16,1,1.22,42.14,False,-0.05,3,3.05,1.71,1.20,1.00
SPHL,2025-01-16,10:39:00,3.75,3.59,4.13,2409,11:37:00,3.94,trail_stop,449.02,4.97,33,0.1681,0.3735,2.50,404.89,4.05,7.50,2,3887,2200,0.1400,3.59,3.73,3.72,3.74,3.72,3.74,1259,3.33,4.12,2.93,3.51,198774,40.57,500712,0.40,Consumer Cyclical,943937,129,1,11.74,1.71,False,-0.09,2,4.05,11.49,1.20,1.50
ZYBT,2025-01-29,10:39:00,4.60,4.44,4.94,3999,10:42:00,4.43,stop,-684.61,-3.72,3,0.1579,0.3375,2.50,631.34,10.98,22.22,3,4268,1340,0.4500,4.45,4.58,4.48,4.59,4.48,4.59,2840,4.10,4.77,3.95,4.53,93452,20.65,326528,0.29,Healthcare,4418772,129,1,8.30,-2.61,False,-0.02,4,10.98,8.38,1.80,1.50
DOMH,2025-01-31,10:23:00,3.62,3.49,3.81,5066,10:36:00,3.80,trail_stop,899.62,4.91,15,0.1330,0.1875,2.50,673.78,6.47,47.99,5,4767,1764,0.2188,3.50,3.56,3.60,3.60,3.60,3.60,351,3.76,4.35,3.25,3.49,1342813,33.85,349427,3.84,Financial Services,9239991,113,4,-9.40,-2.23,False,0.01,3,6.47,-7.92,1.90,1.00
NVCT,2025-02-05,09:39:00,7.09,6.79,7.57,2932,15:00:00,7.27,eod,541.69,2.61,242,0.3002,0.4875,2.50,880.33,19.45,12.83,3,8607,3545,1.1300,6.79,6.98,7.05,7.05,6.99,7.05,7702,5.81,7.50,5.81,7.15,496551,29.09,97785,5.08,Healthcare,15438834,69,1,9.03,-5.57,False,-0.01,4,19.45,9.88,2.10,1.50
HKD,2025-02-06,10:06:00,3.26,3.16,3.46,3999,10:09:00,3.15,stop,-427.84,-3.28,5,0.0975,0.2000,2.50,389.93,5.88,38.89,2,82227,35415,0.1800,3.17,3.24,3.24,3.28,3.23,3.27,81547,2.94,3.32,2.80,3.20,5355559,18.57,244131,21.94,Technology,43990309,96,1,5.72,10.94,False,-0.08,6,5.88,5.95,1.60,1.00
BFRG,2025-02-10,10:28:00,3.50,3.40,3.69,4050,10:34:00,3.61,trail_stop,467.08,3.30,8,0.0964,0.1975,2.50,390.42,5.79,31.05,4,37464,5293,0.1900,3.41,3.48,3.46,3.48,3.44,3.44,6799,3.22,4.35,3.20,3.36,14154888,35.92,690024,20.51,Healthcare,10223833,118,4,-0.78,15.03,False,-0.06,2,5.79,-0.28,1.60,1.00
DOMH,2025-02-10,10:08:00,4.17,4.01,4.52,1858,10:14:00,4.00,stop,-320.84,-4.14,10,0.1606,0.3497,2.50,298.49,12.32,47.31,2,23549,19352,0.4650,4.02,4.15,4.14,4.16,4.07,4.14,10146,3.90,6.50,3.74,6.16,23714849,73.98,467391,50.74,Financial Services,9239991,98,3,-3.14,16.61,False,-0.06,4,12.32,-2.64,1.30,1.00
DOMH,2025-02-11,10:47:00,8.45,8.21,8.95,2850,10:54:00,8.19,stop,-760.04,-3.16,12,0.2420,0.5000,2.50,689.84,8.27,44.62,2,113598,53074,0.6500,8.22,8.41,8.23,8.65,8.23,8.60,136462,10.43,11.33,7.33,7.46,33245308,54.57,1651460,20.13,Financial Services,9239991,137,1,-10.75,28.25,False,0.07,4,8.27,-10.19,1.90,1.50
CRSR,2025-02-13,09:46:00,12.04,11.67,12.82,832,09:54:00,11.63,stop,-338.89,-3.38,10,0.3723,0.7810,2.50,309.76,17.38,8.00,4,46421,22504,1.7500,11.68,11.98,11.92,12.07,11.83,12.03,85402,10.07,12.60,10.07,12.51,5445847,25.12,1189333,4.58,Technology,46738369,76,1,6.27,1.31,False,0.02,10,17.38,6.01,1.30,1.00
MTW,2025-02-13,09:43:00,12.06,11.74,12.43,2599,09:44:00,12.02,post_fill_exit,-94.03,-0.30,1,0.3200,0.3750,2.50,831.68,14.69,4.95,3,13465,3319,1.5150,11.75,11.89,,,,,,10.33,12.12,10.31,10.90,1144732,17.60,246479,4.64,Industrials,32964028,73,2,5.31,5.73,False,0.02,8,14.69,,1.30,1.50
MTW,2025-02-13,09:45:00,12.07,11.74,12.45,2599,09:46:00,12.03,post_fill_exit,-94.11,-0.30,1,0.3303,0.3750,2.50,858.32,14.69,4.95,3,13465,3319,1.5150,11.75,11.89,,,,,,10.33,12.12,10.31,10.90,1144732,17.60,246479,4.64,Industrials,32964028,75,2,4.75,5.73,False,0.02,8,14.69,,1.30,1.50
RRGB,2025-02-27,09:45:00,6.00,5.72,6.57,1130,10:15:00,5.70,stop,-330.85,-4.88,32,0.2756,0.5750,2.50,311.46,4.92,40.15,4,43803,34139,0.2740,5.73,5.95,5.97,5.97,5.82,5.82,29713,5.39,6.24,5.25,6.08,3921954,18.86,290724,13.49,Consumer Cyclical,13977531,75,1,5.69,23.01,False,0.05,2,4.92,6.32,1.30,1.00
SRI,2025-02-27,09:47:00,5.20,4.99,5.66,3405,12:11:00,4.98,stop,-769.00,-4.34,139,0.2109,0.4625,2.50,718.03,12.75,29.01,3,29260,10247,0.5846,5.00,5.17,5.12,5.21,5.12,5.20,14660,4.63,5.43,4.51,5.07,2460022,20.40,306092,8.04,Consumer Cyclical,24622960,77,1,6.35,10.24,False,0.05,5,12.75,6.35,2.10,1.50
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,16498,11:48:00,3.90,exhaust+trail_stop,6677.58,11.51,23,0.1075,0.1000,2.50,1773.53,8.44,41.82,2,3653,929,0.2750,3.42,3.45,3.50,3.50,3.50,3.50,1110,3.60,4.02,2.78,3.97,174227,44.60,869210,0.20,Energy,6883781,106,1,6.86,-0.83,False,,2,8.44,8.75,2.20,1.50
SCOR,2025-03-05,09:53:00,7.19,6.99,7.59,613,10:11:00,6.97,stop,-134.39,-3.05,14,0.1983,0.4062,2.50,121.53,5.58,0.00,2,821,452,0.3700,7.00,7.15,7.03,7.29,7.03,7.29,2263,6.59,7.30,6.50,6.94,131830,12.31,20471,6.44,Technology,3316591,83,1,7.10,10.68,False,,2,5.58,6.51,2.10,1.50
KLXE,2025-03-07,09:52:00,5.27,5.03,5.79,1860,09:55:00,5.02,stop,-466.66,-4.76,6,0.2358,0.5240,2.50,438.59,6.50,35.20,3,9967,7413,0.3088,4.95,5.24,5.15,5.24,5.13,5.24,18230,4.10,5.29,4.10,4.74,687164,29.02,174056,3.95,Energy,13446529,82,1,7.26,-0.49,False,,2,6.50,6.00,1.30,1.50
SKBL,2025-03-10,09:44:00,10.30,9.94,10.76,2605,12:40:00,10.54,trail_stop,615.29,2.29,114,0.3610,0.4605,2.50,940.53,3.81,35.14,3,4661,2698,0.3700,9.95,10.12,10.25,10.30,10.02,10.11,11526,9.56,10.93,9.25,10.85,399035,18.14,1226600,0.33,Industrials,9472782,14,1,2.24,10.27,False,,3,3.81,3.66,1.60,1.50
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,4518,12:05:00,4.38,trail_stop,1112.95,5.96,132,0.1599,0.3485,2.50,722.64,49.63,6.67,5,31462,10407,1.3500,3.98,4.11,4.02,4.16,4.01,4.12,39095,2.72,4.55,2.72,4.45,1877569,67.26,423153,4.44,Consumer Defensive,24439658,26,3,8.44,-46.77,False,,2,49.63,6.14,2.10,1.50
METC,2025-03-11,09:44:00,10.85,10.48,11.64,1518,10:04:00,11.08,trail_stop,352.62,2.14,22,0.3701,0.7902,2.50,561.78,9.66,35.51,4,34901,17074,0.9537,10.49,10.80,10.77,11.07,10.74,11.07,33744,9.15,11.74,9.08,11.62,3011886,29.30,569460,5.29,Basic Materials,39199856,14,1,4.62,8.93,False,,4,9.66,4.65,1.60,1.50
DOYU,2025-03-14,10:20:00,9.75,9.47,10.13,2480,10:25:00,9.44,stop,-761.14,-3.15,7,0.2785,0.3830,2.50,690.68,4.57,30.92,2,4889,2178,0.4198,9.48,9.62,9.70,9.70,9.60,9.60,4420,7.80,9.93,7.52,8.79,656334,32.05,334645,1.96,Communication Services,12666972,50,1,10.14,-2.01,False,,6,4.57,11.37,1.90,1.00
MTEN,2025-03-14,09:49:00,5.83,5.57,6.41,2068,09:53:00,6.02,trail_stop,396.81,3.29,10,0.2610,0.5800,2.50,539.75,20.70,45.00,3,5355,979,1.0000,5.38,5.80,5.70,6.32,5.70,5.91,16258,4.83,7.40,4.83,5.68,878708,53.21,70951,12.38,Industrials,33332,19,2,6.57,-3.59,False,,5,20.70,3.46,1.60,1.50
ADTX,2025-03-18,10:44:00,8.97,8.57,9.87,1006,10:51:00,9.61,trail_stop,639.35,7.08,10,0.4018,0.8929,2.50,404.22,18.94,29.45,5,751966,500661,1.3581,8.13,8.93,8.34,9.32,8.31,8.80,782561,5.81,10.04,5.16,7.50,91160665,94.57,175879879,0.52,Healthcare,884922,74,2,23.31,32.95,False,,4,18.94,23.32,1.20,1.50
QMCO,2025-03-18,10:34:00,21.52,21.11,22.27,1451,10:36:00,21.04,stop,-686.99,-2.20,4,0.4101,0.7578,2.50,595.12,4.77,35.52,2,26892,14106,0.9773,21.12,21.41,21.30,21.49,21.13,21.23,42165,19.48,24.40,17.56,19.80,6858977,38.95,1481441,4.63,Technology,14364737,64,1,11.74,-9.35,False,,3,4.77,12.02,2.20,1.00
KBSX,2025-03-19,10:07:00,3.87,3.70,4.25,3115,10:17:00,4.78,exhaust+trail_stop,2851.15,23.66,12,0.1732,0.3850,2.50,539.67,10.83,50.00,2,21416,9790,0.3800,3.70,3.85,3.75,3.94,3.75,3.93,8120,3.50,4.91,3.47,4.05,4398328,41.50,2714018,1.62,Basic Materials,18744421,37,1,1.25,-36.25,False,,2,10.83,1.78,1.60,1.50
BKKT,2025-03-20,09:56:00,11.89,11.36,13.07,549,10:09:00,12.63,trail_stop,406.53,6.23,21,0.5323,1.1830,2.50,292.26,10.38,35.36,2,18347,14214,1.1000,11.31,11.83,11.74,12.10,11.70,12.02,28070,9.60,13.20,9.34,10.52,2425678,41.30,515214,4.71,Technology,28695974,26,1,10.57,3.11,False,,5,10.38,8.77,1.30,1.00
BLNE,2025-03-20,10:00:00,2.40,2.34,2.48,3756,10:04:00,2.33,stop,-259.05,-2.87,6,0.0619,0.0750,2.50,232.68,8.36,5.49,3,6285,840,0.1820,2.35,2.37,2.39,2.39,2.37,2.37,1671,2.76,2.76,2.10,2.40,350670,31.43,125224,2.80,Financial Services,21353248,30,2,-2.55,13.58,False,,3,8.36,-1.19,2.40,1.50
OM,2025-03-20,10:26:00,10.02,9.66,10.79,2031,10:36:00,11.22,trail_stop,2440.52,11.99,8,0.3598,0.7750,2.50,730.86,7.10,20.00,5,3809,2211,0.6500,9.67,9.97,9.85,10.06,9.79,10.00,5544,7.85,11.62,7.85,11.28,363374,47.96,1110199,0.33,Healthcare,13057837,56,4,9.25,1322.62,False,,2,7.10,9.14,2.10,1.50
TITN,2025-03-20,09:44:00,15.34,14.57,16.85,642,12:53:00,16.64,trail_stop,834.63,8.48,173,0.7636,1.5180,2.50,490.23,11.12,30.00,4,8498,7374,1.5000,14.54,15.18,15.26,15.50,15.25,15.50,8439,12.50,17.45,12.50,16.63,1490723,39.60,230755,6.46,Industrials,18977912,14,1,8.50,-15.14,False,,2,11.12,9.10,1.30,1.50
ANNA,2025-03-21,10:08:00,8.84,8.45,9.72,472,10:12:00,9.23,trail_stop,180.42,4.32,4,0.3960,0.8800,2.50,186.91,14.24,-11.22,5,996,658,1.0250,8.34,8.80,8.80,8.80,8.80,8.80,119,7.30,9.65,7.10,7.70,65715,35.92,15786,4.16,Energy,9533929,38,2,8.81,-4.33,False,0.10,4,14.24,9.22,1.50,1.50
CHCI,2025-03-21,10:42:00,8.43,8.10,9.16,136,11:22:00,8.08,stop,-48.45,-4.23,25,0.3320,0.7250,2.50,45.15,7.89,45.82,2,1610,346,0.6133,8.11,8.39,8.39,8.42,8.39,8.42,3128,7.02,8.79,7.02,7.74,166633,25.21,6831,24.39,Real Estate,3668500,72,1,6.05,3.54,False,0.10,5,7.89,5.96,1.90,1.00
MLGO,2025-03-24,09:43:00,4.72,4.51,5.19,1382,09:44:00,4.50,stop,-311.00,-4.76,5,0.2115,0.4700,2.50,292.29,20.30,45.57,3,1675844,1321025,0.7898,4.32,4.70,4.51,4.71,4.51,4.64,1378495,4.02,15.34,3.83,13.99,304722008,301.03,8912787,34.19,Technology,10879809,13,1,7.27,59.52,False,-0.10,4,20.30,7.08,1.30,1.00
ZYBT,2025-03-25,10:12:00,6.69,6.59,6.87,1666,10:15:00,6.57,stop,-205.03,-1.84,5,0.1033,0.1750,2.50,172.10,6.88,45.71,2,13384,2106,0.4375,6.60,6.66,6.65,6.74,6.65,6.70,1104,5.72,9.28,5.24,8.20,2350343,77.09,83342,28.20,Healthcare,4418772,42,1,6.71,-1.38,False,0.04,2,6.88,7.22,1.90,1.00
JFIN,2025-03-27,10:16:00,15.48,15.03,16.38,888,10:17:00,14.98,stop,-436.98,-3.18,3,0.4470,0.9000,2.50,396.94,6.35,39.13,2,14646,3834,0.9200,15.04,15.39,15.40,15.40,15.10,15.31,9996,13.13,16.22,13.00,14.84,783327,24.77,216842,3.61,Communication Services,43968586,46,1,7.40,8.51,False,0.02,5,6.35,7.79,1.60,1.00
QNTM,2025-03-28,10:16:00,10.42,10.16,10.72,3166,10:18:00,10.60,trail_stop,552.20,1.67,4,0.2618,0.3000,2.50,829.02,6.02,37.29,2,52698,20826,0.5900,10.17,10.28,10.37,10.47,10.34,10.36,18250,9.87,12.45,8.00,8.56,14126460,55.58,710285,19.89,Healthcare,5362516,46,1,-2.03,17.78,False,-0.01,2,6.02,-0.67,1.90,1.00
DOMH,2025-03-31,10:22:00,4.43,4.30,4.71,3470,10:33:00,4.29,stop,-501.25,-3.26,13,0.1315,0.2737,2.50,456.48,6.47,47.98,3,16080,2796,0.2699,4.31,4.41,4.36,4.48,4.36,4.43,15445,5.46,5.46,3.84,4.00,8445246,42.15,404458,20.88,Financial Services,9239991,52,2,-5.28,14.23,False,0.06,4,6.47,-4.76,1.90,1.00
WHLR,2025-03-31,10:44:00,3.51,3.42,3.68,6876,10:57:00,3.41,stop,-681.54,-2.82,8,0.0889,0.1745,2.50,610.99,6.11,19.91,2,2690,446,0.1999,3.43,3.49,3.49,3.49,3.49,3.49,215,3.06,3.56,2.92,3.16,103668,21.98,2546969,0.04,Real Estate,539055,74,2,5.06,-7.27,False,0.06,3,6.11,5.61,2.40,1.00
ZYBT,2025-03-31,10:03:00,6.22,6.03,6.60,2000,10:12:00,6.01,stop,-418.08,-3.36,9,0.1909,0.3750,2.50,381.90,3.02,-5.66,2,1712,925,0.1767,6.04,6.18,6.19,6.25,6.16,6.20,4555,5.11,6.25,5.11,5.38,129653,22.31,298018,0.44,Healthcare,4418772,33,1,7.36,0.10,False,0.06,3,3.02,7.33,1.50,1.00
CGNT,2025-04-02,09:41:00,9.97,9.70,10.32,5142,11:11:00,9.67,stop,-1535.92,-3.00,90,0.2696,0.3500,2.50,1386.28,7.80,19.65,2,31082,10860,0.7124,9.71,9.84,9.92,9.94,9.86,9.86,14780,9.20,10.31,9.14,9.95,1979719,12.89,317970,6.23,Technology,45807718,11,1,3.73,11.92,False,,7,7.80,4.88,2.40,1.50
SBFM,2025-04-02,10:18:00,3.00,2.90,3.23,1916,10:28:00,2.89,stop,-217.75,-3.78,14,0.1049,0.2250,2.50,201.08,6.07,35.29,3,226220,156656,0.1700,2.91,2.99,2.98,3.04,2.98,3.01,158793,3.29,3.90,2.02,2.25,67962503,93.07,95838,709.14,Healthcare,4903983,48,3,-10.72,58.17,True,,3,6.07,-10.23,1.60,1.00
TTEC,2025-04-02,09:55:00,4.66,4.58,4.80,10753,09:56:00,4.57,stop,-1041.32,-2.08,4,0.0831,0.1325,2.50,893.57,4.02,38.85,3,129855,34392,0.1799,4.59,4.63,4.64,4.70,4.61,4.68,106960,4.07,5.43,4.07,4.99,17189137,33.42,437349,39.30,Technology,19940528,25,3,4.18,24.46,False,,3,4.02,4.60,1.90,1.50
VMAR,2025-04-02,10:31:00,5.98,5.71,6.57,1638,10:43:00,8.34,exhaust+trail_stop,3121.64,31.87,6,0.2677,0.5950,2.50,438.57,16.08,45.76,4,4182,3318,0.8299,5.61,5.95,5.92,6.15,5.92,6.15,13473,4.61,9.53,4.61,5.07,1985347,106.72,249786,7.95,Consumer Cyclical,788045,61,1,12.85,4.92,False,,3,16.08,11.10,1.30,1.50
ARTV,2025-04-07,10:07:00,2.66,2.53,2.89,3936,10:23:00,3.01,trail_stop,1355.75,12.93,17,0.1332,0.2250,2.50,524.47,6.01,-50.00,5,1072,293,0.1400,2.54,2.62,2.65,2.71,2.64,2.71,2753,2.29,4.95,2.19,3.31,8989245,126.03,131242,68.49,Healthcare,4233224,37,1,10.76,-6.15,False,-0.19,2,6.01,10.57,1.80,1.50
INSG,2025-04-07,10:19:00,7.51,7.26,7.89,3331,10:21:00,7.24,stop,-920.58,-3.68,4,0.2546,0.3750,2.50,848.03,6.03,-17.22,3,2686,358,0.4095,7.27,7.41,7.48,7.48,7.48,7.48,319,6.56,7.60,6.24,6.96,143234,21.79,111077,1.29,Technology,13872865,49,1,10.89,-4.93,False,-0.19,3,6.03,12.33,2.10,1.50
RIOX,2025-04-07,09:59:00,6.91,6.67,7.19,6544,10:12:00,7.67,exhaust+trail_stop,5418.18,11.97,13,0.2444,0.2750,2.50,1599.35,6.92,17.64,3,5007,1558,0.4371,6.68,6.78,6.88,6.93,6.88,6.93,2040,5.75,8.40,5.66,7.05,312998,48.41,257917,1.21,,4650700,29,1,7.45,-15.94,False,-0.19,2,6.92,9.13,2.40,1.50
TNXP,2025-04-07,09:56:00,17.19,16.82,17.89,2356,09:58:00,17.38,trail_stop,463.42,1.14,4,0.3655,0.7000,2.50,861.12,7.95,36.88,2,12400,6116,1.2740,16.83,17.10,16.91,17.60,16.91,17.60,13820,14.55,18.25,14.21,17.80,1257074,28.43,1700591,0.74,Healthcare,13381405,26,1,8.17,-6.97,False,-0.19,3,7.95,7.94,2.20,1.50
TTGT,2025-04-07,10:19:00,9.96,9.65,10.36,3373,10:22:00,9.62,stop,-1141.76,-3.40,5,0.3095,0.4000,2.50,1044.11,4.53,-18.07,2,916,614,0.4150,9.66,9.81,9.91,9.91,9.82,9.91,1965,8.76,9.92,8.16,9.04,544316,21.57,264127,2.06,Technology,16947567,49,1,10.68,-5.09,False,-0.19,2,4.53,11.87,1.80,1.50
