day,symbol,m
2026-02-10,MSTU,593
2026-02-11,ANGI,581
2026-02-11,CONL,576
2026-02-11,HOOG,576
2026-02-11,LABX,576
2026-02-11,QVCC,594
2026-02-11,RPD,583
2026-02-12,APPX,589
2026-02-12,QS,578
2026-02-13,DCH,580
2026-02-13,IONZ,624
2026-02-13,RARE,603
2026-02-13,RGTZ,589
2026-02-17,GEMI,583
2026-02-17,QBTX,581
2026-02-17,RGTU,590
2026-02-17,RGTX,590
2026-02-17,RIOX,583
2026-02-19,IBRX,576
2026-02-19,IRE,577
2026-02-19,KLAR,576
2026-02-20,DNOW,576
2026-02-23,IONL,581
2026-02-24,ARVN,582
2026-02-24,FWRG,578
2026-02-25,BMNZ,588
2026-02-25,BTCZ,588
2026-02-25,INGN,576
2026-02-25,MSTZ,593
2026-02-26,DPRO,581
2026-02-26,ENVX,584
2026-02-26,EOSE,585
2026-02-26,FSK,577
2026-02-26,LRMR,635
2026-02-26,METC,581
2026-02-26,SMU,619
2026-02-26,SSL,609
2026-02-26,VITL,576
2026-02-27,CONL,585
2026-02-27,CSTL,576
2026-02-27,ETHU,583
2026-02-27,FLGT,585
2026-02-27,INFQ,583
2026-02-27,IONX,577
2026-02-27,RGTX,577
2026-02-27,SG,580
2026-02-27,VELO,576
2026-02-27,XPOF,580
2026-03-02,AARD,576
2026-03-02,CLPT,585
2026-03-02,PYPG,596
2026-03-03,APLD,605
2026-03-03,APPX,580
2026-03-03,ARMG,576
2026-03-03,BITX,582
2026-03-03,CRDU,576
2026-03-03,CRML,583
2026-03-03,GRRR,604
2026-03-03,LTBR,605
2026-03-03,OKLL,620
2026-03-03,ORCU,576
2026-03-03,ORCX,599
2026-03-03,RDTL,576
2026-03-03,RETL,586
2026-03-03,RGTX,605
2026-03-03,SUPV,606
2026-03-03,TBPH,576
2026-03-03,TE,627
2026-03-03,TEMT,589
2026-03-03,UUUU,589
2026-03-03,WEBL,609
2026-03-04,CRCD,588
2026-03-04,IREZ,589
2026-03-05,AEO,585
2026-03-05,HELP,576
2026-03-05,IRE,576
2026-03-05,LWLG,579
2026-03-05,PEPG,591
2026-03-06,AEYE,587
2026-03-06,ALOY,579
2026-03-06,BEX,576
2026-03-06,KOLD,628
2026-03-06,PDYN,576
2026-03-06,RIOX,582
2026-03-06,SCO,576
2026-03-06,SMCX,576
2026-03-06,SVIX,588
2026-03-09,CCL,582
2026-03-09,IONX,579
2026-03-09,SOFX,576
2026-03-11,GRPN,590
2026-03-11,PANL,633
2026-03-12,LITX,595
2026-03-12,NBIG,582
2026-03-13,BMNZ,594
2026-03-13,MSTZ,631
2026-03-13,NCI,580
2026-03-16,BMNZ,576
2026-03-16,CRCD,576
2026-03-17,BATL,589
2026-03-18,ASM,578
2026-03-18,GSIT,621
2026-03-19,ASM,586
2026-03-19,CRCG,578
2026-03-19,MSTU,579
2026-03-19,PPTA,580
2026-03-19,PURR,576
2026-03-19,QBTX,598
2026-03-19,SGML,577
2026-03-19,SHNY,578
2026-03-19,SMU,577
2026-03-20,CING,576
2026-03-24,CNXC,576
2026-03-24,KPTI,588
2026-03-25,DPRO,576
2026-03-25,MSTZ,603
2026-03-25,RKLZ,580
2026-03-26,APLX,583
2026-03-26,PONY,576
2026-03-26,WVE,580
2026-03-31,CORD,584
2026-03-31,LABD,576
2026-03-31,PHR,576
2026-04-02,CONL,576
2026-04-02,MVLL,577
2026-04-02,ONDL,581
2026-04-02,QBTX,576
2026-04-02,SOFX,576
2026-04-06,ANNA,603
2026-04-06,CRCD,576
2026-04-06,MSTZ,576
2026-04-06,VELO,586
2026-04-07,ETHU,585
2026-04-07,GLND,582
2026-04-08,ANNA,599
2026-04-08,LXU,577
2026-04-14,IONZ,576
2026-04-15,QBTZ,576
2026-04-15,RGTZ,579
2026-04-17,SKYQ,625
2026-04-20,FRMI,620
2026-04-20,QBTX,576
2026-04-20,SMU,581
2026-04-22,RGTZ,578
2026-04-22,RKLZ,580
2026-04-22,SPRC,578
2026-04-23,AGPU,577
2026-04-23,CRMX,593
2026-04-23,POET,593
2026-04-23,TORO,584
2026-04-24,COUR,579
2026-04-24,FIRY,588
2026-04-24,SKLZ,588
2026-04-24,WU,577
2026-04-27,AGPU,578
2026-04-27,PBM,578
2026-04-27,TRT,583
2026-04-28,ERAS,582
2026-04-28,IRE,601
2026-04-28,IREX,601
2026-04-28,LPTH,614
2026-04-28,NKLR,627
2026-04-28,WOLF,591
2026-04-29,CONL,580
2026-04-30,LXU,608
2026-04-30,STGW,607
2026-05-01,MSTZ,578
2026-05-04,AIOS,578
2026-05-04,CCOI,576
2026-05-04,SNDQ,581
2026-05-05,ADTN,584
2026-05-05,EMBC,577
2026-05-06,CRTO,576
2026-05-06,IONZ,576
2026-05-06,SOXS,576
2026-05-06,ZSL,594
2026-05-07,ARMG,583
2026-05-07,FSLY,600
2026-05-07,OEC,579
2026-05-07,TROX,599
2026-05-08,CAI,580
2026-05-08,CONL,581
2026-05-08,CRNC,577
2026-05-08,CXDO,624
2026-05-08,REAL,576
2026-05-08,SMU,577
2026-05-08,TSSI,576
2026-05-08,TXG,627
2026-05-11,IRE,576
2026-05-12,ASTX,598
2026-05-12,FLNC,590
2026-05-12,SMU,577
2026-05-13,RXT,587
2026-05-14,CSIQ,581
2026-05-14,DOCS,629
2026-05-14,ENVX,577
2026-05-14,EOSE,588
2026-05-14,LWLG,577
2026-05-14,OKLL,577
2026-05-14,TNGX,583
2026-05-15,AEVA,576
2026-05-15,ARMG,579
2026-05-15,ATOM,600
2026-05-15,CONL,576
2026-05-15,CRWU,581
2026-05-15,DLO,599
2026-05-15,GSIT,587
2026-05-15,INFQ,580
2026-05-15,IPWR,607
2026-05-15,MSTU,577
