day,symbol,m
2025-10-30,EOSE,581
2025-10-30,FMC,576
2025-10-30,SOLT,577
2025-10-30,XXRP,576
2025-10-31,ALKT,579
2025-11-03,FRMM,621
2025-11-03,LXEO,587
2025-11-03,SMU,578
2025-11-03,SOC,624
2025-11-03,SOLT,617
2025-11-03,SOLZ,621
2025-11-03,SSK,622
2025-11-03,UAMY,633
2025-11-03,XRPT,610
2025-11-04,BTDR,576
2025-11-04,BULG,576
2025-11-04,CRCA,576
2025-11-04,CRWG,576
2025-11-04,DGNX,577
2025-11-04,DPRO,576
2025-11-04,FRMI,577
2025-11-04,NCLH,587
2025-11-04,NVA,576
2025-11-04,SOLT,579
2025-11-04,VERI,576
2025-11-04,WULF,576
2025-11-06,CXW,583
2025-11-06,ENVX,577
2025-11-06,JBI,586
2025-11-06,PRCH,593
2025-11-06,RDW,590
2025-11-06,RELY,576
2025-11-06,RXO,577
2025-11-06,ZVRA,613
2025-11-07,DGNX,581
2025-11-07,LABX,576
2025-11-07,SERV,578
2025-11-07,SKYT,577
2025-11-07,WYFI,577
2025-11-10,MNKD,601
2025-11-11,GEMI,592
2025-11-11,XRPT,631
2025-11-11,XXRP,631
2025-11-13,BTQ,576
2025-11-13,EGAN,581
2025-11-13,KDK,579
2025-11-13,NBIL,576
2025-11-13,WBTN,584
2025-11-13,WYFI,578
2025-11-14,CRWU,608
2025-11-14,CWVX,609
2025-11-14,VSTM,608
2025-11-17,BMNU,618
2025-11-17,CYCU,606
2025-11-17,IMSR,583
2025-11-19,SOLT,632
2025-11-20,PLTZ,576
2025-11-20,TECS,601
2025-11-20,TSDD,580
2025-11-20,TSLZ,580
2025-11-21,BITX,635
2025-11-24,TSDD,576
2025-11-24,TSLQ,576
2025-11-24,TSLZ,576
2025-11-25,AMDL,586
2025-11-25,CONL,581
2025-11-25,NVDX,581
2025-11-26,BMNZ,582
2025-12-01,BMNU,626
2025-12-01,CONL,628
2025-12-01,ETH,616
2025-12-01,ETHA,616
2025-12-01,ETHE,616
2025-12-01,SOLT,616
2025-12-01,TMC,585
2025-12-01,XXRP,616
2025-12-04,XRPT,592
2025-12-05,ADPT,619
2025-12-05,KOLD,578
2025-12-08,FLNC,631
2025-12-08,GURE,577
2025-12-09,SMU,581
2025-12-09,TWG,602
2025-12-10,QCLS,579
2025-12-10,SMU,596
2025-12-10,XCUR,577
2025-12-11,MSTU,591
2025-12-11,MSTX,591
2025-12-16,ULCC,577
2025-12-17,IMNM,628
2025-12-18,DBVT,576
2025-12-18,QBTZ,576
2025-12-22,IONZ,581
2025-12-23,BMNU,576
2025-12-23,CRWU,576
2025-12-23,NBY,588
2025-12-23,RGTU,606
2025-12-23,SDEV,588
2025-12-26,ZSL,599
2025-12-29,KXIN,576
2025-12-29,OKLL,632
2025-12-31,CHRN,577
2025-12-31,EKSO,577
2026-01-05,GDXD,580
2026-01-06,MH,603
2026-01-06,ZBIO,576
2026-01-07,BAIG,578
2026-01-07,HL,576
2026-01-07,MSTZ,592
2026-01-08,CRMD,593
2026-01-08,SGML,586
2026-01-08,TNGX,576
2026-01-08,XRPT,585
2026-01-09,BOIL,602
