,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
prev_day_close_position,-0.01,-0.02,0.04,0.01,0.04,-0.02,-0.01,-0.03,-0.01,-0.01,-0.02,-0.12,1.0,-0.01,-0.08,-0.01,-0.02,0.03,-0.05,0.02,0.01,0.02,-0.05,-0.05
avg_daily_volume_20d,0.02,-0.0,0.54,0.03,-0.2,0.02,-0.01,-0.02,-0.01,-0.01,0.35,0.04,-0.01,1.0,0.21,0.3,0.24,-0.08,-0.05,0.03,-0.06,-0.02,0.01,0.02
avg_daily_range_pct_20d,0.02,0.33,0.07,0.38,-0.2,-0.02,-0.04,-0.06,-0.03,-0.07,0.13,0.43,-0.08,0.21,1.0,0.04,0.17,0.05,-0.19,0.14,-0.16,-0.11,0.02,0.1
price_vs_20d_high_pct,-0.01,0.09,-0.01,0.08,-0.01,-0.01,-0.01,-0.03,-0.01,-0.02,0.86,0.01,-0.01,0.3,0.04,1.0,-0.0,0.0,-0.01,0.01,-0.03,-0.03,0.01,0.01
return_volatility_20d,0.02,0.09,0.01,0.11,-0.04,-0.0,-0.02,-0.03,0.01,-0.03,0.0,0.11,-0.02,0.24,0.17,-0.0,1.0,0.01,-0.03,0.02,-0.03,-0.02,0.01,0.02
prev_day_volume_vs_20d,-0.02,0.32,0.1,0.37,-0.05,-0.03,-0.03,-0.03,-0.0,-0.03,-0.01,0.44,0.03,-0.08,0.05,0.0,0.01,1.0,-0.0,0.02,-0.07,-0.05,0.04,0.02
spy_range_pct_5min,-0.07,-0.12,-0.06,-0.14,0.12,-0.04,-0.03,-0.02,0.03,-0.0,-0.03,-0.01,-0.05,-0.05,-0.19,-0.01,-0.03,-0.0,1.0,-0.45,0.42,0.27,-0.23,-0.26
spy_return_5min_pct,0.09,0.13,0.05,0.14,-0.12,0.05,0.06,0.04,0.02,0.05,0.01,0.03,0.02,0.03,0.14,0.01,0.02,0.02,-0.45,1.0,-0.59,-0.23,0.2,0.12
spy_gap_pct,-0.1,-0.19,-0.09,-0.2,0.18,-0.01,-0.02,0.01,-0.0,0.0,-0.03,-0.06,0.01,-0.06,-0.16,-0.03,-0.03,-0.07,0.42,-0.59,1.0,0.41,-0.28,-0.1
spy_3d_range_pct,-0.04,-0.22,-0.09,-0.22,0.08,-0.06,-0.09,-0.06,0.01,-0.05,-0.02,0.04,0.02,-0.02,-0.11,-0.03,-0.02,-0.05,0.27,-0.23,0.41,1.0,-0.14,-0.28
day_of_week,0.06,0.08,0.02,0.09,-0.04,0.01,0.02,0.0,-0.01,0.01,-0.01,0.01,-0.05,0.01,0.02,0.01,0.01,0.04,-0.23,0.2,-0.28,-0.14,1.0,0.07
days_since_month_start,0.02,0.05,0.04,0.06,-0.04,0.02,0.01,0.01,-0.02,-0.01,0.03,-0.01,-0.05,0.02,0.1,0.01,0.02,0.02,-0.26,0.12,-0.1,-0.28,0.07,1.0
