,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
avg_daily_range_pct_20d,0.02,0.36,0.07,0.4,-0.21,-0.02,-0.04,-0.05,-0.03,-0.08,0.12,0.43,-0.09,0.21,1.0,0.03,0.18,0.05,-0.2,0.16,-0.17,-0.13,0.04,0.09
price_vs_20d_high_pct,-0.01,0.08,-0.01,0.07,-0.0,-0.01,-0.01,-0.04,-0.01,-0.02,0.85,0.0,0.0,0.29,0.03,1.0,-0.0,0.0,-0.01,0.02,-0.02,-0.03,0.01,0.02
return_volatility_20d,0.01,0.11,0.01,0.13,-0.05,-0.01,-0.02,-0.03,0.0,-0.04,0.0,0.12,-0.02,0.14,0.18,-0.0,1.0,0.02,-0.04,0.02,-0.03,-0.02,0.01,0.02
prev_day_volume_vs_20d,-0.02,0.34,0.11,0.38,-0.04,-0.04,-0.03,-0.03,-0.01,-0.03,-0.01,0.44,0.02,-0.08,0.05,0.0,0.02,1.0,0.0,0.02,-0.07,-0.05,0.04,0.02
spy_range_pct_5min,-0.08,-0.12,-0.06,-0.14,0.13,-0.04,-0.03,-0.02,0.03,-0.0,-0.03,-0.01,-0.05,-0.06,-0.2,-0.01,-0.04,0.0,1.0,-0.46,0.42,0.27,-0.25,-0.27
spy_return_5min_pct,0.1,0.13,0.06,0.14,-0.14,0.05,0.05,0.03,0.01,0.04,0.02,0.03,0.03,0.04,0.16,0.02,0.02,0.02,-0.46,1.0,-0.62,-0.22,0.25,0.14
spy_gap_pct,-0.1,-0.19,-0.09,-0.2,0.19,-0.01,-0.02,0.01,-0.0,0.0,-0.02,-0.07,0.02,-0.07,-0.17,-0.02,-0.03,-0.07,0.42,-0.62,1.0,0.39,-0.29,-0.11
spy_3d_range_pct,-0.05,-0.22,-0.1,-0.22,0.09,-0.07,-0.1,-0.07,0.02,-0.05,-0.02,0.04,0.02,-0.02,-0.13,-0.03,-0.02,-0.05,0.27,-0.22,0.39,1.0,-0.14,-0.31
day_of_week,0.07,0.08,0.01,0.09,-0.06,0.01,0.02,0.01,-0.0,0.01,-0.01,0.03,-0.06,0.0,0.04,0.01,0.01,0.04,-0.25,0.25,-0.29,-0.14,1.0,0.08
days_since_month_start,0.02,0.07,0.03,0.07,-0.03,0.02,0.0,0.0,-0.03,-0.02,0.03,-0.02,-0.06,0.02,0.09,0.02,0.02,0.02,-0.27,0.14,-0.11,-0.31,0.08,1.0
