,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
prev_day_range_pct,-0.04,0.41,0.08,0.47,-0.12,-0.01,0.0,-0.01,0.05,-0.03,0.03,1.0,-0.15,0.07,0.5,0.0,0.12,0.48,0.05,-0.09,-0.01,0.0,-0.02,-0.03
prev_day_close_position,0.03,-0.09,0.08,-0.07,-0.02,0.03,0.03,0.03,0.01,0.05,-0.07,-0.15,1.0,-0.02,-0.12,-0.05,-0.04,-0.03,0.06,0.18,-0.15,-0.02,-0.05,-0.14
avg_daily_volume_20d,0.01,0.03,0.5,0.07,-0.22,0.04,0.02,0.01,0.03,0.02,0.27,0.07,-0.02,1.0,0.32,0.17,0.2,-0.09,0.07,-0.03,-0.01,0.0,-0.02,-0.03
avg_daily_range_pct_20d,0.04,0.36,0.1,0.41,-0.19,0.02,0.04,0.02,0.05,-0.01,0.11,0.5,-0.12,0.32,1.0,0.04,0.18,0.08,0.04,-0.07,0.06,-0.01,-0.03,-0.02
price_vs_20d_high_pct,-0.01,0.16,-0.03,0.14,-0.03,-0.02,-0.01,-0.08,0.02,-0.05,0.73,0.0,-0.05,0.17,0.04,1.0,-0.01,0.04,0.04,0.02,-0.06,-0.03,-0.02,-0.02
return_volatility_20d,0.01,0.1,-0.0,0.13,-0.07,0.01,0.01,0.02,0.03,0.01,0.01,0.12,-0.04,0.2,0.18,-0.01,1.0,-0.0,0.03,0.0,0.01,-0.01,-0.0,-0.02
prev_day_volume_vs_20d,-0.05,0.38,0.13,0.38,-0.05,-0.04,-0.02,-0.04,0.03,-0.04,-0.01,0.48,-0.03,-0.09,0.08,0.04,-0.0,1.0,-0.05,-0.04,-0.09,-0.07,0.0,0.03
spy_range_pct_5min,0.01,-0.07,0.03,-0.07,-0.01,-0.07,-0.09,-0.08,-0.02,-0.05,0.01,0.05,0.06,0.07,0.04,0.04,0.03,-0.05,1.0,0.3,-0.25,0.11,-0.31,-0.24
spy_return_5min_pct,-0.04,-0.07,0.01,-0.07,-0.02,0.03,0.05,0.03,0.03,0.08,0.01,-0.09,0.18,-0.03,-0.07,0.02,0.0,-0.04,0.3,1.0,-0.33,-0.03,-0.31,0.02
spy_gap_pct,0.09,-0.02,-0.01,-0.01,0.08,0.07,0.08,0.11,-0.01,0.08,-0.03,-0.01,-0.15,-0.01,0.06,-0.06,0.01,-0.09,-0.25,-0.33,1.0,0.25,0.08,-0.06
spy_3d_range_pct,0.03,-0.04,-0.02,-0.03,0.03,0.05,0.02,-0.0,0.03,0.02,-0.02,0.0,-0.02,0.0,-0.01,-0.03,-0.01,-0.07,0.11,-0.03,0.25,1.0,-0.13,-0.22
day_of_week,0.02,0.02,-0.02,0.04,-0.02,-0.01,-0.02,-0.0,-0.07,-0.04,-0.02,-0.02,-0.05,-0.02,-0.03,-0.02,-0.0,0.0,-0.31,-0.31,0.08,-0.13,1.0,0.17
days_since_month_start,-0.09,-0.02,-0.07,-0.01,-0.02,-0.05,-0.1,-0.05,-0.01,-0.08,0.02,-0.03,-0.14,-0.03,-0.02,-0.02,-0.02,0.03,-0.24,0.02,-0.06,-0.22,0.17,1.0
