cell,split,conv,n_trades,raw_bps,mean_bps,t,nw_t,pct_pos,ex_jan_bps,mde_bps,mdd_pct,worst_bps,n_months,ex_top_1_bps,ex_top_1_t,ex_top_5_bps,ex_top_5_t,lls,honest_cost_bps,ends_mid_hold,book_n,book_usd_mo,book_raw_usd_mo,book_t,book_mde_usd,book_pct_pos,book_worst,book_mdd_usd,tr_wk,boot_p
F3-LO-6-1,VAL,sealed,3794,-27.59078006627285,-13.961666662708021,-0.18856137718315494,-0.19444424693355622,54.166666666666664,40.81466428044265,148.08617619658838,-9.62617729645988,-1009.6989649845644,24,-64.21464652751123,-0.8949940420182161,-170.08782387315657,-2.5350054311541883,,0.42316481383682286,0,460,-378.64586902110005,-522.4346748112699,-0.40546750449665453,1867.7001970411873,45.83333333333333,-13117.223245211882,-12981.453241617077,4.4170096021947876,
F3-LO-6-1,VAL,complete,3951,-12.092338452932422,-28.577227316533886,-0.382344427676669,-0.3992755740862763,50.0,24.8704162944508,149.48420977485947,-9.776219908350681,-1009.6989649845644,24,-80.41668804936448,-1.1074753277853862,-190.17930250510952,-2.7907523939780585,,0.42323140929228087,0,480,-427.9875952394693,-365.9439608981129,-0.46083914628665934,1857.4272549895093,45.83333333333333,-13117.223245211882,-12981.453241617077,4.609053497942387,
F3-LS-6-1,TRAIN,sealed,16991,64.9428009896106,64.9428009896106,0.9840277718711116,1.207605981374675,54.6875,61.002088794629216,131.99383766603052,-22.093789441684454,-1161.4426525506806,64,-43.22852388978669,-0.6808049065674732,-278.3418271507597,-4.166189632797205,0.784354685753009,1.6525700109696793,0,1260,832.9102421226024,1870.8920550548614,1.0087331034058575,1651.3986490785087,59.375,-14580.500499902046,-30885.420355350227,4.02555910543131,0.20475904819036192
F3-LS-6-1,VAL,sealed,7374,13.935715419940616,13.935715419940616,0.1310362476900757,0.12242700024589265,62.5,69.59069994011635,212.70015992675687,-21.013625145503724,-908.8206971252189,24,-80.63281423840316,-0.779799298000311,-313.61664810088604,-3.345967180837839,-0.35203987243687856,1.632827823456814,0,460,-378.64586902110005,-522.4346748112699,-0.40546750449665453,1867.7001970411873,45.83333333333333,-13117.223245211882,-12981.453241617077,4.4170096021947876,
F3-LS-6-1,VAL,complete,7685,-21.603232681739332,-21.603232681739332,-0.1903468746970364,-0.1799165248861206,62.5,30.82093837464732,226.98804712316806,-27.458915213154523,-938.5145337856148,24,-118.98695484830293,-1.0792487605136813,-359.33819069794254,-3.634706902212448,,1.6317519207340014,0,480,-427.9875952394693,-365.9439608981129,-0.46083914628665934,1857.4272549895093,45.83333333333333,-13117.223245211882,-12981.453241617077,4.609053497942387,
F3-LO-RES,TRAIN,sealed,6142,161.5847200692783,28.982540735973274,0.6167112116211553,0.7028521792432126,47.82608695652174,-0.8155887705124009,93.99063999432266,-13.302112762135065,-665.5283245027099,46,-26.16333227347476,-0.6428179779462952,-129.18993196576395,-2.9470496557885126,,0.42388556110111253,0,900,313.841751524538,1197.359977350465,0.6873567617314325,913.184445102364,47.82608695652174,-6149.249725327569,-12121.93984768227,2.8753993610223643,0.46130773845230955
F3-LO-RES,VAL,sealed,3586,61.16076093409338,72.08407962090675,1.3784777463229074,1.418179887419687,75.0,94.17570392120777,104.58504653149636,-5.501654970774339,-506.4521721825854,24,32.0502583492239,0.6557714394676941,-45.54046379053396,-0.917458287049129,,0.4218576528352513,0,460,135.6535307920144,34.10746292374275,0.28659451103400246,946.6582615458399,54.166666666666664,-4662.711627818086,-10248.163362474268,4.4170096021947876,
F3-LO-RES,VAL,complete,3741,90.75189303303094,72.04263495943488,1.3776328562234794,1.4175131235748268,75.0,94.13049156323844,104.58901968544241,-5.501654970774339,-506.4521721825854,24,30.132416579874928,0.6110565871674946,-51.7418632492372,-1.0220776457523981,,0.4218849779448976,0,480,29.214695162206198,122.90163152653804,0.059798628269647304,977.1025191571174,54.166666666666664,-4662.711627818086,-10248.163362474268,4.609053497942387,
F3-LS-RES,TRAIN,sealed,12168,11.923871353970585,11.923871353970585,0.16732546513936228,0.18821218696400183,39.130434782608695,-27.017184191130184,142.52309227456098,-21.941643448142933,-754.5413983567995,46,-83.71629427276909,-1.2962602919709676,-280.03109292176407,-4.055515843760489,4.4330650822568725,1.6647281566432954,0,900,313.841751524538,1197.359977350465,0.6873567617314325,913.184445102364,47.82608695652174,-6149.249725327569,-12121.93984768227,2.8753993610223643,0.8430313937212558
F3-LS-RES,VAL,sealed,7045,168.8210207700409,168.8210207700409,1.604067451328301,1.5693037160342396,70.83333333333334,198.45172224567003,210.49117433340234,-11.921835503125012,-995.3547129981289,24,80.28235155707256,0.8075551611402179,-115.5410762104405,-1.3628228813835706,0.46392497860072157,1.644228752713482,0,460,135.6535307920144,34.10746292374275,0.28659451103400246,946.6582615458399,54.166666666666664,-4662.711627818086,-10248.163362474268,4.4170096021947876,
F3-LS-RES,VAL,complete,7354,176.05385392943484,176.05385392943484,1.6755012833558678,1.6206928597487311,70.83333333333334,206.34208569228161,210.1506643752799,-11.921835503125012,-995.3547129981289,24,84.77152345235416,0.8507141703665541,-118.94903793730904,-1.3990754714845846,0.4406904741919945,1.6427333576837324,0,480,29.214695162206198,122.90163152653804,0.059798628269647304,977.1025191571174,54.166666666666664,-4662.711627818086,-10248.163362474268,4.609053497942387,
