split,n,n_weeks,trades_per_week,gross_bps,net_bps,net_daily_bps,net_auction_bps,med_net_bps,t_trade,wr,sd_trade_bps,mde_trade_bps,wk_mean_bps,wk_green,t_week,mde_week_bps,stop_rate,trunc_rate,span_days,entry_days,net_R,t_R,net_bps_no_top1,net_bps_no_top5,net_bps_wincap,pos_usd_med,pos_usd_p25,book_usd,usd_per_month,usd_worst_month,pct_book_per_month,n_months,cell,fam,hold,slots,universe
TRAIN,1250,222,5.63063,-25.8269,-75.969,-35.4413,-35.8269,-100.618,-2.47083,44,1087.05,61.4927,-21.3877,38.2883,-1.58714,26.9512,32.08,0.88,1247,601,-0.108527,-2.47083,-127.357,-234.519,-101.612,350693,180751,7.01387e+06,-54593.9,-827071,-0.778371,61,K2_h10_n20,K2,10,20,primary
VAL,540,76,7.10526,-25.6072,-73.9393,-34.9072,-35.6072,-60.1719,-1.87989,45.3704,913.986,78.6634,-26.2679,44.7368,-1.48158,35.4592,28.1481,0,371,242,-0.105628,-1.87989,-114.742,-204.963,-91.708,404136,208692,8.08273e+06,-84926.6,-482669,-1.05072,19,K2_h10_n20,K2,10,20,primary
TRAIN,1178,218,5.40367,-34.3519,-84.8861,-44.0344,-44.3519,-100.234,-2.95409,42.7844,986.246,57.4702,-45.8697,38.0734,-2.44162,37.5732,21.562,0.509338,1247,610,-0.121266,-2.95409,-131.348,-222.845,-108.599,340320,179013,3.4032e+06,-56717.7,-709240,-1.6666,60,K2_h5_n10,K2,5,10,primary
VAL,514,74,6.94595,-24.6684,-73.2222,-34.0069,-34.6684,-75.6692,-2.08271,43.3852,797.069,70.3144,-50.8598,41.8919,-1.58132,64.3256,19.8444,0,371,246,-0.104603,-2.08271,-115.226,-175.433,-103.033,402856,206553,4.02856e+06,-79799.8,-436017,-1.98085,19,K2_h5_n10,K2,5,10,primary
TRAIN,1419,218,6.50917,-24.1418,-74.4347,-33.7824,-34.1418,-100.611,-2.80203,42.5652,1000.68,53.1291,-24.2254,35.7798,-2.26864,21.3568,21.3531,0.493305,1247,622,-0.106335,-2.80203,-125.797,-219.547,-100.744,347895,181349,6.9579e+06,-61242.8,-625439,-0.88019,60,K2_h5_n20,K2,5,20,primary
VAL,661,74,8.93243,-26.0381,-74.655,-35.3876,-36.0381,-73.4002,-2.42464,43.4191,791.612,61.5803,-33.3425,37.8378,-1.62589,41.0144,19.8185,0,372,251,-0.10665,-2.42464,-112.105,-176.68,-97.7425,395806,200957,7.91613e+06,-102799,-715944,-1.2986,19,K2_h5_n20,K2,5,20,primary
TRAIN,4054,261,15.5326,3.81089,-49.406,-6.3376,-6.18911,-79.5375,-3.666,44.1539,858.083,26.9536,-76.7402,40.2299,-1.99112,77.0826,0,0.838678,1258,1087,,,-90.1472,-163.934,-74.406,282366,160276,2.82366e+06,-92714.3,-965794,-3.28347,61,K3_h3_n10,K3,3,10,primary
VAL,1168,76,15.3684,-14.6444,-65.0348,-24.3019,-24.6444,-102.022,-2.49179,40.9247,891.983,52.1994,-99.9483,40.7895,-1.5954,125.296,0,0,374,277,,,-110.167,-186.94,-91.8153,343283,177520,3.43283e+06,-137242,-589847,-3.99793,19,K3_h3_n10,K3,3,10,primary
TRAIN,7690,261,29.4636,15.0944,-37.8261,4.99741,5.09442,-69.5021,-4.11283,44.8375,806.516,18.3942,-55.7246,42.9119,-1.63116,68.3252,0,0.845254,1258,1187,,,-75.6426,-147.389,-60.9541,288621,162055,5.77242e+06,-137631,-1.95583e+06,-2.38428,61,K3_h3_n20,K3,3,20,primary
VAL,2282,76,30.0263,-10.3011,-60.7962,-19.9768,-20.3011,-89.737,-2.97904,42.4628,974.896,40.816,-91.2743,43.4211,-1.96839,92.7402,0,0,374,335,,,-107.751,-179.353,-91.354,339768,178170,6.79537e+06,-248097,-1.1376e+06,-3.65097,19,K3_h3_n20,K3,3,20,primary
TRAIN,10344,262,39.4809,-8.41112,-61.3174,-18.5057,-18.4111,-72.0482,-13.8597,40.5356,449.961,8.84831,-242.087,24.4275,-7.38697,65.5443,0,0.676721,1258,1233,,,-81.3924,-120.28,-72.5856,285993,162321,2.85993e+06,-297371,-752191,-10.3978,61,K3_h1_n10,K3,1,10,primary
VAL,3230,76,42.5,-22.1728,-72.478,-31.8155,-32.1728,-80.5668,-8.97107,38.6068,459.159,16.1582,-308.031,18.4211,-7.76135,79.3757,0,0,374,350,,,-93.4261,-132.825,-83.4942,341230,177901,3.4123e+06,-420438,-843296,-12.3213,19,K3_h1_n10,K3,1,10,primary
TRAIN,16149,262,61.6374,-7.70865,-60.3359,-17.7547,-17.7087,-69.7125,-17.82,40.4855,430.269,6.77169,-185.947,24.4275,-7.31023,50.8732,0,0.594464,1258,1233,,,-79.1992,-116.21,-70.6344,291740,164236,5.8348e+06,-466001,-1.23733e+06,-7.98659,61,K3_h1_n20,K3,1,20,primary
VAL,5359,76,70.5132,-24.6094,-74.7369,-34.2213,-34.6094,-77.1804,-12.985,38.44,421.343,11.5113,-263.497,10.5263,-8.21215,64.1725,0,0,374,350,,,-92.8704,-128.776,-84.0567,350933,181156,7.01866e+06,-739758,-1.25088e+06,-10.5399,19,K3_h1_n20,K3,1,20,primary
TRAIN,12471,262,47.5992,-27.6507,-84.0899,-38.359,-37.6507,-90.6856,-17.5201,38.4011,535.992,9.59926,-400.261,22.1374,-11.3976,70.2363,0,0.593377,1258,1250,,,-107.702,-151.696,-97.0279,236130,151561,2.3613e+06,-405944,-1.38443e+06,-17.1916,61,K4_h1_n10,K4,1,10,primary
VAL,3520,76,46.3158,-25.3169,-75.641,-34.9629,-35.3169,-79.0508,-6.40434,37.4148,700.736,23.6218,-350.337,25,-4.37268,160.239,0,0,374,352,,,-109.083,-168.689,-93.6347,353186,176495,3.53186e+06,-494937,-1.10541e+06,-14.0135,19,K4_h1_n10,K4,1,10,primary
TRAIN,24929,262,95.1489,-23.5585,-79.4505,-34.1716,-33.5585,-84.0999,-25.2021,38.718,497.751,6.30507,-377.981,18.3206,-12.554,60.2171,0,0.573629,1258,1250,,,-100.9,-141.941,-91.21,246200,156212,4.924e+06,-799392,-2.55023e+06,-16.2346,61,K4_h1_n20,K4,1,20,primary
VAL,7040,76,92.6316,-16.1082,-66.349,-25.7398,-26.1082,-76.3298,-9.3998,38.3239,592.246,14.1171,-307.301,30.2632,-5.29614,116.047,0,0,374,352,,,-93.8356,-145.799,-81.0093,348211,173336,6.96421e+06,-856043,-1.96972e+06,-12.292,19,K4_h1_n20,K4,1,20,primary
TRAIN,6303,262,24.0573,-15.4346,-71.9287,-26.1524,-25.4346,-85.9601,-7.66679,41.7262,744.839,18.7637,-173.041,34.7328,-4.97346,69.5857,0,0.856735,1257,904,,,-107.518,-170.383,-92.8717,235372,150408,2.35372e+06,-174934,-1.21763e+06,-7.43224,61,K4_h2_n10,K4,2,10,primary
VAL,1760,76,23.1579,-39.0068,-89.066,-48.6068,-49.0068,-76.573,-3.84502,40.625,971.785,46.328,-206.258,34.2105,-2.23972,184.182,0,0,373,176,,,-136.655,-219.408,-116.489,359367,177200,3.59367e+06,-296489,-949572,-8.25033,19,K4_h2_n10,K4,2,10,primary
TRAIN,12604,262,48.1069,-19.1073,-75.0056,-29.7216,-29.1073,-85.9491,-12.0351,41.8201,699.679,12.4645,-180.414,31.2977,-5.86325,61.5407,0,0.880673,1257,961,,,-106.657,-165.141,-93.7177,246058,155798,4.92116e+06,-381338,-2.34983e+06,-7.74893,61,K4_h2_n20,K4,2,20,primary
VAL,3520,76,46.3158,-22.1415,-72.3577,-31.7688,-32.1415,-66.8151,-5.11886,41.875,838.654,28.271,-167.565,30.2632,-2.67353,125.351,0,0,373,176,,,-111.922,-183.296,-97.0508,349004,173140,6.98008e+06,-467847,-1.32582e+06,-6.70261,19,K4_h2_n20,K4,2,20,primary
TRAIN,2285,257,8.89105,24.7248,-28.388,14.5944,14.7248,-176.045,-1.2514,43.151,1084.38,45.3699,-25.2399,44.7471,-0.789087,63.9725,38.8184,0.4814,1252,900,-0.056776,-1.2514,-88.0686,-193.02,-68.242,287784,159658,2.87784e+06,-30602.6,-571893,-1.06339,61,K5_h5_n10,K5,5,10,primary
VAL,782,77,10.1558,-9.02367,-58.7648,-18.5684,-19.0237,-335.797,-1.33009,37.3402,1235.49,88.362,-59.6806,40.2597,-0.876122,136.238,44.6292,0,374,288,-0.11753,-1.33009,-128.751,-247.083,-97.4657,381540,177200,3.8154e+06,-92280.6,-1.05568e+06,-2.41864,19,K5_h5_n10,K5,5,10,primary
TRAIN,3437,258,13.3217,15.8677,-36.7321,5.8264,5.86772,-174.148,-2.09754,42.8571,1026.66,35.024,-24.4667,44.9612,-1.09252,44.7895,38.9293,0.465522,1252,946,-0.0734642,-2.09754,-90.0701,-187.92,-67.6837,293240,161808,5.86481e+06,-60690.4,-989077,-1.03482,61,K5_h5_n20,K5,5,20,primary
VAL,1207,77,15.6753,-27.8268,-77.8517,-37.4209,-37.8268,-308.846,-2.3629,38.2767,1144.66,65.8951,-61.0175,38.961,-1.35449,90.0965,43.1649,0,374,306,-0.155703,-2.3629,-144.484,-247.918,-116.719,361954,177159,7.23908e+06,-179009,-1.6234e+06,-2.47282,19,K5_h5_n20,K5,5,20,primary
TRAIN,3487,256,13.6211,-2.09267,-54.8047,-12.1535,-12.0927,-78.2331,-4.47781,44.7089,722.733,24.4783,-74.65,43.3594,-2.95745,50.4827,22.2541,0.344135,1252,976,-0.109609,-4.47781,-88.1415,-150.728,-75.4247,291918,163714,2.91918e+06,-91453.6,-701931,-3.13285,61,K5_h2_n10,K5,2,10,primary
VAL,1242,76,16.3421,-42.9297,-92.8165,-52.4998,-52.9297,-120.537,-4.36303,40.4187,749.718,42.5468,-151.682,46.0526,-2.59141,117.065,23.1884,0,374,311,-0.185633,-4.36303,-127.658,-191.447,-111.351,365232,174596,3.65232e+06,-221596,-987164,-6.06727,19,K5_h2_n10,K5,2,10,primary
TRAIN,4613,256,18.0195,-3.87046,-56.0203,-13.8336,-13.8705,-74.6401,-5.49712,44.483,692.152,20.3817,-50.473,44.9219,-2.84955,35.4253,21.5044,0.260134,1252,983,-0.112041,-5.49712,-88.0703,-146.939,-75.1647,304184,165905,6.08367e+06,-128865,-1.01345e+06,-2.11821,61,K5_h2_n20,K5,2,20,primary
VAL,1609,76,21.1711,-38.3986,-88.256,-47.9635,-48.3986,-122.177,-4.89687,40.0249,722.942,36.0458,-93.4236,43.4211,-2.53817,73.615,22.6227,0.0621504,374,313,-0.176512,-4.89687,-121.796,-183.94,-105.177,367213,181624,7.34426e+06,-274451,-1.35138e+06,-3.73694,19,K5_h2_n20,K5,2,20,primary
TRAIN,48,39,1.23077,-326.969,-385.808,-338.094,-336.969,-114.825,-1.64485,45.8333,1625.05,469.111,-47.484,43.5897,-1.55853,60.9343,22.9167,2.08333,1230,43,-0.244375,-1.40686,-450.251,-563.942,-389.511,169532,124605,1.69532e+06,-10825.9,-133018,-0.638578,29,K1_h5_n10_sec,K1,5,10,secondary
VAL,150,48,3.125,-88.5695,-135.865,-97.6895,-98.5695,-73.3576,-1.46207,46,1138.11,185.853,-42.4579,39.5833,-1.39353,60.9359,17.3333,0,371,96,-0.0221607,-0.215936,-197.979,-281.022,-169.522,432849,195780,4.32849e+06,-55133.6,-252795,-1.27374,16,K1_h5_n10_sec,K1,5,10,secondary
TRAIN,880,219,4.01826,-47.3295,-97.6242,-56.9704,-57.3295,-113.514,-2.64775,43.75,1093.76,73.7413,-39.228,41.0959,-1.91073,41.0607,32.9545,0.795455,1247,542,-0.139463,-2.64775,-145.01,-252.024,-119.73,351479,181398,3.51479e+06,-49500.5,-611408,-1.40835,61,K2_h10_n10_sec,K2,10,10,secondary
VAL,349,76,4.59211,-56.7921,-104.931,-66.0586,-66.7921,-73.2077,-2.05765,43.8395,952.676,101.991,-48.1855,42.1053,-1.67111,57.6689,29.5129,0,371,204,-0.149902,-2.05765,-149.413,-246.993,-121.658,404683,197407,4.04683e+06,-77999.3,-415874,-1.92742,19,K2_h10_n10_sec,K2,10,10,secondary
TRAIN,4054,261,15.5326,3.81089,-49.406,-6.3376,-6.18911,-79.5375,-3.666,44.1539,858.083,26.9536,-76.7402,40.2299,-1.99112,77.0826,0,0.838678,1258,1087,,,-90.1472,-163.934,-74.406,282366,160276,2.82366e+06,-92714.3,-965794,-3.28347,61,K3_h3_n10_sec,K3,3,10,secondary
VAL,1168,76,15.3684,-16.6331,-67.1418,-26.3112,-26.6331,-104.803,-2.57395,40.6678,891.484,52.1701,-103.186,39.4737,-1.65038,125.045,0,0,374,277,,,-112.295,-189.159,-93.8643,339629,177122,3.39629e+06,-140180,-583569,-4.12745,19,K3_h3_n10_sec,K3,3,10,secondary
TRAIN,12471,262,47.5992,-27.6507,-84.0899,-38.359,-37.6507,-90.6856,-17.5201,38.4011,535.992,9.59926,-400.261,22.1374,-11.3976,70.2363,0,0.593377,1258,1250,,,-107.702,-151.696,-97.0279,236130,151561,2.3613e+06,-405944,-1.38443e+06,-17.1916,61,K4_h1_n10_sec,K4,1,10,secondary
VAL,3520,76,46.3158,-23.6356,-73.6849,-33.2338,-33.6356,-78.3891,-6.14714,37.7557,711.176,23.9737,-341.278,25,-4.06153,168.054,0,0,374,352,,,-108.196,-168.48,-92.7208,359367,178009,3.59367e+06,-490575,-1.11833e+06,-13.6511,19,K4_h1_n10_sec,K4,1,10,secondary
TRAIN,2285,257,8.89105,24.7248,-28.388,14.5944,14.7248,-176.045,-1.2514,43.151,1084.38,45.3699,-25.2399,44.7471,-0.789087,63.9725,38.8184,0.4814,1252,900,-0.056776,-1.2514,-88.0686,-193.02,-68.242,287784,159658,2.87784e+06,-30602.6,-571893,-1.06339,61,K5_h5_n10_sec,K5,5,10,secondary
VAL,784,77,10.1818,-10.4361,-59.9489,-19.9412,-20.4361,-339.847,-1.33089,36.9898,1261.24,90.0884,-61.0389,40.2597,-0.838452,145.599,44.7704,0,374,289,-0.119898,-1.33089,-133.304,-254.364,-102.352,387809,181848,3.87809e+06,-95931.6,-1.23942e+06,-2.47368,19,K5_h5_n10_sec,K5,5,10,secondary
