cell,split,n_v1,trades_per_week_v1,net_bps_v1,t_trade_v1,mde_trade_bps_v1,wk_green_v1,gross_bps_v1,net_auction_bps_v1,net_bps_no_top5_v1,net_bps_wincap_v1,usd_per_month_v1,usd_worst_month_v1,pos_usd_med_v1,n_v2,trades_per_week_v2,net_bps_v2,t_trade_v2,mde_trade_bps_v2,wk_green_v2,gross_bps_v2,net_auction_bps_v2,net_bps_no_top5_v2,net_bps_wincap_v2,usd_per_month_v2,usd_worst_month_v2,pos_usd_med_v2
K4_h1_n20,VAL,7040,92.6316,-69.3194,-9.74626,14.2248,26.3158,-18.9216,-28.9216,-148.814,-83.3812,-878121,-1.93394e+06,341885,7040,92.6316,-66.349,-9.3998,14.1171,30.2632,-16.1082,-26.1082,-145.799,-81.0093,-856043,-1.96972e+06,348211
K4_h1_n20,TRAIN,24929,95.1489,-79.4871,-25.1611,6.31824,18.7023,-23.5285,-33.5285,-142.035,-91.3008,-797940,-2.54443e+06,245640,24929,95.1489,-79.4505,-25.2021,6.30507,18.3206,-23.5585,-33.5585,-141.941,-91.21,-799392,-2.55023e+06,246200
K4_h2_n10,VAL,1760,23.1579,-104.681,-4.5127,46.3939,30.2632,-54.3862,-64.3862,-233.873,-132.213,-334942,-942411,345417,1760,23.1579,-89.066,-3.84502,46.328,34.2105,-39.0068,-49.0068,-219.408,-116.489,-296489,-949572,359367
K4_h2_n10,TRAIN,6236,23.8015,-75.8943,-7.91036,19.1886,33.9695,-19.2856,-29.2856,-174.476,-96.9111,-181434,-1.20975e+06,233848,6303,24.0573,-71.9287,-7.66679,18.7637,34.7328,-15.4346,-25.4346,-170.383,-92.8717,-174934,-1.21763e+06,235372
K4_h2_n20,VAL,3520,46.3158,-79.451,-5.58417,28.4558,28.9474,-29.0581,-39.0581,-190.577,-103.975,-501354,-1.29393e+06,340609,3520,46.3158,-72.3577,-5.11886,28.271,30.2632,-22.1415,-32.1415,-183.296,-97.0508,-467847,-1.32582e+06,349004
K4_h2_n20,TRAIN,12470,47.5954,-74.9369,-11.9552,12.5363,32.4427,-18.9083,-28.9083,-165.066,-92.9339,-374906,-2.33716e+06,244731,12604,48.1069,-75.0056,-12.0351,12.4645,31.2977,-19.1073,-29.1073,-165.141,-93.7177,-381338,-2.34983e+06,246058
K5_h5_n10,VAL,789,10.2468,-76.2576,-1.72591,88.3679,40.2597,-26.216,-36.216,-263.727,-114.865,-117047,-1.02269e+06,369617,782,10.1558,-58.7648,-1.33009,88.362,40.2597,-9.02367,-19.0237,-247.083,-97.4657,-92280.6,-1.05568e+06,381540
K5_h5_n10,TRAIN,2279,8.90234,-29.8313,-1.3117,45.4848,44.5312,23.3744,13.3744,-194.302,-69.8406,-31919.3,-573212,286395,2285,8.89105,-28.388,-1.2514,45.3699,44.7471,24.7248,14.7248,-193.02,-68.242,-30602.6,-571893,287784
K5_h5_n20,VAL,1219,15.8312,-91.5602,-2.78244,65.813,38.961,-41.2573,-51.2573,-260.586,-130.045,-209380,-1.66024e+06,356434,1207,15.6753,-77.8517,-2.3629,65.8951,38.961,-27.8268,-37.8268,-247.918,-116.719,-179009,-1.6234e+06,361954
K5_h5_n20,TRAIN,3438,13.3774,-40.5431,-2.31804,34.9805,44.7471,12.1906,2.1906,-191.911,-71.2591,-66535.2,-982119,291178,3437,13.3217,-36.7321,-2.09754,35.024,44.9612,15.8677,5.86772,-187.92,-67.6837,-60690.4,-989077,293240
K5_h2_n10,VAL,1251,16.4605,-103.639,-4.83057,42.9094,44.7368,-53.5683,-63.5683,-201.966,-122.126,-244414,-965470,358179,1242,16.3421,-92.8165,-4.36303,42.5468,46.0526,-42.9297,-52.9297,-191.447,-111.351,-221596,-987164,365232
K5_h2_n10,TRAIN,3482,13.6016,-57.319,-4.66965,24.5496,43.3594,-4.51386,-14.5139,-153.586,-77.9238,-95128.8,-671065,290747,3487,13.6211,-54.8047,-4.47781,24.4783,43.3594,-2.09267,-12.0927,-150.728,-75.4247,-91453.6,-701931,291918
K5_h2_n20,VAL,1623,21.3553,-96.5896,-5.33103,36.2367,43.4211,-46.5687,-56.5687,-192.521,-113.49,-300295,-1.38232e+06,363959,1609,21.1711,-88.256,-4.89687,36.0458,43.4211,-38.3986,-48.3986,-183.94,-105.177,-274451,-1.35138e+06,367213
K5_h2_n20,TRAIN,4612,18.0156,-57.8052,-5.65933,20.4283,44.9219,-5.568,-15.568,-148.954,-76.9318,-131373,-1.00149e+06,300594,4613,18.0195,-56.0203,-5.49712,20.3817,44.9219,-3.87046,-13.8705,-146.939,-75.1647,-128865,-1.01345e+06,304184
