cell,split,n,per_wk,gross,cost,net,clust_t,green,null_p95,redstreak,worst,total,wk_dollar,mdd,ex5,h1,h2,mde,x_target,x_lock,x_trail,x_stop,x_eod,note
G1b,VAL,706,30.695652173913043,0.10178207533080257,0.07506350342305383,0.02671857190774871,0.487749973592326,52.17391304347826,60.86956521739131,3,-1398.5180956350612,1886.3311766870602,82.01439898639391,-3391.5052944229874,-0.15961845978916173,,0.02671857190774871,0.14192861565409876,0.0,10.48158640226629,0.0,44.19263456090651,45.3257790368272,
G2v,TRAIN,1622,30.60377358490566,-0.014729788982422479,0.07442557063692869,-0.08915535961935118,-2.0625904935936012,30.18867924528302,41.509433962264154,5,-2325.166526287067,-14460.999330258759,-272.8490439671464,-17577.04414672181,-0.29074257371510676,-0.12810371893320033,-0.05226429659578936,0.09783090824492882,0.0,0.0,15.04315659679408,51.41800246609125,33.53884093711467,
G2v,VAL,706,30.695652173913043,0.07303888784809076,0.07720414428420609,-0.004165256436115342,-0.08133145115641643,39.130434782608695,56.52173913043478,3,-1093.1160624925785,-294.06710438974255,-12.785526277814894,-4143.235429934852,-0.1740323040484205,,-0.004165256436115342,0.13767757094651625,0.0,0.0,14.164305949008499,45.609065155807365,40.226628895184135,
G2pl,TRAIN,1622,30.60377358490566,-0.012047971014659258,0.07496591188634244,-0.08701388290100169,-2.1918421089528506,35.84905660377358,39.62264150943396,4,-2109.9844890982836,-14113.651806542473,-266.29531710457496,-16686.30991355004,-0.268637093976955,-0.11259207492945048,-0.06278675983924169,0.09319671855185303,0.0,0.0,18.8039457459926,50.61652281134402,30.579531442663377,
G2pl,VAL,706,30.695652173913043,0.0809846566563891,0.07805025806789576,0.002934398588493335,0.05722489791672014,52.17391304347826,56.52173913043478,3,-1187.3663336876698,207.16854034762986,9.007327841201299,-3472.8219181136456,-0.1626903601092029,,0.002934398588493335,0.136026910177227,0.0,0.0,18.555240793201133,44.90084985835694,36.54390934844193,
RB_X0,TRAIN,1622,30.60377358490566,-0.03895918684147364,0.06798002849533383,-0.10693921533680749,-2.9931691681122707,32.075471698113205,37.735849056603776,5,-2231.432721493132,-17345.54072763017,-327.2743533515127,-18928.988592607817,-0.21816972125039874,-0.14325229361401337,-0.07254423483174692,0.08766022312870501,20.34525277435265,0.0,0.0,51.72626387176326,27.928483353884094,re-booked
RB_X0,VAL,706,30.695652173913043,0.08272033029467891,0.07006955092013452,0.012650779374544365,0.26162959495333044,43.47826086956522,60.86956521739131,4,-957.3728770391667,893.1450238428337,38.83239234099277,-2940.0336675961453,-0.09302888820971139,,0.012650779374544365,0.13226736123718896,21.246458923512748,0.0,0.0,45.75070821529745,33.0028328611898,re-booked
RB_G1,TRAIN,1500,28.30188679245283,-0.016160530888268403,0.07425228692756879,-0.09041281781583717,-1.8205548405971688,35.84905660377358,39.62264150943396,4,-2244.2499742164955,-13561.922672375578,-255.88533344104866,-15384.762969423487,-0.34453770887921287,-0.10846329043300737,-0.07325430613423588,0.11337480578675818,0.0,11.799999999999999,0.0,49.13333333333333,39.06666666666666,re-booked
RB_G1,VAL,636,27.652173913043477,0.07517659092532716,0.07728516783168203,-0.002108576906354889,-0.03341657815937957,43.47826086956522,56.52173913043478,3,-1490.768537079342,-134.10549124417034,-5.830673532355232,-4792.1057833160185,-0.2095851478307908,,-0.002108576906354889,0.15440236349910497,0.0,9.59119496855346,0.0,44.339622641509436,46.069182389937104,re-booked
RB_G2,TRAIN,1557,29.37735849056604,-0.021022447176429163,0.07533310756187099,-0.09635555473830017,-2.3402945952092757,35.84905660377358,39.62264150943396,5,-2339.3033187398983,-15002.559872753334,-283.0671674104403,-16796.048541212225,-0.28094296789365547,-0.12765407148629018,-0.06658666474867053,0.09590155410961443,0.0,0.0,17.91907514450867,50.80282594733462,31.27809890815671,re-booked
RB_G2,VAL,675,29.347826086956523,0.06177853558135728,0.07842637754101642,-0.016647841959659144,-0.3274550600175042,56.52173913043478,52.17391304347826,3,-1580.013323910108,-1123.729332276992,-48.85779705552139,-3894.4193143190555,-0.17423661228421275,,-0.016647841959659144,0.13727735193708046,0.0,0.0,17.333333333333336,45.925925925925924,36.74074074074074,re-booked
RB_G3,TRAIN,1434,27.056603773584907,0.013865646198600352,0.07342661087463226,-0.05956096467603191,-1.037950975119464,37.735849056603776,45.28301886792453,5,-2197.8397071854315,-8541.042334542975,-161.15174216118822,-12019.19990912513,-0.3343655004828483,-0.09165722700113318,-0.0288659034347004,0.1265312496888717,0.0,0.0,0.0,53.417015341701536,46.582984658298464,re-booked
RB_G3,VAL,609,26.47826086956522,0.093619293918124,0.07603920936121845,0.01758008455690554,0.2564142643961731,52.17391304347826,56.52173913043478,6,-1634.593161611543,1070.6271495155474,46.54900650067598,-5657.198311436208,-0.206234631222132,,0.01758008455690554,0.16862553138313288,0.0,0.0,0.0,46.4696223316913,53.5303776683087,re-booked
