trade_date,symbol,order_status,entry_price,fill_price,shares,pnl,exit_reason,entry_quote_bid,entry_quote_ask,entry_fill_quote_bid,entry_fill_quote_ask,reject_reason,range_high,range_low,elected,window_high,window_low,cap,overshoot_bps
2026-06-11,UMC,closed,20.08,20.02,560,53.25600000000122,lock_stop,19.93,19.95,19.99,20.01,,20.02,19.84,1.0,20.465,19.91,20.08,191.73306772908515
2026-06-12,CRWU,closed,6.3,6.28,297,-56.43000000000011,stop_loss,6.25,6.26,6.23,6.24,,6.2799,6.1,1.0,6.565,5.98,6.3,420.63492063492134
2026-06-12,ENHA,time_stop_canceled,4.43,,422,,,,,,,,4.4199,4.09,0.0,4.31,3.6001,4.43,-270.8803611738153
2026-06-12,FA,closed,16.57,16.546687,833,194.59962900000153,tag_bb,16.25,16.37,16.47,16.51,,16.525,16.21,1.0,16.92,16.1475,16.57,211.2251056125536
2026-06-12,TENX,closed,11.79,11.79,1172,-515.5627999999997,stop_loss,11.69,11.74,11.85,11.99,,11.75,11.36,1.0,12.29,11.72,11.79,424.0882103477528
2026-06-15,MARA,closed,15.11,15.0899,914,-301.4372000000005,stop_loss,15.08,15.09,15.06,15.07,,15.065,14.76,1.0,15.225,14.73,15.11,76.10853739245638
2026-06-15,PALL,closed,24.8,24.7597,556,-32.69279999999887,tag_bb,24.67,24.71,24.76,24.78,,24.73,24.545,1.0,24.785,24.55,24.8,-6.048387096774244
2026-06-15,TETH,time_stop_canceled,9.13,,1513,,,,,,,,9.1,9.06,0.0,9.085,9.015,9.13,-49.288061336254515
2026-06-16,LODE,closed,4.41,4.4,2549,-382.0951000000015,stop_loss,4.35,4.38,4.39,4.41,,4.4,4.25,1.0,4.5,4.22,4.41,204.08163265306146
2026-06-16,PURR,closed,10.59,10.558336,1304,-102.01974400000054,tag_bb,10.48,10.5,10.52,10.55,,10.56,10.265,1.0,10.98,10.285,10.59,368.2719546742219
2026-06-16,RGTZ,closed,3.2,3.19,4317,-555.5978999999992,stop_loss,3.17,3.18,3.21,3.22,,3.19,3.0613,1.0,3.48,3.05,3.2,874.9999999999991
2026-06-16,SSRM,closed,31.75,31.66,354,-56.60460000000013,tag_bb,31.46,31.57,31.53,31.62,,31.66,30.11,1.0,31.94,30.84,31.75,59.84251968504051
2026-06-17,AVGG,closed,29.18,29.18,385,61.60000000000005,lock_stop,28.66,28.74,29.2,29.32,,29.09,28.74,1.0,30.6,28.38,29.18,486.63468128855357
2026-06-17,BTGO,closed,6.21,6.21,1812,-434.6987999999992,force_close,6.07,6.1,6.07,6.36,,6.19,5.88,1.0,6.55,6.0,6.21,547.5040257648956
2026-06-17,KOLD,closed,23.67,23.63,475,-92.62500000000014,stop_loss,23.58,23.6,23.63,23.64,,23.6,23.43,1.0,23.7142,23.275,23.67,18.673426277988625
2026-06-17,TRLV,rejected,10.03,,1377,,,,,,,,10.0,9.6205,0.0,9.785,9.2201,10.03,-244.26719840478506
2026-06-18,AVGG,time_stop_canceled,32.8,,421,,,,,,,,32.7,31.935,0.0,32.51,31.62,32.8,-88.41463414634099
2026-06-18,HIMX,time_stop_canceled,17.86,,773,,,,,,,,17.81,17.55,0.0,17.7499,17.17,17.86,-61.646136618140886
2026-06-18,QCML,closed,29.07,28.985,475,201.87500000000034,lock_stop,28.07,28.2,29.06,29.08,,28.98,28.11,1.0,30.9199,27.5,29.07,636.3605091159275
2026-06-18,UMC,time_stop_canceled,23.72,,582,,,,,,,,23.65,23.1,0.0,23.495,23.15,23.72,-94.85666104553036
2026-06-22,BSOL,closed,10.17,10.145059,1358,-95.14012200000073,stop_loss,10.08,10.09,10.14,10.15,,10.14,10.07,1.0,10.175,9.97,10.17,4.91642084562427
2026-06-22,ETHU,closed,14.57,14.54,948,-150.73199999999898,stop_loss,14.44,14.45,14.57,14.58,,14.525,14.385,1.0,14.67,14.21,14.57,68.63417982155173
2026-06-22,GSOL,closed,5.63,5.62,2455,-120.29500000000093,stop_loss,5.58,5.59,5.61,5.62,,5.61,5.57,1.0,5.6274,5.515,5.63,-4.618117229130414
2026-06-22,SSL,closed,11.35,11.315,1216,-54.5984000000002,force_close,11.23,11.24,11.31,11.33,,11.32,11.1,1.0,11.39,11.205,11.35,35.24229074890029
2026-06-23,BEZ,time_stop_canceled,12.97,,1065,,,,,,,,12.93,12.18,0.0,12.78,11.31,12.97,-146.49190439475768
2026-06-23,SRTY,time_stop_canceled,23.45,,589,,,,,,,,23.38,22.925,0.0,23.26,22.2909,23.45,-81.02345415778144
2026-06-23,TSDD,closed,8.48,8.45,1630,1.630000000001992,tag_bb,8.4,8.41,8.42,8.43,,8.45,8.31,1.0,8.5499,8.37,8.48,82.42924528301776
2026-06-23,TSLZ,closed,12.82,12.7899,1077,2.1540000000007193,tag_bb,12.71,12.72,12.75,12.76,,12.7846,12.54,1.0,12.95,12.65,12.82,101.40405616224646
2026-06-24,AIBZ,time_stop_canceled,9.94,,1389,,,,,,,,9.91,9.5,0.0,9.9,8.6102,9.94,-40.24144869215207
2026-06-24,GLL,time_stop_canceled,27.61,,67,,,,,,,,27.53,27.2601,0.0,27.39,26.69,27.61,-79.68127490039834
2026-06-24,RUN,closed,16.21,16.165,115,-104.6499999999998,stop_loss_market_fallback,16.0,16.03,16.03,16.07,,16.16,15.29,1.0,16.79,15.38,16.21,357.8038247995052
2026-06-24,ZSL,time_stop_canceled,31.73,,435,,,,,,,,31.64,31.23,0.0,31.545,30.6302,31.73,-58.30444374409049
