trade_date,symbol,cap,fill_price,brk_ts,fill_ts,lag_s,fill_vs_cap_bps
2026-06-23,TSDD,8.48,8.45,2026-06-23T13:35:00+00:00,2026-06-23T13:35:16.522000+00:00,16.522,-35.377358490567005
2026-06-24,RUN,16.21,16.165,2026-06-24T13:45:00+00:00,2026-06-24T13:45:30.587000+00:00,30.587,-27.76064157927305
2026-06-25,AIBZ,8.98,8.978849,2026-06-25T13:50:00+00:00,2026-06-25T13:50:51.820000+00:00,51.82,-1.281737193764565
2026-06-25,EHGO,4.66,4.659997,2026-06-25T13:36:00+00:00,2026-06-25T13:36:55.245000+00:00,55.245,-0.006437768240719066
2026-06-26,SOLT,28.61,28.59,2026-06-26T13:35:00+00:00,2026-06-26T13:35:31.596000+00:00,31.596,-6.990562740299966
2026-06-29,RCAT,9.98,9.98,2026-06-29T13:35:00+00:00,2026-06-29T13:35:10.439000+00:00,10.439,0.0
2026-06-29,KOLD,23.2,23.13,2026-06-29T13:42:00+00:00,2026-06-29T13:41:55.024000+00:00,-4.976,-30.172413793103647
2026-06-29,IRE,19.4,19.367306,2026-06-29T13:35:00+00:00,2026-06-29T13:35:35.358000+00:00,35.358,-16.852577319587112
2026-06-29,BKSY,27.23,27.14643,2026-06-29T13:35:00+00:00,2026-06-29T13:35:07.527000+00:00,7.527,-30.690414983475243
2026-06-30,MSTZ,16.23,16.19,2026-06-30T13:35:00+00:00,2026-06-30T13:35:35.487000+00:00,35.487,-24.645717806530687
2026-06-30,CAST,6.33,6.33,2026-06-30T14:07:00+00:00,2026-06-30T14:07:32.005000+00:00,32.005,0.0
2026-07-01,PLTU,27.87,27.8,2026-07-01T13:36:00+00:00,2026-07-01T13:36:13.065000+00:00,13.065,-25.116612845353934
2026-07-01,TALO,13.89,13.888701,2026-07-01T13:36:00+00:00,2026-07-01T13:36:26.562000+00:00,26.562,-0.9352051835864739
2026-07-01,SSG,12.32,12.3,2026-07-01T13:35:00+00:00,2026-07-01T13:35:39.158000+00:00,39.158,-16.233766233766378
2026-07-01,TECS,6.62,6.61,2026-07-01T13:35:00+00:00,2026-07-01T13:35:11.913000+00:00,11.913,-15.105740181268201
2026-07-02,ETHT,8.74,8.74,2026-07-02T13:35:00+00:00,2026-07-02T13:40:22.941000+00:00,322.941,0.0
2026-07-02,SHNY,8.64,8.64,2026-07-02T13:35:00+00:00,2026-07-02T13:35:29.667000+00:00,29.667,0.0
2026-07-02,SVM,10.75,10.72,2026-07-02T13:35:00+00:00,2026-07-02T13:35:29.813000+00:00,29.813,-27.906976744185297
2026-07-02,CMBT,14.88,14.85,2026-07-02T13:37:00+00:00,2026-07-02T13:37:55.049000+00:00,55.049,-20.16129032258118
2026-07-07,BEZ,12.53,12.53,2026-07-07T13:35:00+00:00,2026-07-07T13:36:47.236000+00:00,107.236,0.0
2026-07-07,IREZ,8.83,8.8,2026-07-07T13:35:00+00:00,2026-07-07T13:49:14.449000+00:00,854.449,-33.97508493771184
2026-07-08,PLTZ,28.99,28.99,2026-07-08T13:35:00+00:00,2026-07-08T13:35:47.457000+00:00,47.457,0.0
2026-07-09,PLTZ,30.19,30.19,2026-07-09T14:19:00+00:00,2026-07-09T14:19:51.455000+00:00,51.455,0.0
2026-07-09,AAOX,20.69,20.69,2026-07-09T13:35:00+00:00,2026-07-09T13:37:29.615000+00:00,149.615,0.0
2026-07-10,CRCA,16.38,16.38,2026-07-10T13:35:00+00:00,2026-07-10T13:35:43.218000+00:00,43.218,0.0
2026-07-13,SKYQ,3.78,3.78,2026-07-13T13:35:00+00:00,2026-07-13T14:09:08.410000+00:00,2048.41,0.0
2026-07-14,IONL,14.94,14.9289,2026-07-14T13:38:00+00:00,2026-07-14T13:38:39.755000+00:00,39.755,-7.429718875501257
2026-07-14,RKLX,26.8,26.69,2026-07-14T13:35:00+00:00,2026-07-14T13:35:46.331000+00:00,46.331,-41.04477611940327
2026-07-14,RGTX,12.04,12.04,2026-07-14T13:37:00+00:00,2026-07-14T13:37:19.184000+00:00,19.184,0.0
2026-07-15,SKHZ,11.95,11.905,2026-07-15T14:24:00+00:00,2026-07-15T14:23:52.737000+00:00,-7.263,-37.656903765690416
2026-07-16,CRCD,6.69,6.69,2026-07-16T13:40:00+00:00,2026-07-16T13:40:10.940000+00:00,10.94,0.0
2026-07-16,BEZ,18.58,18.55,2026-07-16T13:43:00+00:00,2026-07-16T13:43:17.173000+00:00,17.173,-16.146393972011897
2026-07-16,SKHZ,12.75,12.7094,2026-07-16T13:41:00+00:00,2026-07-16T13:41:09.506000+00:00,9.506,-31.843137254901066
2026-07-17,CORD,9.97,9.97,2026-07-17T13:35:00+00:00,2026-07-17T13:35:57.070000+00:00,57.07,0.0
2026-07-20,SNDU,23.85,23.85,2026-07-20T13:35:00+00:00,2026-07-20T13:35:48.583000+00:00,48.583,0.0
2026-07-20,MUU,30.34,30.3,2026-07-20T13:35:00+00:00,2026-07-20T13:35:41.236000+00:00,41.236,-13.183915622939635
2026-07-21,MUU,33.04,33.04,2026-07-21T13:35:00+00:00,2026-07-21T13:37:45.599000+00:00,165.599,0.0
2026-07-21,AIBZ,6.85,6.83951,2026-07-21T13:42:00+00:00,2026-07-21T13:42:56.218000+00:00,56.218,-15.313868613138215
2026-07-21,CRWU,3.38,3.38,2026-07-21T13:44:00+00:00,2026-07-21T13:44:33.611000+00:00,33.611,0.0
2026-07-27,CWVX,13.39,13.36,2026-07-27T13:35:00+00:00,2026-07-27T13:35:12.435000+00:00,12.435,-22.404779686333587
2026-07-27,RGTX,11.06,11.06,2026-07-27T13:35:00+00:00,2026-07-27T14:11:38.558000+00:00,2198.558,0.0
2026-07-30,SMCX,6.92,6.9,2026-07-30T13:44:00+00:00,2026-07-30T13:44:02.035000+00:00,2.035,-28.901734104045396
2026-07-31,BIYA,4.1,4.1,2026-07-31T13:51:00+00:00,2026-07-31T13:52:38.062000+00:00,98.062,0.0
2026-08-03,BIOA,9.74,9.733182,2026-08-03T13:36:00+00:00,2026-08-03T13:36:17.425000+00:00,17.425,-7.0000000000014495
2026-08-11,IREG,8.18,8.12,2026-08-11T13:37:00+00:00,2026-08-11T13:36:51.969000+00:00,-8.031,-73.34963325183463
2026-08-11,IREX,14.51,14.506957,2026-08-11T13:37:00+00:00,2026-08-11T13:37:22.249000+00:00,22.249,-2.097174362508669
2026-08-12,UMAC,27.56,27.55989,2026-08-12T13:36:00+00:00,2026-08-12T13:36:27.131000+00:00,27.131,-0.03991291727123425
2026-08-25,SMCX,11.95,11.9167,2026-08-25T13:35:00+00:00,2026-08-25T13:35:33.083000+00:00,33.083,-27.866108786609445
2026-08-27,IREG,8.15,8.1298,2026-08-27T13:39:00+00:00,2026-08-27T13:39:19.787000+00:00,19.787,-24.785276073621134
