symbol,ts,open,high,low,close,volume,trade_count,vwap
ANF,2026-09-15 17:15:00+00:00,137.56,137.56,137.56,137.56,378.0,35.0,137.56
ANF,2026-09-15 17:18:00+00:00,137.42,137.602,137.26,137.44,7681.0,100.0,137.438565
ANF,2026-09-15 17:19:00+00:00,137.35,137.35,137.345,137.3475,820.0,34.0,137.346875
ANF,2026-09-15 17:20:00+00:00,137.34,137.355,137.26,137.335,3127.0,120.0,137.335873
APG,2026-09-15 17:15:00+00:00,36.63,36.63,36.62,36.63,2746.0,62.0,36.628897
APG,2026-09-15 17:16:00+00:00,36.63,36.675,36.63,36.675,4579.0,85.0,36.644305
APG,2026-09-15 17:17:00+00:00,36.675,36.675,36.625,36.625,6120.0,95.0,36.644373
APG,2026-09-15 17:18:00+00:00,36.625,36.625,36.625,36.625,1997.0,59.0,36.625
APG,2026-09-15 17:19:00+00:00,36.62,36.72,36.61,36.7,19250.0,236.0,36.637604
APG,2026-09-15 17:20:00+00:00,36.7,36.72,36.62,36.63,9249.0,157.0,36.687826
AVT,2026-09-15 17:15:00+00:00,92.31,92.34,92.31,92.33,1801.0,50.0,92.32375
AVT,2026-09-15 17:19:00+00:00,92.46,92.48,92.45,92.46,1961.0,90.0,92.46175
BALL,2026-09-15 17:15:00+00:00,60.83,60.84,60.83,60.83,1448.0,47.0,60.834286
BALL,2026-09-15 17:16:00+00:00,60.83,60.83,60.81,60.83,4948.0,77.0,60.82027
BALL,2026-09-15 17:17:00+00:00,60.82,60.83,60.775,60.775,4808.0,80.0,60.806065
BALL,2026-09-15 17:18:00+00:00,60.78,60.79,60.78,60.79,990.0,31.0,60.787194
BALL,2026-09-15 17:19:00+00:00,60.77,60.77,60.76,60.76,866.0,31.0,60.762
BALL,2026-09-15 17:20:00+00:00,60.78,60.78,60.76,60.76,1989.0,51.0,60.776667
AMG,2026-09-15 17:15:00+00:00,347.77,347.77,347.77,347.77,72.0,9.0,347.77
AMG,2026-09-15 17:18:00+00:00,347.6,347.6,347.6,347.6,62.0,5.0,347.6
AYA,2026-09-15 17:15:00+00:00,26.24,26.24,26.22,26.22,2125.0,22.0,26.226355
AYA,2026-09-15 17:16:00+00:00,26.22,26.27,26.22,26.27,2270.0,34.0,26.248333
AYA,2026-09-15 17:18:00+00:00,26.28,26.28,26.28,26.28,534.0,11.0,26.28
AYA,2026-09-15 17:19:00+00:00,26.28,26.28,26.23,26.25,2765.0,38.0,26.253885
AYA,2026-09-15 17:20:00+00:00,26.23,26.26,26.23,26.25,1187.0,19.0,26.245245
AZTA,2026-09-15 17:15:00+00:00,33.22,33.22,33.22,33.22,403.0,9.0,33.22
AZTA,2026-09-15 17:16:00+00:00,33.19,33.22,33.19,33.215,1470.0,28.0,33.2025
AZTA,2026-09-15 17:17:00+00:00,33.205,33.225,33.205,33.225,322.0,11.0,33.218333
AZTA,2026-09-15 17:18:00+00:00,33.23,33.23,33.2,33.2,623.0,12.0,33.205833
AZTA,2026-09-15 17:20:00+00:00,33.21,33.23,33.18,33.18,4285.0,83.0,33.198084
ALGT,2026-09-15 17:15:00+00:00,78.5,78.5,78.5,78.5,944.0,50.0,78.5
ALGT,2026-09-15 17:16:00+00:00,78.52,78.52,78.52,78.52,432.0,27.0,78.52
ALGT,2026-09-15 17:17:00+00:00,78.42,78.42,78.42,78.42,695.0,31.0,78.42
ALGT,2026-09-15 17:18:00+00:00,78.48,78.51,78.345,78.51,630.0,21.0,78.413027
ALGT,2026-09-15 17:19:00+00:00,78.5,78.51,78.46,78.46,870.0,30.0,78.494
ALGT,2026-09-15 17:20:00+00:00,78.53,78.56,78.5,78.56,1501.0,78.0,78.540435
AME,2026-09-15 17:16:00+00:00,234.17,234.17,234.17,234.17,416.0,34.0,234.17
AME,2026-09-15 17:17:00+00:00,234.005,234.005,233.9,233.9,1235.0,59.0,233.93625
AME,2026-09-15 17:18:00+00:00,233.865,233.865,233.865,233.865,345.0,29.0,233.865
AME,2026-09-15 17:20:00+00:00,233.99,234.015,233.99,234.015,1084.0,57.0,234.005
ABCB,2026-09-15 17:15:00+00:00,84.83,84.83,84.83,84.83,885.0,35.0,84.83
ABCB,2026-09-15 17:16:00+00:00,84.81,84.81,84.73,84.73,307.0,19.0,84.77
ABCB,2026-09-15 17:17:00+00:00,84.76,84.76,84.74,84.74,613.0,23.0,84.745
ABCB,2026-09-15 17:18:00+00:00,84.79,84.79,84.79,84.79,404.0,19.0,84.79
ALGM,2026-09-15 17:15:00+00:00,33.4,33.4,33.36,33.36,1510.0,32.0,33.373571
ALGM,2026-09-15 17:16:00+00:00,33.39,33.39,33.36,33.39,5116.0,51.0,33.364702
ALGM,2026-09-15 17:17:00+00:00,33.38,33.38,33.35,33.365,12350.0,80.0,33.363018
ALGM,2026-09-15 17:18:00+00:00,33.39,33.39,33.34,33.34,4731.0,70.0,33.350541
ALGM,2026-09-15 17:19:00+00:00,33.345,33.38,33.34,33.375,7663.0,86.0,33.360067
ALGM,2026-09-15 17:20:00+00:00,33.385,33.43,33.385,33.425,3387.0,51.0,33.41209
AMRC,2026-09-15 17:15:00+00:00,22.55,22.55,22.55,22.55,408.0,34.0,22.55
AMRC,2026-09-15 17:17:00+00:00,22.53,22.63,22.53,22.63,2913.0,79.0,22.575033
AMRC,2026-09-15 17:18:00+00:00,22.65,22.706,22.65,22.655,3396.0,64.0,22.674172
AMRC,2026-09-15 17:19:00+00:00,22.655,22.655,22.655,22.655,904.0,8.0,22.655
AMRC,2026-09-15 17:20:00+00:00,22.6334,22.6334,22.605,22.605,750.0,20.0,22.618754
ARE,2026-09-15 17:15:00+00:00,53.03,53.03,53.03,53.03,583.0,33.0,53.03
ARE,2026-09-15 17:16:00+00:00,53.04,53.08,53.04,53.08,3682.0,54.0,53.048066
ARE,2026-09-15 17:17:00+00:00,53.09,53.09,53.06,53.07,5309.0,74.0,53.07774
ARE,2026-09-15 17:18:00+00:00,53.05,53.05,52.985,53.0,2917.0,68.0,53.037961
ARE,2026-09-15 17:19:00+00:00,52.995,52.995,52.995,52.995,175.0,12.0,52.995
ARE,2026-09-15 17:20:00+00:00,52.985,52.985,52.985,52.985,277.0,27.0,52.985
ARMK,2026-09-15 17:15:00+00:00,58.63,58.63,58.52,58.54,8437.0,153.0,58.587953
ARMK,2026-09-15 17:16:00+00:00,58.53,58.53,58.53,58.53,1426.0,37.0,58.53
ARMK,2026-09-15 17:17:00+00:00,58.53,58.54,58.52,58.54,2058.0,57.0,58.527847
ARMK,2026-09-15 17:18:00+00:00,58.52,58.52,58.52,58.52,1164.0,41.0,58.52
ARMK,2026-09-15 17:19:00+00:00,58.52,58.54,58.52,58.53,3778.0,88.0,58.531688
ARMK,2026-09-15 17:20:00+00:00,58.535,58.56,58.53,58.545,3211.0,67.0,58.544067
AVUS,2026-09-15 17:16:00+00:00,128.2924,128.3,128.2924,128.3,1152.0,4.0,128.293813
AVUS,2026-09-15 17:17:00+00:00,128.3,128.3,128.28,128.28,479.0,8.0,128.2875
BA,2026-09-15 17:15:00+00:00,211.16,211.31,211.03,211.1,2988.0,95.0,211.139245
BA,2026-09-15 17:16:00+00:00,211.075,211.12,211.07,211.12,2952.0,104.0,211.091364
BA,2026-09-15 17:17:00+00:00,211.14,211.145,211.01,211.0768,2994.0,95.0,211.077185
BA,2026-09-15 17:18:00+00:00,211.1,211.1699,211.05,211.07,9020.0,191.0,211.089859
BA,2026-09-15 17:19:00+00:00,211.06,211.115,211.01,211.115,3564.0,99.0,211.059417
BA,2026-09-15 17:20:00+00:00,211.0101,211.06,210.99,211.02,5839.0,113.0,211.009405
ABVX,2026-09-15 17:15:00+00:00,107.89,107.9683,107.83,107.885,1228.0,23.0,107.890413
ABVX,2026-09-15 17:16:00+00:00,107.83,107.885,107.36,107.53,19018.0,192.0,107.664904
ABVX,2026-09-15 17:17:00+00:00,107.57,107.63,107.545,107.545,1659.0,52.0,107.56141
ABVX,2026-09-15 17:18:00+00:00,107.515,107.66,107.47,107.47,8701.0,94.0,107.61003
ABVX,2026-09-15 17:19:00+00:00,107.44,107.545,107.42,107.42,831.0,14.0,107.492857
ABVX,2026-09-15 17:20:00+00:00,107.53,107.53,107.52,107.525,1145.0,19.0,107.526852
ASMB,2026-09-15 17:15:00+00:00,27.02,27.12,26.98,26.98,8155.0,133.0,27.034669
