symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
KBSX,2025-03-19,10:07:00,3.87,3.7,4.25,18000,10:11:00,4.25,partial+target,7425.0,7.11,True,4.04,9000,1530.0,41.5,2714018,1.25,-36.25,False,,2,10.83,1.78,2.6,1.8,0.0,0.0,0.3,0.3,0.0,2.6,1.537,0.0,0.0,21.33,0.829,1.537,
LSE,2025-03-20,10:24:00,9.45,9.14,10.04,18000,10:27:00,9.11,stop,-9110.34,-3.57,False,,0,0.0,35.85,788997,-5.04,-16.24,False,,2,5.64,-4.34,3.0,1.8,0.3,0.0,0.3,0.3,0.2,3.1,1.345,0.0,0.0,24.06,0.857,1.345,
QNTM,2025-03-28,10:16:00,10.42,10.16,10.72,19193,10:17:00,10.72,partial+target,8061.44,2.69,True,10.68,7102,1846.52,55.58,710285,-2.03,17.78,False,-0.01,2,6.02,-0.67,1.9,1.0,0.3,0.3,0.3,0.0,0.0,1.9,1.047,0.0,0.0,32.21,0.876,1.047,
WHLR,2025-03-31,10:44:00,3.51,3.42,3.68,26000,10:57:00,3.41,stop,-3910.14,-2.86,False,,0,0.0,21.98,2546969,5.06,-7.27,False,0.06,3,6.11,5.61,2.6,1.0,0.3,0.3,0.3,0.3,0.2,2.6,1.561,0.2,0.0,20.89,0.482,1.561,
TNXP,2025-04-07,09:56:00,17.19,16.82,17.89,9999,10:00:00,17.89,partial+target,5350.0,3.11,True,17.56,9000,3330.0,28.43,1700591,8.17,-6.97,False,-0.19,3,7.95,7.94,3.0,1.8,0.3,0.3,0.3,0.3,0.0,3.4,2.831,0.2,0.0,21.74,2.259,2.831,
TTGT,2025-04-07,10:19:00,9.96,9.65,10.36,9507,10:22:00,9.62,stop,-3222.4,-3.4,False,,0,0.0,21.57,264127,10.68,-5.09,False,-0.19,2,4.53,11.87,2.0,1.8,0.3,0.0,0.0,0.3,0.2,2.0,2.831,0.2,0.0,21.57,3.203,2.831,
FATN,2025-04-16,10:05:00,7.99,7.84,8.25,18000,10:07:00,7.97,partial+breakeven,1134.27,0.79,True,8.14,9000,1350.0,43.65,2650064,6.29,-13.14,False,,2,5.15,5.92,3.0,1.8,0.3,0.3,0.3,0.3,0.2,3.6,2.098,0.2,0.0,23.51,2.773,2.098,
SCLX,2025-04-23,10:30:00,4.63,4.54,4.78,18000,10:40:00,4.78,partial+target,2160.0,2.59,True,4.72,9000,810.0,30.0,1246944,8.73,-4.76,False,,2,3.16,9.26,1.8,1.0,0.0,0.0,0.3,0.3,0.0,1.8,1.979,0.2,0.0,21.07,2.828,1.979,
CPS,2025-05-02,09:52:00,19.79,18.99,21.54,10106,11:05:00,21.54,partial+target,12885.56,6.44,True,20.59,5913,4730.4,32.22,378777,6.28,11.3,False,0.01,2,17.19,5.63,2.3,1.8,0.0,0.3,0.3,0.3,0.2,2.3,1.714,0.2,0.0,29.27,0.556,1.714,
ZYBT,2025-05-13,10:40:00,6.91,6.6,7.6,18000,10:48:00,6.58,stop,-5936.4,-4.77,False,,0,0.0,201.73,557599,-13.17,-3.91,False,-0.09,2,6.18,-12.6,2.3,1.8,0.3,-0.3,0.3,0.0,0.0,2.3,1.136,0.0,0.0,104.53,2.433,1.136,
TSSI,2025-05-16,09:57:00,13.92,13.49,14.84,14367,10:01:00,14.84,partial+target,12123.11,4.85,True,14.35,8876,3816.68,31.83,947907,3.84,46.56,False,-0.09,2,8.02,4.25,1.8,1.8,0.3,0.0,0.3,0.0,0.0,1.8,0.888,0.2,0.0,56.14,0.706,0.888,
RYET,2025-05-23,10:14:00,13.09,12.49,14.39,11529,10:16:00,12.45,stop,-9187.18,-4.87,False,,0,0.0,23.23,1187461,0.83,-4.14,False,0.06,2,7.32,1.46,2.2,1.8,0.3,-0.3,0.0,0.0,0.2,2.2,1.167,0.0,0.0,21.75,0.896,1.167,
FMST,2025-05-28,09:42:00,3.72,3.55,4.09,20000,09:54:00,4.09,partial+target,6750.0,7.26,True,3.89,10000,1700.0,33.54,832094,7.47,9.26,False,0.03,3,13.3,7.65,1.8,2.0,0.0,0.0,0.3,0.3,0.0,1.8,1.401,0.2,0.0,15.05,2.791,1.401,
DFDV,2025-06-03,10:27:00,21.54,20.89,22.45,9285,11:06:00,20.83,stop,-8271.42,-3.31,False,,0,0.0,26.2,1220294,-1.89,1.07,False,0.12,2,3.61,-0.58,1.8,1.0,0.0,0.0,0.3,0.3,0.2,1.8,1.297,0.0,0.0,24.56,0.612,1.297,
NEGG,2025-06-09,10:25:00,13.57,13.1,14.57,14738,10:30:00,13.53,partial+breakeven,3953.85,1.58,True,14.04,4499,2114.53,67.79,931289,9.85,0.0,False,-0.01,3,7.55,9.8,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.808,0.2,0.0,29.81,1.339,0.808,
AGIG,2025-06-16,09:52:00,11.33,10.82,12.45,13043,09:54:00,10.79,stop,-8844.46,-4.79,False,,0,0.0,45.19,2104276,1.9,-11.31,False,0.09,3,17.98,2.32,2.3,1.8,0.0,0.0,0.3,0.0,0.0,2.3,0.914,0.0,0.0,43.39,0.706,0.914,
EGG,2025-07-09,09:57:00,7.19,6.96,7.66,18000,09:58:00,7.66,partial+target,7875.0,4.87,True,7.42,9000,2070.0,141.39,1142215,7.42,-4.17,False,0.02,2,7.89,6.96,2.3,1.8,0.3,0.0,0.3,-0.5,0.0,2.3,0.678,0.2,0.0,24.52,1.473,0.678,
FTEK,2025-08-07,10:46:00,3.39,3.3,3.56,8165,10:48:00,3.29,stop,-1019.6,-2.95,False,,0,0.0,21.62,408276,9.1,1.36,False,-0.07,3,4.83,9.04,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.878,0.2,0.0,21.62,3.329,0.878,
SDM,2025-08-07,10:18:00,10.74,10.37,11.54,12000,10:20:00,11.54,partial+target,8775.0,5.45,True,11.11,9000,3330.0,37.09,752520,7.92,-1.87,False,-0.07,2,6.53,7.71,2.5,1.8,0.3,0.0,0.0,0.0,0.0,2.5,0.878,0.2,0.0,25.47,1.548,0.878,
FABC,2025-09-11,09:53:00,4.84,4.69,5.17,6829,09:59:00,5.17,partial+target,2048.81,4.96,True,4.99,3414,512.1,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.5,1.0,0.0,0.3,0.3,-0.5,0.2,2.5,0.523,0.2,0.0,23.33,1.965,0.523,
SBLX,2025-09-11,09:53:00,4.84,4.69,5.17,6829,09:59:00,5.17,partial+target,2048.81,4.96,True,4.99,3414,512.1,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.5,1.0,0.0,0.3,0.3,-0.5,0.2,2.5,0.523,0.2,0.0,23.33,1.965,0.523,
AQMS,2025-10-13,09:39:00,6.83,6.61,7.32,18000,09:44:00,7.32,partial+target,7987.5,5.2,True,7.05,9000,1980.0,108.19,2592400,2.2,12.19,False,0.01,2,6.61,2.17,1.8,1.8,0.3,0.0,0.0,0.3,0.0,1.8,1.502,0.2,0.0,20.14,2.138,1.502,
IPDN,2025-10-13,09:57:00,3.62,3.46,3.98,18000,10:47:00,3.98,partial+target,5850.0,7.18,True,3.78,9000,1440.0,43.15,2643889,8.58,-1.35,False,0.01,2,6.71,5.56,2.5,1.8,0.3,-0.3,0.0,0.3,0.0,2.5,1.502,0.2,0.0,23.29,5.937,1.502,
DFNS,2025-10-16,09:38:00,15.28,14.86,16.13,10000,09:52:00,14.82,stop,-5807.25,-3.04,False,,0,0.0,24.72,2763531,2.3,8.7,False,0.04,3,8.23,2.62,2.4,2.0,0.3,0.3,0.3,0.3,0.0,2.4,1.489,0.2,0.0,15.93,1.689,1.489,
DFNS,2025-10-20,10:26:00,9.64,9.46,9.96,18000,10:32:00,9.43,stop,-4688.55,-2.16,False,,0,0.0,27.27,2551752,-0.23,2.49,False,0.14,3,6.62,0.27,2.4,1.8,0.3,0.3,0.3,0.3,0.2,2.4,1.546,0.0,0.0,27.27,0.943,1.546,
DTCK,2025-11-05,09:45:00,4.49,4.39,4.69,26000,09:48:00,4.69,partial+target,4875.0,3.34,True,4.59,13000,1300.0,62.38,2274726,1.74,-3.14,False,0.03,3,5.84,2.22,2.6,1.0,0.3,0.3,0.0,0.0,0.0,2.6,0.84,0.0,0.0,22.09,1.019,0.84,
AREN,2025-11-14,09:46:00,3.86,3.65,4.24,8235,10:04:00,4.24,partial+target,3036.76,7.64,True,4.07,4117,864.57,46.67,228795,12.24,-11.25,False,-0.07,3,13.65,14.03,2.7,1.8,0.0,0.0,0.3,0.0,0.2,2.7,0.948,0.2,0.0,22.06,0.211,0.948,
PAAI,2025-11-14,09:46:00,3.86,3.65,4.24,4575,10:04:00,4.24,partial+target,1687.14,7.64,True,4.07,2287,480.27,46.67,228795,12.35,-13.75,False,-0.07,3,13.65,14.14,2.7,1.0,0.0,0.0,0.3,0.0,0.2,2.7,0.948,0.2,0.0,22.06,0.211,0.948,
PHGE,2025-12-08,08:58:00,3.2,3.09,3.34,20000,09:01:00,3.08,stop,-2981.75,-3.73,False,,0,0.0,35.9,681064,6.77,-44.68,False,-0.03,2,8.19,8.29,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.639,0.2,0.0,18.91,2.235,0.639,
KZIA,2025-12-23,10:36:00,8.12,7.76,8.93,10251,10:45:00,8.1,partial+breakeven,2150.16,2.07,True,8.48,5125,1845.0,49.02,284764,5.48,-0.9,False,0.19,3,15.4,5.64,2.3,1.8,0.0,0.3,0.3,-0.5,0.0,2.3,0.75,0.2,0.0,49.02,9.967,0.75,
KXIN,2025-12-29,10:15:00,5.2,4.96,5.65,18000,10:32:00,4.95,stop,-5734.8,-4.9,False,,0,0.0,20.84,1456492,5.67,-13.95,False,0.01,3,5.4,,2.2,1.8,0.3,-0.3,0.3,-0.5,0.2,2.2,0.473,0.2,0.0,20.84,0.331,0.473,
SMX,2026-01-05,09:56:00,17.68,17.0,19.15,6100,10:00:00,16.95,stop,-5574.38,-4.13,False,,0,0.0,29.04,1479277,-2.19,-0.48,False,0.11,3,11.13,-1.53,1.8,1.8,0.0,0.0,0.3,-0.5,0.0,1.8,0.718,0.0,0.0,30.23,0.586,0.718,
VELO,2026-01-06,09:49:00,17.1,16.64,17.85,10000,10:12:00,17.85,partial+target,7562.5,3.54,True,17.56,10000,4600.0,32.0,1889690,4.9,2.81,False,0.06,2,7.64,5.78,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.77,0.2,0.0,16.2,0.621,0.77,
BNRG,2026-01-27,10:00:00,3.19,3.03,3.5,18000,10:02:00,3.18,partial+breakeven,1692.34,2.36,True,3.35,9000,1440.0,29.24,926502,0.09,-1.95,False,0.0,2,5.17,0.85,1.8,1.8,0.3,-0.3,0.3,-0.5,0.0,1.8,0.592,0.0,0.0,29.24,4.235,0.592,
BRNX,2026-01-27,10:00:00,3.19,3.03,3.5,18000,10:02:00,3.18,partial+breakeven,1692.34,2.36,True,3.35,9000,1440.0,29.24,926502,0.09,-1.95,False,0.0,2,5.17,0.85,1.8,1.8,0.3,-0.3,0.3,-0.5,0.0,1.8,0.592,0.0,0.0,29.24,4.235,0.592,
KPTI,2026-02-12,09:46:00,7.81,7.51,8.46,14947,09:56:00,8.46,partial+target,8875.0,6.08,True,8.11,7473,2241.9,47.92,415232,6.7,-11.8,False,0.0,2,6.48,5.67,2.5,1.8,0.3,-0.3,0.3,0.0,0.0,2.5,0.985,0.2,0.0,22.36,2.246,0.985,
ADVB,2026-02-24,10:42:00,4.88,4.72,5.23,15292,10:48:00,4.71,stop,-3994.88,-3.57,False,,0,0.0,57.61,424841,7.11,-0.49,False,-0.02,3,9.75,6.32,2.7,1.8,0.0,0.0,0.3,0.0,0.2,2.7,1.106,0.2,0.0,20.3,1.66,1.106,
