day,symbol,ok,raw_pct,net_R,gross_R,ssr,month
2025-01-29,DGNX,True,7.1157418625313,3.4673646812656496,3.55787093126565,Y,2025-01
2025-01-29,DGNX,True,6.077037037037036,2.940429768518518,3.038518518518518,Y,2025-01
2025-01-30,DGNX,True,10.124844761095497,4.935002068047749,5.062422380547749,Y,2025-01
2025-02-03,NEUP,True,16.186737878446632,8.009539564223317,8.093368939223316,N,2025-02
2025-02-05,ACON,True,2.4848066298342575,1.1790939399171287,1.2424033149171287,Y,2025-02
2025-02-05,RNAZ,True,-10.629067245119295,-5.398362997559648,-5.314533622559647,Y,2025-02
2025-02-06,QNTM,True,-10.606860158311338,-5.4222497666556695,-5.303430079155669,Y,2025-02
2025-02-06,QNTM,True,6.641366223908918,3.239697174454459,3.320683111954459,Y,2025-02
2025-02-10,KRKR,True,8.318584070796476,4.095982660398238,4.159292035398238,Y,2025-02
2025-02-10,CSAI,True,1.4742660193766688,0.6738236346883344,0.7371330096883344,Y,2025-02
2025-02-11,MSW,True,7.621247113163976,3.735926369081988,3.810623556581988,Y,2025-02
2025-02-11,MSW,True,-8.591885441527424,-4.370639908263712,-4.295942720763712,Y,2025-02
2025-02-11,MSW,True,5.9880239520958,2.9193147885479,2.9940119760479,Y,2025-02
2025-02-11,MSW,True,11.181434599156127,5.516020112078063,5.590717299578063,Y,2025-02
2025-02-12,AIFF,True,-0.15151515151516914,-0.19457726325758457,-0.07575757575758457,N,2025-02
2025-02-13,CSAI,True,9.057591623036654,4.430707061518327,4.528795811518327,N,2025-02
2025-02-14,MRNA,True,-0.598544666357026,-0.428773895678513,-0.299272333178513,N,2025-02
2025-02-14,INLF,True,-8.872901678657087,-4.511148026828543,-4.436450839328543,Y,2025-02
2025-02-14,INLF,True,4.416943354462221,2.1474179272311105,2.2084716772311106,Y,2025-02
2025-02-14,INLF,True,-3.7539089055064423,-1.957265390253221,-1.8769544527532211,Y,2025-02
2025-02-14,INLF,True,10.490759753593437,5.165068939296718,5.245379876796719,Y,2025-02
2025-02-18,INLF,True,-1.0134030728996324,-0.5700109114498162,-0.5067015364498162,Y,2025-02
2025-02-18,INLF,True,-2.156334231805923,-1.1414764909029615,-1.0781671159029615,Y,2025-02
2025-02-18,INLF,True,8.48806366047745,4.180722455238725,4.244031830238725,Y,2025-02
2025-02-19,FEAM,True,6.8390958634861,3.34485074424305,3.41954793174305,Y,2025-02
2025-02-21,CELH,True,0.4732894535435572,0.10714316427177861,0.2366447267717786,N,2025-02
2025-02-21,CYN,True,-4.513384638254547,-2.3405216941272737,-2.2566923191272736,N,2025-02
2025-02-21,GRAL,True,0.1110124333925322,-0.07399534580373392,0.0555062166962661,Y,2025-02
2025-02-24,MLGO,True,-7.791509940891994,-3.979584345445997,-3.895754970445997,Y,2025-02
