day,symbol,min_open,min_high,min_low,min_close,nbars,store,first_m,d_open,d_high,d_low,d_close,d_vol,prev_close,prev_date,src,ratio_open,ratio_close
2025-01-02,LCFYW,17.46,18.38,15.5,17.99,13,cache,594,17.46,18.38,15.5,17.99,5792,,,sample,1.0,1.0
2025-01-02,RAPT,1.59,1.785,1.55,1.625,368,sip,570,1.59,1.785,1.55,1.63,1972257,,,sample,1.0,1.003076923076923
2025-01-02,ARTL,1.06,1.12,1.047,1.09,28,sip,570,1.06,1.12,1.047,1.09,37373,,,sample,1.0,1.0
2025-01-02,BRFH,2.8,2.84,2.78,2.84,3,cache,570,2.8,2.84,2.48,2.48,1709,,,sample,1.0,0.8732394366197184
2025-01-02,NDRA,6.26,6.54,6.14,6.38,37,cache,570,6.26,6.54,6.14,6.44,34010,,,sample,1.0,1.0094043887147337
2025-01-02,FRGT,1.87,2.2,1.8695,2.08,124,cache,570,1.87,2.2,1.8695,2.04,235551,,,sample,1.0,0.9807692307692307
2025-01-02,SNAL,1.86,2.17,1.85,2.12,94,cache,570,1.86,2.17,1.85,2.12,266638,,,sample,1.0,1.0
2025-01-02,SRAD,17.5,18.4,17.39,17.44,316,sip,570,17.5,18.4,17.39,17.44,844729,,,sample,1.0,1.0
2025-01-02,BTCT,4.88,5.55,4.78,5.3805,299,cache,570,4.88,5.55,4.78,5.44,725224,,,sample,1.0,1.0110584518167458
2025-01-02,FLWS,8.24,8.37,7.79,7.82,226,sip,570,8.24,8.37,7.79,7.81,387985,,,sample,1.0,0.9987212276214833
2025-01-02,MCFT,19.2,19.31,18.35,18.57,109,sip,570,19.2,19.31,18.35,18.52,81309,,,sample,1.0,0.9973074851911685
2025-01-02,EH,15.85,16.64,15.43,15.66,365,sip,570,15.85,16.64,15.43,15.67,2150839,,,sample,1.0,1.000638569604087
2025-01-02,SJT,3.86,4.25,3.85,4.148,131,cache,570,3.86,4.25,3.85,4.16,385434,,,sample,1.0,1.0028929604628738
2025-01-02,DALN,7.77,7.77,6.99,7.0791,81,sip,570,7.77,7.77,6.99,7.08,108431,,,sample,1.0,1.0001271348052718
2025-01-02,PHIO,1.81,1.9886,1.81,1.915,106,sip,570,1.81,1.9886,1.81,1.9,278192,,,sample,1.0,0.9921671018276762
2025-01-02,BMA,97.2,110.0,96.5,109.19,297,cache,570,97.2,110.0,96.5,109.17,433634,,,sample,1.0,0.999816833043319
2025-01-02,UCL,1.94,2.02,1.54,1.73,158,cache,570,1.94,2.02,1.54,1.74,448516,,,sample,1.0,1.0057803468208093
2025-01-02,NUVB,2.68,2.735,2.565,2.59,361,cache,570,2.68,2.735,2.565,2.59,2155127,,,sample,1.0,1.0
2025-01-02,RKT,11.33,11.43,10.78,10.86,389,sip,570,11.33,11.43,10.78,10.85,2891185,,,sample,1.0,0.9990791896869246
2025-01-02,SONN,1.46,1.73,1.46,1.64,157,sip,570,1.46,1.73,1.46,1.6,290471,,,sample,1.0,0.9756097560975611
2025-01-02,PILL,7.0,7.17,6.8,6.93,64,sip,570,7.0,7.17,6.8,6.94,111226,,,sample,1.0,1.0014430014430016
2025-01-02,VERV,5.62,6.145,5.6,6.005,362,sip,570,5.62,6.145,5.6,6.01,1062628,,,sample,1.0,1.0008326394671108
2025-01-02,DDL,3.28,3.2893,3.116,3.23,290,cache,570,3.28,3.2893,3.116,3.24,1147609,,,sample,1.0,1.0030959752321982
2025-01-02,SGMO,1.02,1.14,0.9701,1.12,387,cache,570,1.02,1.14,0.9701,1.13,13758783,,,sample,1.0,1.0089285714285712
2025-01-02,ZBAI,1.05,1.46,1.05,1.3881,66,cache,570,1.05,1.46,1.05,1.4032,148761,,,sample,1.0,1.0108781788055616
2025-01-02,BEEP,4.39,4.48,4.21,4.245,47,cache,570,4.39,4.48,3.95,4.03,98289,,,sample,1.0,0.9493521790341579
2025-01-03,SPRY,10.53,11.41,10.53,11.19,345,sip,570,10.53,11.41,10.53,11.19,1268552,10.71,2025-01-02,book,1.0,1.0
2025-01-03,FGF,24.9,27.0,22.365,23.23,40,sip,570,24.9,27.0,22.365,23.23,97953,25.1,2025-01-02,book,1.0,1.0
2025-01-03,BMBL,7.56,8.14,7.56,8.11,372,sip,570,7.56,8.14,7.56,8.1,1463588,7.97,2025-01-02,book,1.0,0.998766954377312
2025-01-03,MPLN,12.59,14.37,12.29,14.2,114,sip,570,12.59,14.37,12.29,14.21,120009,12.95,2025-01-02,book,1.0,1.0007042253521128
2025-01-03,ARKR,12.5,15.15,12.5,14.603,17,cache,570,12.5,15.15,12.5,14.733,24989,12.76,2025-01-02,sample,1.0,1.008902280353352
2025-01-03,HOWL,1.58,1.72,1.58,1.675,174,cache,570,1.58,1.72,1.58,1.68,224074,1.56,2025-01-02,sample,1.0,1.0029850746268656
2025-01-03,ANAB,14.03,14.87,13.745,14.6,313,cache,570,14.03,14.87,13.745,14.6,996270,13.36,2025-01-02,sample,1.0,1.0
2025-01-03,AR,35.5,36.19,34.42,34.95,390,sip,570,35.5,36.19,34.42,34.94,4040779,35.57,2025-01-02,sample,1.0,0.9997138769670957
2025-01-03,JCSE,1.42,1.42,1.27,1.35,16,cache,570,1.42,1.42,1.27,1.35,32317,1.33,2025-01-02,sample,1.0,1.0
2025-01-03,SNGX,2.91,3.18,2.82,3.12,36,cache,570,2.91,3.18,2.82,3.13,31785,2.94,2025-01-02,sample,1.0,1.0032051282051282
2025-01-03,IGMS,6.28,7.02,6.22,6.57,211,sip,570,6.28,7.02,6.22,6.56,337952,6.21,2025-01-02,sample,1.0,0.9984779299847792
2025-01-03,ATCH,8.5,9.0,7.87,8.11,157,cache,570,8.5,9.0,7.87,8.15,246186,10.05,2025-01-02,sample,1.0,1.0049321824907522
2025-01-03,ANNX,5.54,5.66,5.39,5.4,324,sip,570,5.54,5.66,5.39,5.41,1164193,5.5,2025-01-02,sample,1.0,1.0018518518518518
2025-01-03,ATHE,3.76,4.708,3.74,4.58,129,cache,570,3.76,4.708,3.74,4.26,224375,3.73,2025-01-02,sample,1.0,0.9301310043668122
2025-01-03,RDW,17.24,18.49,17.0561,18.09,350,sip,570,17.24,18.49,17.0561,18.09,1217046,17.04,2025-01-02,sample,1.0,1.0
2025-01-03,MODD,1.4,1.4889,1.4,1.46,48,sip,570,1.4,1.4889,1.4,1.45,131246,1.41,2025-01-02,sample,1.0,0.9931506849315068
2025-01-03,FTI,30.0,31.35,29.75,31.33,390,sip,570,30.0,31.35,29.75,31.35,5383539,29.57,2025-01-02,sample,1.0,1.000638365783594
2025-01-03,FEMY,1.08,1.1425,1.08,1.115,64,sip,570,1.08,1.1425,1.08,1.12,46164,1.1,2025-01-02,sample,1.0,1.0044843049327354
2025-01-03,OPRA,19.72,20.35,18.9903,19.57,268,sip,570,19.72,20.35,18.9903,19.55,688894,19.18,2025-01-02,sample,1.0,0.998978027593255
2025-01-03,SMR,17.95,20.8,17.93,20.665,331,cache,570,17.95,20.99,17.93,20.85,10461208,17.71,2025-01-02,sample,1.0,1.008952334865715
2025-01-03,VRT,119.25,126.11,119.09,125.76,390,sip,570,119.25,126.11,119.09,125.67,7696664,118.3,2025-01-02,sample,1.0,0.9992843511450381
2025-01-03,WAFU,1.66,1.76,1.65,1.73,38,sip,570,1.66,1.76,1.65,1.69,23646,1.74,2025-01-02,sample,1.0,0.976878612716763
2025-01-03,RILYL,7.2189,7.7,7.18,7.35,17,cache,586,7.2189,7.7,7.18,7.35,9303,6.43,2025-01-02,sample,1.0,1.0
2025-01-03,IPWR,7.61,8.11,7.5,8.07,33,cache,570,7.61,8.34,7.5,8.075,40452,7.76,2025-01-02,sample,1.0,1.000619578686493
2025-01-03,LCID,3.02,3.31,2.99,3.2292,331,cache,570,3.02,3.365,2.99,3.29,107247299,3.03,2025-01-02,sample,1.0,1.0188281927412361
2025-01-03,DRUG,40.98,40.98,38.35,39.85,61,sip,570,40.98,40.98,38.35,39.85,49976,41.11,2025-01-02,sample,1.0,1.0
2025-01-03,EVH,11.49,11.89,11.25,11.87,337,sip,570,11.49,11.89,11.25,11.88,1348281,11.49,2025-01-02,sample,1.0,1.000842459983151
2025-01-03,CADL,8.99,9.29,8.77,9.21,335,cache,570,8.99,9.29,8.77,9.22,1979442,8.99,2025-01-02,sample,1.0,1.001085776330076
2025-01-03,JL,4.23,4.75,4.2,4.72,65,cache,571,4.23,4.75,4.2,4.5413,90270,4.15,2025-01-02,sample,1.0,0.9621398305084745
2025-01-03,SOUNW,12.09,13.38,11.24,11.68,178,cache,570,12.09,13.38,11.24,11.52,278953,11.99,2025-01-02,sample,1.0,0.9863013698630136
2025-01-03,ITRM,1.85,1.94,1.81,1.94,177,cache,570,1.85,1.94,1.81,1.9,480616,1.83,2025-01-02,sample,1.0,0.979381443298969
2025-01-03,LAZR,6.23,7.05,6.1155,6.65,387,sip,570,6.24,7.05,6.1155,6.66,4797781,6.14,2025-01-02,sample,1.001605136436597,1.0015037593984961
2025-01-03,BTOC,4.35,4.72,4.18,4.61,122,cache,570,4.35,4.72,4.18,4.57,212007,4.22,2025-01-02,sample,1.0,0.9913232104121475
2025-01-03,SBC,5.54,5.85,5.5,5.63,28,sip,570,5.54,5.85,5.5,5.62,17168,5.55,2025-01-02,sample,1.0,0.9982238010657194
2025-01-03,PLSE,18.07,19.78,18.07,19.62,116,cache,570,18.07,19.78,18.07,19.63,136204,17.79,2025-01-02,sample,1.0,1.0005096839959224
2025-01-03,NITO,2.2,3.49,2.0,2.6306,390,sip,570,2.2,3.49,2.0,2.64,358291646,1.07,2025-01-02,sample,1.0,1.0035733292784916
2025-01-03,VERI,3.26,3.53,3.02,3.52,293,cache,570,3.26,3.56,3.02,3.53,1452961,3.2,2025-01-02,sample,1.0,1.002840909090909
2025-01-03,UWMC,5.62,5.85,5.53,5.76,383,sip,570,5.62,5.85,5.53,5.77,4517567,5.64,2025-01-02,sample,1.0,1.0017361111111112
2025-01-03,RAYA,1.2093,1.39,1.2093,1.32,19,cache,592,1.2093,1.39,1.2093,1.32,24935,1.3,2025-01-02,sample,1.0,1.0
2025-01-03,SARK,41.24,41.24,37.62,37.68,255,sip,570,41.24,41.24,37.62,37.68,278189,41.86,2025-01-02,sample,1.0,1.0
2025-01-03,PNRG,205.63,211.59,200.1,209.33,16,sip,570,205.63,211.59,200.1,211.5,8453,205.9,2025-01-02,sample,1.0,1.0103664071083933
2025-01-03,NINE,1.4,1.59,1.23,1.395,375,cache,570,1.4,1.59,1.23,1.43,7689767,1.23,2025-01-02,sample,1.0,1.025089605734767
2025-01-03,EQS,1.1,1.21,1.1,1.17,5,sip,570,1.1,1.21,1.1,1.17,7533,1.17,2025-01-02,sample,1.0,1.0
2025-01-03,LXEH,5.51,5.89,5.5,5.7,15,cache,570,5.51,5.89,5.5,5.7,12485,5.94,2025-01-02,sample,1.0,1.0
2025-01-03,INTT,8.9,9.43,8.9,9.38,86,sip,570,8.9,9.43,8.9,9.4,61909,8.88,2025-01-02,sample,1.0,1.0021321961620469
2025-01-03,ARQQ,39.0,45.45,36.9,38.1,308,cache,570,39.0,45.45,36.9,39.66,1225084,38.02,2025-01-02,sample,1.0,1.0409448818897638
2025-01-03,IMTX,7.49,7.54,7.0,7.16,273,sip,570,7.49,7.54,7.0,7.17,1323100,7.42,2025-01-02,sample,1.0,1.0013966480446927
2025-01-03,CNTX,1.3,1.3,1.18,1.23,118,cache,570,1.3,1.3,1.18,1.25,167817,1.19,2025-01-02,sample,1.0,1.016260162601626
2025-01-03,CXAI,2.02,2.3036,2.0,2.25,331,cache,570,2.02,2.3036,2.0,2.25,2156238,2.0,2025-01-02,sample,1.0,1.0
2025-01-03,ASPN,12.33,13.1,12.23,13.01,379,sip,570,12.33,13.1,12.23,13.02,1582671,12.17,2025-01-02,sample,1.0,1.0007686395080706
2025-01-03,PMVP,1.53,1.6206,1.53,1.55,149,sip,570,1.53,1.6206,1.53,1.55,161775,1.53,2025-01-02,sample,1.0,1.0
2025-01-03,JOUT,32.82,34.29,32.24,34.24,70,sip,570,32.82,34.29,32.24,34.25,67230,32.82,2025-01-02,sample,1.0,1.0002920560747663
2025-01-03,DCBO,45.08,45.13,42.04,44.24,111,sip,570,45.08,45.13,42.04,44.08,70045,45.29,2025-01-02,sample,1.0,0.996383363471971
2025-01-03,RNAZ,3.55,3.765,3.41,3.63,59,cache,570,3.55,3.765,3.41,3.64,58481,3.53,2025-01-02,sample,1.0,1.0027548209366393
2025-01-03,UK,1.296,1.3,1.17,1.24,116,cache,571,1.296,1.3,1.17,1.24,265761,1.27,2025-01-02,sample,1.0,1.0
2025-01-03,NCPL,2.0501,2.16,2.0501,2.14,83,cache,579,2.0501,2.16,2.0501,2.11,118006,2.05,2025-01-02,sample,1.0,0.9859813084112148
2025-01-03,LNZA,1.65,1.88,1.5733,1.7,313,cache,570,1.65,1.88,1.5733,1.68,2310226,1.6,2025-01-02,sample,1.0,0.9882352941176471
2025-01-06,SOUNW,11.12,12.45,10.52,10.84,185,cache,570,11.12,12.45,10.52,10.85,292712,11.52,2025-01-03,book,1.0,1.0009225092250922
2025-01-06,SPCB,8.91,9.4399,7.56,8.51,256,cache,570,8.91,9.4399,7.56,8.5,1147708,9.0,2025-01-03,book,1.0,0.9988249118683902
2025-01-06,STFS,9.0,9.77,8.8,9.1133,185,cache,570,9.0,9.77,8.8,9.1,1742982,9.15,2025-01-03,book,1.0,0.9985405945157078
2025-01-06,CTNM,14.4,15.25,14.15,14.17,81,sip,570,14.4,15.25,14.15,14.22,60594,14.52,2025-01-03,book,1.0,1.0035285815102328
2025-01-06,ESEA,36.23,36.635,34.19,35.31,111,sip,570,36.23,36.635,34.19,35.19,94142,35.98,2025-01-03,sample,1.0,0.9966015293118096
2025-01-06,CRSP,41.25,44.28,41.21,42.44,388,sip,570,41.25,44.28,41.21,42.43,2430324,41.02,2025-01-03,sample,1.0,0.9997643732327993
2025-01-06,NVAWW,10.0,11.4,9.0,10.98,24,cache,573,10.0,11.4,9.0,10.98,31765,9.7,2025-01-03,sample,1.0,1.0
2025-01-06,AIRS,5.76,6.26,5.76,5.97,212,sip,570,5.76,6.26,5.76,5.98,341717,5.85,2025-01-03,sample,1.0,1.001675041876047
2025-01-06,NUVB,2.95,3.02,2.81,2.83,346,cache,570,2.95,3.02,2.81,2.84,2803876,2.89,2025-01-03,sample,1.0,1.0035335689045937
2025-01-06,OLPX,1.67,1.795,1.66,1.665,383,cache,570,1.67,1.795,1.66,1.66,2731630,1.63,2025-01-03,sample,1.0,0.996996996996997
2025-01-06,PPSI,4.16,4.43,4.1201,4.37,151,sip,570,4.16,4.43,4.1201,4.34,121469,4.17,2025-01-03,sample,1.0,0.9931350114416475
2025-01-06,YMAB,8.22,8.34,7.8,7.84,153,sip,570,8.22,8.34,7.8,7.81,237931,8.17,2025-01-03,sample,1.0,0.9961734693877551
2025-01-06,USEG,1.7,1.93,1.6998,1.92,153,cache,570,1.7,1.93,1.6998,1.93,248253,1.65,2025-01-03,sample,1.0,1.0052083333333333
2025-01-06,HIT,5.44,5.65,5.12,5.2,96,cache,570,5.44,5.65,5.12,5.12,621814,5.34,2025-01-03,sample,1.0,0.9846153846153846
2025-01-06,FPAY,2.04,2.3,1.9,2.15,363,sip,570,2.04,2.3,1.9,2.15,2446852,1.63,2025-01-03,sample,1.0,1.0
2025-01-06,STAI,2.45,2.9,2.23,2.23,261,sip,570,2.45,2.9,2.23,2.23,1603221,,,sample,1.0,1.0
2025-01-06,ARKR,15.12,16.56,15.12,16.21,24,cache,570,15.12,16.56,15.12,16.21,26476,14.733,2025-01-03,sample,1.0,1.0
2025-01-06,IPXX,13.5,13.5,12.5,12.8599,14,sip,570,13.5,13.5,12.5,12.8599,4483,12.35,2025-01-03,sample,1.0,1.0
2025-01-06,SEZL,281.45,283.4,265.19,276.47,121,sip,570,281.45,283.4,265.19,276.05,108831,278.69,2025-01-03,sample,1.0,0.9984808478315911
2025-01-06,IE,7.95,8.188,7.22,7.2665,252,cache,570,7.95,8.188,7.19,7.3,746013,7.99,2025-01-03,sample,1.0,1.0046101974815935
2025-01-06,ONEW,17.16,18.18,16.79,16.8382,94,cache,570,17.16,18.18,16.425,16.64,168085,17.045,2025-01-03,sample,1.0,0.9882291456331437
2025-01-06,NUS,7.54,7.69,7.06,7.08,290,cache,570,7.54,7.69,6.94,6.96,1338508,7.53,2025-01-03,sample,1.0,0.983050847457627
2025-01-06,PGNY,17.8,18.12,17.2,17.43,354,sip,570,17.8,18.12,17.2,17.43,1857362,17.6,2025-01-03,sample,1.0,1.0
2025-01-06,DPST,112.27,118.26,110.21,111.3587,345,sip,570,112.27,118.26,110.21,111.34,771816,110.54,2025-01-03,sample,1.0,0.9998320741890845
2025-01-06,PLSE,20.0,20.24,19.0,19.17,103,sip,570,20.0,20.24,19.0,19.15,143710,19.63,2025-01-03,sample,1.0,0.9989567031820551
2025-01-06,CHRS,1.65,1.7699,1.6127,1.62,347,sip,570,1.65,1.7699,1.6127,1.62,2977866,1.66,2025-01-03,sample,1.0,1.0
2025-01-06,CHPT,1.18,1.2356,1.16,1.19,390,cache,570,1.18,1.2356,1.16,1.2,27649637,1.16,2025-01-03,sample,1.0,1.0084033613445378
2025-01-06,TOMZ,1.01,1.06,0.92,1.035,111,cache,570,1.01,1.06,0.92,1.03,258432,1.01,2025-01-03,sample,1.0,0.995169082125604
2025-01-06,SLN,7.54,7.87,7.34,7.435,194,cache,570,7.54,7.87,7.34,7.41,196325,7.39,2025-01-03,sample,1.0,0.996637525218561
2025-01-06,ALBT,3.77,3.97,3.7201,3.91,55,sip,570,3.77,3.97,3.7201,3.91,45917,3.66,2025-01-03,sample,1.0,1.0
2025-01-06,PAVS,1.25,1.315,1.25,1.29,8,sip,570,1.25,1.315,1.25,1.29,6719,1.2801,2025-01-03,sample,1.0,1.0
2025-01-06,MNPR,23.73,24.0,22.5,23.31,61,cache,570,23.73,24.0,22.5,23.6,58845,22.98,2025-01-03,sample,1.0,1.0124410124410126
2025-01-06,ATGL,15.1,15.85,14.561,15.44,11,sip,570,15.1,15.85,14.561,15.44,22499,15.5301,2025-01-03,sample,1.0,1.0
2025-01-06,AQMS,2.79,2.87,2.6,2.675,110,cache,570,2.79,2.87,2.6,2.74,142351,2.79,2025-01-03,sample,1.0,1.0242990654205608
2025-01-06,RUN,10.94,11.4486,10.73,10.97,390,sip,570,10.95,11.4486,10.73,10.97,8360972,10.71,2025-01-03,sample,1.0009140767824498,1.0
2025-01-06,AEI,1.21,1.27,1.1,1.105,215,cache,570,1.21,1.27,1.1,1.1,732325,1.18,2025-01-03,sample,1.0,0.9954751131221721
2025-01-06,KALV,9.05,9.1,8.62,8.68,149,sip,570,9.05,9.1,8.62,8.68,182208,9.03,2025-01-03,sample,1.0,1.0
2025-01-06,MHH,14.63,15.44,14.4323,15.41,62,sip,570,14.63,15.44,14.4323,15.41,38150,14.86,2025-01-03,sample,1.0,1.0
2025-01-06,METC,10.39,10.47,9.675,9.71,342,sip,570,10.39,10.47,9.675,9.7,853103,10.36,2025-01-03,sample,1.0,0.9989701338825951
2025-01-06,RVYL,1.55,1.72,1.46,1.72,92,cache,570,1.55,1.75,1.46,1.73,175717,1.48,2025-01-03,sample,1.0,1.005813953488372
2025-01-06,DAVE,90.53,94.0432,89.32,91.06,237,sip,570,90.53,94.0432,89.32,91.23,275445,89.87,2025-01-03,sample,1.0,1.0018669009444323
2025-01-06,OSS,3.78,3.8,3.48,3.52,128,cache,570,3.78,3.8,3.48,3.52,146615,3.78,2025-01-03,sample,1.0,1.0
2025-01-06,APGE,47.63,50.1,47.525,48.18,237,sip,570,47.63,50.1,47.525,48.29,395983,47.77,2025-01-03,sample,1.0,1.0022831050228311
2025-01-06,NVCT,5.77,6.1,5.57,6.08,124,cache,570,5.77,6.75,5.57,6.61,251286,5.58,2025-01-03,sample,1.0,1.087171052631579
2025-01-06,GANX,2.53,2.53,2.2764,2.45,88,cache,570,2.53,2.53,2.2764,2.44,183339,2.43,2025-01-03,sample,1.0,0.9959183673469387
2025-01-06,CBLL,24.05,24.345,22.24,22.54,204,sip,570,24.05,24.345,22.24,22.55,389488,24.29,2025-01-03,sample,1.0,1.0004436557231589
2025-01-06,LTBR,6.94,7.11,6.12,6.2,308,cache,570,6.95,7.11,6.12,6.37,1942312,6.595,2025-01-03,sample,1.0014409221902016,1.0274193548387096
2025-01-06,AMDL,8.71,8.925,8.495,8.84,361,cache,570,8.705,8.925,8.495,8.78,16657293,8.24,2025-01-03,sample,0.9994259471871412,0.9932126696832578
2025-01-06,ESLA,1.25,1.25,1.1501,1.1501,11,cache,579,1.25,1.25,1.1501,1.1501,15613,1.24,2025-01-03,sample,1.0,1.0
2025-01-06,MLGO,2.93,2.98,2.54,2.64,380,cache,570,2.93,2.98,2.54,2.65,4147701,2.95,2025-01-03,sample,1.0,1.0037878787878787
2025-01-06,KNDI,1.05,1.1389,1.05,1.13,124,sip,570,1.05,1.1389,1.05,1.12,246742,1.05,2025-01-03,sample,1.0,0.9911504424778763
2025-01-06,SERA,7.99,8.34,7.66,7.71,107,sip,570,7.99,8.34,7.66,7.7,140375,8.02,2025-01-03,sample,1.0,0.9987029831387808
2025-01-06,CCCC,4.01,4.26,3.9,4.09,312,cache,570,4.01,4.26,3.9,4.09,2187676,3.92,2025-01-03,sample,1.0,1.0
2025-01-06,DK,18.67,19.14,18.15,18.29,323,sip,570,18.67,19.14,18.15,18.3,1089703,18.62,2025-01-03,sample,1.0,1.0005467468562057
2025-01-06,STBX,1.63,1.78,1.52,1.652,262,sip,570,1.63,1.78,1.52,1.652,661364,1.652,2025-01-03,sample,1.0,1.0
2025-01-06,CRWL,26.48,27.22,25.59,27.07,104,sip,570,26.48,27.22,25.59,27.05,98978,25.95,2025-01-03,sample,1.0,0.9992611747321759
2025-01-06,CRDO,75.29,78.8,75.02,76.69,389,sip,570,75.415,78.8,75.02,76.64,5725787,72.39,2025-01-03,sample,1.0016602470447602,0.9993480245142783
2025-01-06,SPHL,6.4,6.74,6.0005,6.212,131,cache,570,6.4,6.74,6.0005,6.4,428999,6.03,2025-01-03,sample,1.0,1.03026400515132
2025-01-06,MEG,19.21,20.6,19.13,20.365,287,sip,570,19.21,20.6,19.13,20.35,671819,19.2,2025-01-03,sample,1.0,0.9992634421802113
2025-01-06,CDNA,22.28,23.37,22.0049,23.34,274,sip,570,22.28,23.37,22.0049,23.34,556140,22.33,2025-01-03,sample,1.0,1.0
