day,symbol,em,net,why,split,i,entry,stop,r_pct,hmax_before,hmax_incl,ei_l,ei_o,ei_h,nxt_o,crossed_before,fill_below_bar_low,target_already_exceeded,target_exceeded_before
2025-02-05,INKT,571,2.0,target,TRAIN,1,12.06609,11.886599997380431,1.4875573,12.4,12.5,12.25,12.25,12.5,12.0,1,1,1,0
2025-02-05,TKR,571,1.1575635860098763,eod,TRAIN,1,79.14673,77.0000000005834,2.712342,80.84,81.95,80.63,80.63,81.95,81.97,1,1,0,0
2025-02-05,CORZW,572,2.0,target,TRAIN,1,6.87055,6.8000000046648,1.0268464,6.8,7.19,7.14,7.14,7.19,7.19,0,1,1,0
2025-02-06,ACB,571,2.0,target,TRAIN,1,5.38611,5.2599999974877,2.341393,5.39,5.62,5.35,5.35,5.62,5.564,1,0,0,0
2025-02-06,CPAY,571,-0.0670375296041426,eod,TRAIN,1,389.836,371.999990595908,4.5752597,382.275,392.91,381.09,382.125,392.91,393.055,0,0,0,0
2025-02-06,HBNC,571,0.4068935678384233,eod,TRAIN,1,17.24157,16.469999983771377,4.4750566,17.33,17.33,17.21,17.3,17.3,17.23,1,0,0,0
2025-02-06,OSBC,571,0.176593811173507,eod,TRAIN,1,19.21748,18.2599999991428,4.982339,19.33,19.37,19.225,19.34,19.37,19.225,1,1,0,0
2025-02-07,CRNC,571,2.0,target,TRAIN,1,12.77822,12.239999967995798,4.212011,12.92,13.29,12.83,12.88,13.29,13.2,1,1,0,0
2025-02-07,GHRS,571,-1.118377442242422,stop,TRAIN,1,13.55053,13.210000004797541,2.5130382,13.62,13.8885,13.8885,13.8885,13.8885,13.5,1,1,0,0
2025-02-07,ACB,572,-1.0599109876721575,stop,TRAIN,2,6.26875,5.96000000169375,4.9252243,6.25,6.35,6.202,6.22,6.35,6.34,0,0,0,0
2025-02-07,TKNO,572,-1.1703085741053392,stop,TRAIN,2,9.24766,9.0722999988159,1.8962635,9.425,9.56,9.3196,9.56,9.56,9.54,1,1,0,0
