Index,day,symbol,entry_m,exit_m,entry,stop,target,r_pct,rr,why,level,dist_open_pct,rv_profile,adv20,is_wrapper,price,split,wk
255,2025-01-16,DOGZ,581,603,45.29,43.9,48.07,3.069110178847429,2.0,target,45.4,6.672932330827064,2.6903477584714475,408962.0,0,45.29,TRAIN,2025-01-11/2025-01-17
245,2025-01-16,ATYR,586,604,3.71,3.62,3.89,2.4258760107816677,-1.0402222222222244,stop,3.69,5.428571428571427,2.1310012790905057,1008943.0,0,3.71,TRAIN,2025-01-11/2025-01-17
260,2025-01-16,FRSX,586,593,1.5523,1.5301,1.5967,1.4301359273336338,2.0,target,1.56,7.586206896551739,2.433448599668781,432050.4444444445,0,1.5523,TRAIN,2025-01-11/2025-01-17
248,2025-01-16,CABA,588,598,2.34,2.27,2.4799999999999995,2.991452991452985,-1.0324285714285746,stop,2.35,5.8558558558558405,3.075102570250886,1508516.5555555555,0,2.34,TRAIN,2025-01-11/2025-01-17
239,2025-01-16,AISP,593,641,5.4729,5.325,5.7687,2.702406402455735,-1.036004056795132,stop,5.51,5.3537284894837445,2.0561698345836783,2745672.333333333,0,5.4729,TRAIN,2025-01-11/2025-01-17
342,2025-01-17,SIDU,578,955,2.628,2.52,2.8440000000000003,4.1095890410958935,-0.526851851851853,eod,2.625,5.000000000000004,3.069299285122752,3882400.8,0,2.628,TRAIN,2025-01-11/2025-01-17
304,2025-01-17,AGL,580,590,3.1311,3.02,3.3533,3.548273769601737,-1.0271827182718254,stop,3.13,5.743243243243246,2.026193037955918,5160317.8,0,3.1311,TRAIN,2025-01-11/2025-01-17
319,2025-01-17,ILLR,581,590,2.47,2.42,2.5700000000000007,2.024291497975719,-1.366081999999997,stop,2.49,5.508474576271194,1.8656792460018945,1128597.0,0,2.47,TRAIN,2025-01-11/2025-01-17
353,2025-01-17,WIMI,582,585,1.2201,1.18,1.3003,3.286615851159743,-1.0294264339152108,stop,1.22,6.08695652173914,3.2815129123741134,9891306.5,0,1.2201,TRAIN,2025-01-11/2025-01-17
321,2025-01-17,LPTH,586,626,3.3,3.24,3.419999999999999,1.8181818181818064,-1.053999999999999,stop,3.2845,5.27243589743589,1.431374845775969,605286.7,0,3.3,TRAIN,2025-01-11/2025-01-17
326,2025-01-17,MSOX,590,956,7.68,7.4438,8.152399999999998,3.075520833333324,1.1994072819644428,eod,7.71,5.327868852459017,3.035575166518547,257469.7,1,7.68,TRAIN,2025-01-11/2025-01-17
352,2025-01-17,TSSI,590,701,12.82,12.57,13.32,1.9500780031201248,-1.0502800000000008,stop,12.88,5.660377358490587,4.476441395790118,1000742.4,0,12.82,TRAIN,2025-01-11/2025-01-17
332,2025-01-17,NMG,627,699,2.31,2.2701,2.3898000000000006,1.7272727272727388,-1.0568947368421062,stop,2.3034,5.660550458715585,1.7796840049171865,188206.7,0,2.31,TRAIN,2025-01-11/2025-01-17
429,2025-01-21,TSLQ,578,932,23.77,22.8643,25.5814,3.810265039966342,-1.0252448934525764,stop,23.63,7.751937984496116,3.6866362186985127,10014779.818181818,1,23.77,TRAIN,2025-01-18/2025-01-24
422,2025-01-21,SMMT,579,687,20.48,19.855,21.73,3.0517578125,2.0,target,20.48,6.3896103896103895,4.373686067175486,2424236.636363636,0,20.48,TRAIN,2025-01-18/2025-01-24
364,2025-01-21,ATOM,580,607,9.46,9.125,10.130000000000004,3.541226215644829,-1.0272388059701467,stop,9.41,7.665903890160175,2.0651307611424707,1381776.9090909092,0,9.46,TRAIN,2025-01-18/2025-01-24
386,2025-01-21,IONQ,581,610,41.72,40.33,44.5,3.3317353787152464,-1.029014388489207,stop,41.855,6.800204133707566,2.8410298767082245,49822249.72727273,0,41.72,TRAIN,2025-01-18/2025-01-24
413,2025-01-21,RAIL,617,812,12.5423,12.33,12.966899999999995,1.6926719979588996,-1.1663071125765412,stop,12.5,5.57432432432432,3.776256634049138,198680.36363636365,0,12.5423,TRAIN,2025-01-18/2025-01-24
393,2025-01-21,LOOP,618,652,1.07,1.05,1.11,1.8691588785046744,-1.0524999999999998,stop,1.08,5.882352941176472,3.638871708567347,125775.36363636365,0,1.07,TRAIN,2025-01-18/2025-01-24
373,2025-01-21,CDZI,658,662,5.55,5.49,5.669999999999999,1.081081081081074,-1.2563349999999982,stop,5.56,5.303030303030298,2.099470816444218,832907.4545454546,0,5.55,TRAIN,2025-01-18/2025-01-24
376,2025-01-21,CNTA,666,733,16.09,15.91,16.45,1.1187072715972637,-1.0883888888888884,stop,16.12,5.428384565075217,1.4793600957479702,533821.1818181818,0,16.09,TRAIN,2025-01-18/2025-01-24
441,2025-01-22,APPS,578,650,2.2782,2.22,2.3946,2.55464840663681,-1.0381443298969055,stop,2.28,5.555555555555536,3.992955469809878,3012029.583333333,0,2.2782,TRAIN,2025-01-18/2025-01-24
452,2025-01-22,CRNC,578,579,15.6601,15.2503,16.4797,2.6168415271933165,-1.037214006832601,stop,15.8,8.81542699724518,3.225901227192101,25022325.33333333,0,15.6601,TRAIN,2025-01-18/2025-01-24
487,2025-01-22,PTLE,580,584,2.45,2.4001,2.5498000000000003,2.036734693877553,2.0,target,2.46,7.8947368421052655,1.036835350435295,2191090.4166666665,0,2.45,TRAIN,2025-01-18/2025-01-24
445,2025-01-22,ATOM,586,643,10.648,10.3,11.343999999999998,3.268219383921854,-1.029597701149428,stop,10.59,5.794205794205798,2.3443891769851164,1342788.8333333333,0,10.648,TRAIN,2025-01-18/2025-01-24
470,2025-01-22,LOOP,586,643,1.155,1.13,1.2050000000000003,2.164502164502176,-1.0452000000000028,stop,1.15,6.481481481481466,4.196338352739328,130557.33333333331,0,1.155,TRAIN,2025-01-18/2025-01-24
485,2025-01-22,PRLD,586,595,1.3,1.28,1.34,1.5384615384615397,-1.4586050000000004,stop,1.3,6.557377049180335,2.972095733544973,316050.8333333333,0,1.3,TRAIN,2025-01-18/2025-01-24
454,2025-01-22,CRSR,595,605,9.29,9.15,9.569999999999997,1.5069967707211929,-1.0653571428571431,stop,9.24,5.359179019384275,4.007119468877575,733806.6666666666,0,9.29,TRAIN,2025-01-18/2025-01-24
477,2025-01-22,MRNY,605,650,4.58,4.47,4.800000000000001,2.401746724890837,-1.0406363636363674,stop,4.59,5.517241379310356,2.5524766302512933,1002361.8333333334,1,4.58,TRAIN,2025-01-18/2025-01-24
541,2025-01-23,ONDS,578,580,2.29,2.22,2.43,3.056768558951958,-1.0317142857142845,stop,2.29,5.5299539170506895,1.6639693946189196,10494363.692307692,0,2.29,TRAIN,2025-01-18/2025-01-24
549,2025-01-23,REKR,578,614,2.145,2.0607,2.3136,3.9300699300699216,-1.0244448398576502,stop,2.14,5.418719211822687,3.8404847472442265,12491001.307692308,0,2.145,TRAIN,2025-01-18/2025-01-24
505,2025-01-23,BITU,579,608,60.75,59.39,63.47,2.238683127572016,-1.0436691176470592,stop,60.95,5.049982764563943,4.436545694994375,2470379.153846154,1,60.75,TRAIN,2025-01-18/2025-01-24
506,2025-01-23,BITX,579,608,63.45,61.94,66.47000000000001,2.379826635145792,-1.041019867549669,stop,63.583,5.09586776859503,3.8443772252650943,8951072.692307692,1,63.45,TRAIN,2025-01-18/2025-01-24
503,2025-01-23,ATRA,581,591,7.178,6.96,7.614,3.037057676232933,-1.0319266055045886,stop,7.1761,5.530882352941169,3.247344841868471,506090.3846153846,0,7.178,TRAIN,2025-01-18/2025-01-24
569,2025-01-23,WKEY,593,595,8.9966,8.7501,9.489600000000005,2.7399239712780497,-1.0354973630831654,stop,9.06,7.345971563981046,1.0325620558686948,1836247.2307692308,0,8.9966,TRAIN,2025-01-18/2025-01-24
556,2025-01-23,SPHL,595,631,2.62,2.56,2.74,2.2900763358778646,2.0,target,2.63,17.410714285714278,1.0874716819094123,408538.9230769231,0,2.62,TRAIN,2025-01-18/2025-01-24
527,2025-01-23,ILLR,609,771,1.85,1.8,1.95,2.702702702702705,2.0,target,1.87,5.0561797752809,1.910643980840121,1218788.076923077,0,1.85,TRAIN,2025-01-18/2025-01-24
632,2025-01-24,RGTIW,577,582,6.15,5.97,6.510000000000002,2.9268292682926926,-1.0331666666666643,stop,6.14,8.289241622574961,3.364053505763993,2013032.7857142857,0,6.15,TRAIN,2025-01-18/2025-01-24
630,2025-01-24,QUBT,580,581,11.9,11.55,12.6,2.941176470588232,-1.0329999999999993,stop,11.95,6.601248884924171,3.288041052306468,47880880.28571428,0,11.9,TRAIN,2025-01-18/2025-01-24
643,2025-01-24,SIDU,582,694,2.899,2.84,3.0170000000000003,2.0351845463953144,-1.048135593220338,stop,2.92,5.035971223021596,3.727704121457129,4055606.214285714,0,2.899,TRAIN,2025-01-18/2025-01-24
583,2025-01-24,CATX,586,592,3.92,3.8,4.16,3.061224489795921,-1.031666666666667,stop,3.9,7.14285714285714,2.441565343553756,1132510.357142857,0,3.92,TRAIN,2025-01-18/2025-01-24
624,2025-01-24,PDYN,586,590,9.78,9.6135,10.112999999999998,1.7024539877300533,2.0,target,9.8849,6.863783783783783,2.0455621354300937,8517252.214285715,0,9.78,TRAIN,2025-01-18/2025-01-24
614,2025-01-24,NRDY,587,588,1.85,1.815,1.9200000000000004,1.8918918918919,-1.0518571428571395,stop,1.85,5.113636363636376,2.142088281422313,1432723.2142857143,0,1.85,TRAIN,2025-01-18/2025-01-24
609,2025-01-24,MVST,593,955,2.15,2.08,2.29,3.255813953488365,0.4285714285714331,eod,2.16,8.000000000000007,3.484149525033747,14993396.5,0,2.15,TRAIN,2025-01-18/2025-01-24
592,2025-01-24,GRAL,594,650,27.61,26.85,29.129999999999995,2.752625860195574,2.0,target,27.58,5.307369224894987,4.655889330228699,943266.6428571428,0,27.61,TRAIN,2025-01-18/2025-01-24
670,2025-01-27,CMPX,578,609,2.68,2.62,2.8000000000000003,2.238805970149256,2.0,target,2.69,5.490196078431375,1.66644119327448,3117391.7333333334,0,2.68,TRAIN,2025-01-25/2025-01-31
656,2025-01-27,ALEC,581,649,1.8603,1.8193,1.9423000000000004,2.2039456001720232,-1.0882317073170742,stop,1.87,5.0561797752809,1.1868374035023284,735484.0666666667,0,1.8603,TRAIN,2025-01-25/2025-01-31
686,2025-01-27,KYTX,581,619,3.95,3.8,4.250000000000001,3.797468354430389,-1.0253333333333334,stop,3.9292,8.842105263157896,4.416103116395941,457269.6666666667,0,3.95,TRAIN,2025-01-25/2025-01-31
725,2025-01-27,STFS,581,608,1.53,1.49,1.61,2.6143790849673225,-1.0372499999999998,stop,1.5305,6.284722222222228,1.0555742148277223,3507143.2666666666,0,1.53,TRAIN,2025-01-25/2025-01-31
719,2025-01-27,SES,609,611,1.21,1.19,1.25,1.6528925619834725,-1.0595000000000012,stop,1.23,7.9610287018344605,1.9635430928041384,48253661.8,0,1.21,TRAIN,2025-01-25/2025-01-31
724,2025-01-27,SPWH,609,611,2.37,2.33,2.45,1.6877637130801704,-1.058250000000004,stop,2.36,5.829596412556048,1.1411289574309695,346473.6666666667,0,2.37,TRAIN,2025-01-25/2025-01-31
706,2025-01-27,PRFX,612,675,3.25,3.1401,3.4698,3.381538461538465,-1.0285723384895358,stop,3.27,10.472972972972984,1.0726237775325187,1360235.2,0,3.25,TRAIN,2025-01-25/2025-01-31
658,2025-01-27,ALLR,614,626,1.49,1.46,1.55,2.0134228187919483,2.0,target,1.5,7.913669064748219,2.140252235665793,3637383.2,0,1.49,TRAIN,2025-01-25/2025-01-31
760,2025-01-28,NVDQ,578,606,3.77,3.6512,4.0076,3.151193633952261,-1.0307340067340085,stop,3.7698,5.596638655462183,2.771149688768293,54621282.5,1,3.77,TRAIN,2025-01-25/2025-01-31
777,2025-01-28,WCT,580,614,2.0498,2.0095,2.1303999999999994,1.9660454678505117,-1.0498635235732068,stop,2.05,8.465608465608465,4.659621092464699,1574859.8125,0,2.0498,TRAIN,2025-01-25/2025-01-31
737,2025-01-28,AKRO,584,587,56.78,55.56,59.22,2.1486438886932,-1.0455409836065572,stop,56.82,5.222222222222217,1.6144769191625072,1885781.0625,0,56.78,TRAIN,2025-01-25/2025-01-31
759,2025-01-28,NVDD,584,592,7.17,7.0218,7.4664,2.066945606694562,-1.0473805668016225,stop,7.165,5.058651026392957,3.688543135909698,10165382.0,1,7.17,TRAIN,2025-01-25/2025-01-31
750,2025-01-28,JL,587,591,5.095,4.91,5.464999999999999,3.6310107948969503,2.0,target,5.09,17.55196304849884,3.925639440204567,133241.6875,0,5.095,TRAIN,2025-01-25/2025-01-31
763,2025-01-28,OPFI,591,955,13.5352,13.09,14.4256,3.28920148944973,0.7295597484276727,eod,13.48,5.39483971853012,3.598026307680408,2536330.625,0,13.5352,TRAIN,2025-01-25/2025-01-31
773,2025-01-28,SKYE,600,956,2.7,2.62,2.8600000000000003,2.962962962962965,-0.6250000000000028,eod,2.718,5.348837209302326,1.5396390466560046,109320.25,0,2.7,TRAIN,2025-01-25/2025-01-31
748,2025-01-28,GRRR,607,892,13.5456,13.17,14.2968,2.772856130403972,2.0,target,13.64,6.812842599843383,1.063085652004329,3654339.875,0,13.5456,TRAIN,2025-01-25/2025-01-31
790,2025-01-29,CMPX,577,646,3.4,3.275,3.65,3.6764705882352944,-1.0261999999999991,stop,3.39,5.937499999999996,2.211608690665784,3083072.529411765,0,3.4,TRAIN,2025-01-25/2025-01-31
795,2025-01-29,GLE,580,959,1.7008,1.64,1.8224000000000005,3.574788334901234,-0.6710526315789481,eod,1.7,5.590062111801242,2.25453876140542,165865.41176470587,0,1.7008,TRAIN,2025-01-25/2025-01-31
800,2025-01-29,MTAL,583,955,10.81,10.51,11.410000000000002,2.775208140610552,0.6999999999999953,eod,10.75,5.703048180924286,4.181964765332887,209112.23529411765,0,10.81,TRAIN,2025-01-25/2025-01-31
810,2025-01-29,RGTI,583,588,13.4192,13.085,14.087599999999998,2.490461428401091,-1.0391532016756442,stop,13.5,5.304212168486733,3.1234077617439158,199208219.82352945,0,13.4192,TRAIN,2025-01-25/2025-01-31
796,2025-01-29,ILLR,590,622,1.91,1.88,1.97,1.5706806282722523,2.0,target,1.93,5.464480874316924,1.602596117537095,1062968.8823529412,0,1.91,TRAIN,2025-01-25/2025-01-31
792,2025-01-29,DNA,622,628,12.89,12.7,13.270000000000003,1.4740108611326708,-1.0668421052631607,stop,12.9,5.134474327628369,1.186492671480746,1383198.294117647,0,12.89,TRAIN,2025-01-25/2025-01-31
782,2025-01-29,API,637,659,5.6024,5.49,5.8272,2.0062830215621883,2.0,target,5.6,5.065666041275785,2.5406342834616016,777836.0,0,5.6024,TRAIN,2025-01-25/2025-01-31
794,2025-01-29,FTCI,647,686,4.19,4.1,4.370000000000002,2.147971360381879,-1.0455555555555576,stop,4.23,6.281407035175901,1.0359025396441486,107964.23529411764,0,4.19,TRAIN,2025-01-25/2025-01-31
859,2025-01-30,KEX,578,646,110.66,109.05,113.88,1.4549069221037407,2.0,target,111.5,5.089538171536301,4.527908541282021,689457.3888888889,0,110.66,TRAIN,2025-01-25/2025-01-31
877,2025-01-30,POWW,579,608,1.6589,1.6199,1.7369000000000003,2.3509554524082312,-1.0415358974358946,stop,1.65,5.095541401273884,2.3625824451696045,1615922.4444444445,0,1.6589,TRAIN,2025-01-25/2025-01-31
887,2025-01-30,TSDD,579,788,32.12,30.7208,34.91839999999999,4.356164383561635,-1.021955974842768,stop,31.9999,5.47099538562954,1.0414615759747017,9140039.555555556,1,32.12,TRAIN,2025-01-25/2025-01-31
827,2025-01-30,ASPI,580,627,5.78,5.6,6.1400000000000015,3.114186851211083,-1.0311111111111124,stop,5.79,5.081669691470059,3.9086499270757935,2272945.9444444445,0,5.78,TRAIN,2025-01-25/2025-01-31
890,2025-01-30,VST,611,737,167.72,165.13,172.9,1.5442404006677817,2.0,target,167.57,5.376682178342329,3.61110456726466,10163594.944444444,0,167.72,TRAIN,2025-01-25/2025-01-31
828,2025-01-30,BABX,627,653,22.03,21.7352,22.619600000000005,1.33817521561508,2.0,target,22.09,5.59273422562141,2.7904604359894134,555729.8888888889,1,22.03,TRAIN,2025-01-25/2025-01-31
822,2025-01-30,ALGM,647,673,23.705,23.41,24.294999999999995,1.2444631934191022,-1.0793559322033848,stop,23.64,6.726862302483072,4.476751317268653,2243845.5,0,23.705,TRAIN,2025-01-25/2025-01-31
873,2025-01-30,NVDS,653,714,27.6701,27.3703,28.269700000000004,1.0834800018792892,-1.4255170113408997,stop,27.74,5.035971223021574,1.989155316271441,2001346.6666666667,1,27.6701,TRAIN,2025-01-25/2025-01-31
971,2025-01-31,UMAC,577,725,12.64,12.31,13.3,2.6107594936708867,-1.0373030303030284,stop,12.75,5.371900826446274,3.900415381102956,1753633.7368421052,0,12.64,TRAIN,2025-01-25/2025-01-31
920,2025-01-31,IKT,578,608,2.02,1.95,2.16,3.4653465346534684,2.0,target,2.02,6.315789473684208,3.362315010191227,183207.1052631579,0,2.02,TRAIN,2025-01-25/2025-01-31
961,2025-01-31,SERV,578,867,17.38,16.91,18.32,2.7042577675489,-1.035978723404254,stop,17.55,7.142857142857162,4.385527885799531,12706748.52631579,0,17.38,TRAIN,2025-01-25/2025-01-31
955,2025-01-31,RCAT,579,590,9.28,9.055,9.73,2.4245689655172376,-1.0402444444444447,stop,9.38,6.228765571913941,3.1563056669629166,10476868.684210526,0,9.28,TRAIN,2025-01-25/2025-01-31
893,2025-01-31,ABAT,590,591,1.4825,1.45,1.5475,2.192242833052275,-1.0446153846153832,stop,1.4851,5.326241134751775,1.3495343264971411,5024754.315789473,0,1.4825,TRAIN,2025-01-25/2025-01-31
943,2025-01-31,OILD,592,684,15.94,15.56,16.699999999999996,2.383939774153068,-1.067236842105261,stop,15.93,5.636604774535803,1.1534585822741212,153808.52631578947,1,15.94,TRAIN,2025-01-25/2025-01-31
902,2025-01-31,BDTX,609,630,2.738,2.7034,2.8072000000000004,1.2636961285610002,2.0,target,2.735,5.598455598455598,2.016282177040683,1359744.6315789474,0,2.738,TRAIN,2025-01-25/2025-01-31
908,2025-01-31,BOOT,631,649,171.99,169.98,176.01000000000005,1.168672597244037,-1.0845671641791084,stop,171.46,9.03656597774245,4.308623455016468,834530.0,0,171.99,TRAIN,2025-01-25/2025-01-31
1083,2025-02-03,WULF,577,621,4.5358,4.42,4.7674,2.553022620044978,2.0,target,4.55,5.813953488372103,2.7565725794957228,47912596.6,0,4.5358,TRAIN,2025-02-01/2025-02-07
1039,2025-02-03,NNE,578,661,36.86,35.9,38.78,2.6044492674986457,2.0,target,36.9,6.187050359712232,4.318354850287309,7367655.3,0,36.86,TRAIN,2025-02-01/2025-02-07
1033,2025-02-03,MSTX,579,594,39.7781,38.4951,42.344100000000005,3.225392866929293,-1.0300039750584558,stop,39.8,6.731027085009389,3.3069241694820453,11620284.6,1,39.7781,TRAIN,2025-02-01/2025-02-07
1062,2025-02-03,RR,579,618,2.2669,2.19,2.4207000000000005,3.392297851691746,-1.0284785435630706,stop,2.2698,5.083333333333329,2.043045307893795,29443302.0,0,2.2669,TRAIN,2025-02-01/2025-02-07
977,2025-02-03,ALAB,594,671,93.565,91.55,97.595,2.153583070592637,2.0,target,93.82,5.392046731071676,4.3089486303083655,5019344.6,0,93.565,TRAIN,2025-02-01/2025-02-07
1075,2025-02-03,TSLQ,618,622,28.5499,28.26,29.1297,1.0154151152893685,-1.097481890307001,stop,28.5695,5.034926470588252,3.106573605350716,9177781.45,1,28.5499,TRAIN,2025-02-01/2025-02-07
997,2025-02-03,BTBT,622,857,3.0396,2.96,3.1988000000000003,2.618765627056196,2.0,target,3.0252,5.041666666666678,2.527364717261465,17606461.05,0,3.0396,TRAIN,2025-02-01/2025-02-07
1049,2025-02-03,PLUG,623,955,1.88,1.82,2.0,3.191489361702119,-0.3333333333333309,eod,1.88,5.027932960893855,1.486621412366935,79084985.6,0,1.88,TRAIN,2025-02-01/2025-02-07
1138,2025-02-04,RGTI,578,590,14.9997,14.61,15.779100000000003,2.5980519610392294,-1.0374903772132391,stop,14.97,6.207875133025897,4.0894370519555645,186781711.1,0,14.9997,TRAIN,2025-02-01/2025-02-07
1139,2025-02-04,RGTIW,578,603,6.1,5.8519,6.5962,4.067213114754098,-1.0235868601370404,stop,6.09,5.000000000000004,4.384415847586152,1567301.15,0,6.1,TRAIN,2025-02-01/2025-02-07
