key,exit,split,n,tpw,meanR,meanR_ex,WR,PF,wk_green,wk_green_frac,worst_wk,mdd_R,sumR
"F5 {""K"": 15, ""X"": 0.02}",rr_e4,TRAIN,17857,336.9,0.087,-0.261,38.8,1.15,34/53,0.6415094339622641,-169.1,-177.1,1547.0
"F5 {""K"": 15, ""X"": 0.04}",rr_e1,TRAIN,21103,398.2,0.083,0.083,44.9,1.17,39/53,0.7358490566037735,-120.4,-125.8,1761.6
"F5 {""K"": 15, ""X"": 0.04}",rr_e2,TRAIN,21103,398.2,0.087,0.069,44.9,1.17,39/53,0.7358490566037735,-112.0,-130.9,1829.2
"F5 {""K"": 15, ""X"": 0.04}",rr_e3,TRAIN,21103,398.2,0.095,-0.27,42.7,1.18,40/53,0.7547169811320755,-129.6,-149.9,2003.7
"F5 {""K"": 15, ""X"": 0.04}",rr_e4,TRAIN,21103,398.2,0.111,-0.175,41.5,1.21,37/53,0.6981132075471698,-143.7,-181.2,2336.2
"F5 {""K"": 5, ""X"": 0.02}",rr_e1,TRAIN,17324,326.9,0.093,0.093,41.7,1.14,37/53,0.6981132075471698,-35.6,-53.2,1615.7
"F5 {""K"": 5, ""X"": 0.02}",rr_e2,TRAIN,17324,326.9,0.119,0.001,41.6,1.18,37/53,0.6981132075471698,-31.0,-52.8,2067.4
"F5 {""K"": 5, ""X"": 0.02}",rr_e3,TRAIN,17324,326.9,0.125,-0.773,35.8,1.17,37/53,0.6981132075471698,-62.3,-99.9,2161.9
"F5 {""K"": 5, ""X"": 0.02}",rr_e4,TRAIN,17324,326.9,0.134,-0.616,28.9,1.17,33/53,0.6226415094339622,-75.1,-190.3,2316.8
"F5 {""K"": 5, ""X"": 0.04}",rr_e1,TRAIN,14766,278.6,0.108,0.108,42.4,1.18,39/53,0.7358490566037735,-47.8,-68.4,1588.3
"F5 {""K"": 5, ""X"": 0.04}",rr_e2,TRAIN,14766,278.6,0.125,0.038,42.4,1.21,41/53,0.7735849056603774,-46.4,-47.9,1848.1
"F5 {""K"": 5, ""X"": 0.04}",rr_e3,TRAIN,14766,278.6,0.136,-0.61,37.7,1.21,39/53,0.7358490566037735,-62.9,-67.7,2003.7
"F5 {""K"": 5, ""X"": 0.04}",rr_e4,TRAIN,14766,278.6,0.159,-0.459,32.8,1.23,39/53,0.7358490566037735,-112.1,-112.1,2354.1
F6 {},rr_e1,TRAIN,6209,117.2,0.013,0.013,43.9,1.04,33/53,0.6226415094339622,-58.4,-91.7,78.6
F6 {},rr_e2,TRAIN,6209,117.2,0.012,0.006,43.9,1.04,32/53,0.6037735849056604,-58.2,-94.4,76.6
F6 {},rr_e3,TRAIN,6209,117.2,0.017,-0.086,43.5,1.06,32/53,0.6037735849056604,-57.3,-94.9,105.6
F6 {},rr_e4,TRAIN,6209,117.2,0.005,-0.057,43.1,1.02,29/53,0.5471698113207547,-56.9,-118.7,30.5
F7 {},rr_e1,TRAIN,411,7.8,0.009,0.009,44.0,1.02,11/53,0.20754716981132076,-11.9,-19.2,3.5
F7 {},rr_e2,TRAIN,411,7.8,0.01,-0.038,43.1,1.02,10/53,0.18867924528301888,-12.6,-20.1,3.9
F7 {},rr_e3,TRAIN,411,7.8,0.014,-0.326,42.1,1.03,9/53,0.16981132075471697,-11.9,-21.6,5.6
F7 {},rr_e4,TRAIN,411,7.8,0.371,-0.222,40.9,1.71,9/53,0.16981132075471697,-14.7,-22.9,152.4
"F8 {""N"": 15}",rr_e1,TRAIN,23370,440.9,0.081,0.081,49.2,1.3,43/53,0.8113207547169812,-67.7,-67.7,1899.2
"F8 {""N"": 15}",rr_e2,TRAIN,23370,440.9,0.081,0.074,49.2,1.29,43/53,0.8113207547169812,-66.7,-66.7,1884.1
"F8 {""N"": 15}",rr_e3,TRAIN,23370,440.9,0.083,-0.014,48.8,1.3,43/53,0.8113207547169812,-63.3,-63.3,1951.0
"F8 {""N"": 15}",rr_e4,TRAIN,23370,440.9,0.08,0.016,48.5,1.28,41/53,0.7735849056603774,-79.1,-79.1,1858.4
"F8 {""N"": 30}",rr_e1,TRAIN,29664,559.7,0.071,0.071,50.5,1.34,42/53,0.7924528301886793,-76.7,-76.7,2112.9
"F8 {""N"": 30}",rr_e2,TRAIN,29664,559.7,0.071,0.067,50.5,1.34,44/53,0.8301886792452831,-71.1,-71.1,2105.1
"F8 {""N"": 30}",rr_e3,TRAIN,29664,559.7,0.072,0.025,50.3,1.34,43/53,0.8113207547169812,-66.2,-66.2,2146.7
"F8 {""N"": 30}",rr_e4,TRAIN,29664,559.7,0.073,0.041,50.2,1.34,42/53,0.7924528301886793,-80.8,-80.8,2153.2
