Index,day,symbol,entry_m,filled,exit_m,why,rr,r_pct,rv_profile,rv_clock,price,adv20,is_wrapper,dist_open_pct,split,wk
11567,2025-10-21,RGTZ,582,1,590.0,stop,-1.0233571123311092,4.1055769928966726,3.263647875444567,1.8195408938432056,14.818380000000003,37042574.14285714,1.0,5.529928571428555,TRAIN,2025-10-18/2025-10-24
11564,2025-10-21,PRLD,666,1,734.0,target,2.0,2.773142168884513,1.1201275189718625,0.8490406535483834,1.3782200000000002,303283.25,0.0,6.52015503875969,TRAIN,2025-10-18/2025-10-24
11574,2025-10-21,VELO,690,1,815.0,stop,-1.0298840704164889,3.2379151663446,2.043023563841268,1.7581547513318914,7.192900000000001,964338.95,0.0,5.695652173913035,TRAIN,2025-10-18/2025-10-24
11543,2025-10-21,ABVEW,719,1,734.0,stop,-1.405912040374907,2.1375622235579015,3.818261025272343,,1.2977400000000003,346162.45,0.0,7.822499999999999,TRAIN,2025-10-18/2025-10-24
11603,2025-10-22,IVVD,576,1,594.0,stop,-1.024987928536936,3.8479403950131204,1.645901855130102,0.9336436329964052,2.1528400000000003,6388331.7,0.0,7.321,TRAIN,2025-10-18/2025-10-24
11624,2025-10-22,THM,578,1,955.0,eod,0.5211004273504202,4.0673988853762815,3.292141187036354,1.186442787195337,1.8409800000000003,1572921.85,0.0,5.487931034482751,TRAIN,2025-10-18/2025-10-24
11595,2025-10-22,GNLN,581,1,583.0,stop,-2.605107142857143,1.217693836978135,1.7963541756164831,1.182228132307511,3.2192000000000003,718459.5,0.0,5.578947368421061,TRAIN,2025-10-18/2025-10-24
11590,2025-10-22,ELBM,584,1,591.0,target,2.0,3.6086511235616507,2.089032886718065,0.7007385466458356,1.6599,20614901.25,0.0,10.329999999999972,TRAIN,2025-10-18/2025-10-24
11611,2025-10-22,QH,586,1,731.0,stop,-1.0324327836081946,2.9910760997922363,2.133589065686721,2.5854958107666963,6.689900000000001,676600.15,0.0,6.378787878787895,TRAIN,2025-10-18/2025-10-24
11619,2025-10-22,SKBL,592,1,707.0,stop,-1.0250563063063078,3.837842510156452,1.7195946810307228,1.0461336003626542,2.77656,704861.35,0.0,6.472307692307666,TRAIN,2025-10-18/2025-10-24
11613,2025-10-22,RGTZ,608,1,616.0,stop,-1.037811251152786,2.576572437882665,1.5070672618416097,1.005380612979532,17.67542,35743504.125,1.0,5.335983263598321,TRAIN,2025-10-18/2025-10-24
11599,2025-10-22,IBIO,661,1,693.0,target,2.0,1.7892644135188838,4.348034388626903,2.068660405026409,1.2575,3696023.4,0.0,21.723300970873783,TRAIN,2025-10-18/2025-10-24
11673,2025-10-23,LABX,576,1,955.0,eod,0.7111631471070918,4.469039879557622,2.756898785855457,0.8310988842470178,16.7380292,640630.9,1.0,5.956283174603172,TRAIN,2025-10-18/2025-10-24
11653,2025-10-23,GLUE,578,1,579.0,stop,-1.0433503504369679,2.254773615422301,4.348596144409784,1.052246727083774,10.251140000000001,1130705.0,0.0,7.584947368421036,TRAIN,2025-10-18/2025-10-24
11666,2025-10-23,HYLN,578,1,692.0,target,2.0,2.4631553402589286,3.300729825655171,2.0686062525267093,2.14278,2108800.75,0.0,5.7618811881188,TRAIN,2025-10-18/2025-10-24
11712,2025-10-23,WWR,580,1,586.0,stop,-1.0339058756649218,2.864847195353341,3.422962022356135,0.9016300728523516,1.719254,15445090.85,0.0,12.034444444444436,TRAIN,2025-10-18/2025-10-24
