n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,cost,h1,h2,vgross,half_ok,note
258,11.217391304347826,-0.10844814616136166,-0.10844814616136166,-0.04366695413550354,-1.934882750145261,39.130434782608695,8.695652173913043,4,-861.7804959239331,440.31781306695143,-2797.962170963131,-2797.962170963131,-121.65052917231004,0.0,-0.1659499740791696,100.0,F1c fb/mfe/t1,VAL,-1.622874054591124,0.06478119202585811,0.02001044601280513,-0.06013562390272425,-0.04366695413550354,False,
410,7.735849056603773,-0.0403154115805219,-0.0403154115805219,0.03175137686784039,-0.7421891304059712,43.39622641509434,1.8867924528301887,4,-727.2536403097675,774.4420779539897,-1652.9318748013984,-3072.9114173824946,-31.187393864177327,33.33333333333333,-0.14835490700978748,99.51219512195122,F1c fb/mfe/t2,TRAIN,-0.6680926074837238,0.0720667884483623,0.08267592986403134,-0.006550851026730576,-0.07989891660750474,False,
253,11.0,-0.15090944635662154,-0.15090944635662154,-0.07989891660750474,-2.1388144580682433,30.434782608695656,8.695652173913043,8,-1066.3275832452998,497.59300448120655,-3818.008992822525,-4028.849068532869,-166.0003909922837,20.0,-0.2653379801647111,100.0,F1c fb/mfe/t2,VAL,-1.8912979543779291,0.07101052974911681,0.08267592986403134,-0.006550851026730576,-0.07989891660750474,False,
420,7.9245283018867925,-0.08005622406942847,-0.08005622406942847,-0.015108595661007687,-1.8945920829978495,35.84905660377358,1.8867924528301887,9,-605.5174461443188,586.0608555015453,-3362.3614109159957,-4034.3983650090313,-63.44078133803765,25.0,-0.17781679936927566,99.52380952380952,F1c fb/mfe/tls,TRAIN,-1.6804380698115065,0.06494762840842078,0.07137042431213428,-0.07996786064086417,-0.02884837027541248,False,
258,11.217391304347826,-0.09205562978087355,-0.09205562978087355,-0.02884837027541248,-1.5875804731145196,39.130434782608695,8.695652173913043,4,-676.255381993647,360.6741891472947,-2375.0352483465367,-2611.4866089059537,-103.26240210202333,40.0,-0.19384700252580922,100.0,F1c fb/mfe/tls,VAL,-1.3469035801731142,0.06320725950546106,0.07137042431213428,-0.07996786064086417,-0.02884837027541248,False,
696,13.132075471698114,-0.13007029362052427,-0.13007029362052427,-0.04890906375826376,-3.431526048873713,37.735849056603776,1.8867924528301887,7,-1675.6346650152777,479.9931860807188,-9052.89243598849,-9823.108936667782,-170.80929124506585,25.0,-0.18837524360979485,99.13793103448276,F1c fb/h05/t1,TRAIN,-3.0226806859603093,0.08116122986226053,-0.02301505762400852,-0.06762453353846803,-0.019093844813779435,False,
483,21.0,-0.09845274347101873,-0.09845274347101873,-0.019093844813779435,-2.172051797837903,34.78260869565217,4.3478260869565215,5,-1330.0633763947592,801.3561751235893,-4755.267509650204,-6311.831310177323,-206.75076128913932,20.0,-0.15686842713463245,99.37888198757764,F1c fb/h05/t1,VAL,-2.011186622928851,0.07935889865723929,-0.02301505762400852,-0.06762453353846803,-0.019093844813779435,False,
680,12.830188679245284,-0.11707417786858211,-0.11707417786858211,-0.02864254441380755,-2.3931327169344163,35.84905660377358,1.8867924528301887,7,-2441.511011752768,837.4808280994584,-7961.044095063587,-9407.449568161674,-150.20837915214315,33.33333333333333,-0.2266102062317845,99.11764705882354,F1c fb/h05/t2,TRAIN,-2.004112378652654,0.08843163345477457,-0.03296182686081937,-0.025469194044574362,-0.01539822234717748,False,
440,19.130434782608695,-0.10121496048096268,-0.10121496048096268,-0.01539822234717748,-1.674628800994014,34.78260869565217,4.3478260869565215,5,-2579.8910723116933,1398.844159720059,-4453.458261162357,-6265.812868821966,-193.62862005053728,20.0,-0.20984192437049096,99.31818181818181,F1c fb/h05/t2,VAL,-1.420463897794345,0.08581673813378521,-0.03296182686081937,-0.025469194044574362,-0.01539822234717748,False,
687,12.962264150943396,-0.16373145372866738,-0.16373145372866738,-0.08010251731876555,-4.016154305788651,32.075471698113205,1.8867924528301887,10,-1437.5063410315195,618.8799251444113,-11248.350871159451,-12011.47720175325,-212.2330353048953,16.666666666666664,-0.270452671601284,99.12663755458514,F1c fb/h05/tls,TRAIN,-3.6506432707992156,0.08362893640990184,-0.07051420366165284,-0.08710657515393606,-0.009399510813397929,False,
475,20.652173913043477,-0.09049245469368825,-0.09049245469368825,-0.009399510813397929,-1.7981889323290032,34.78260869565217,4.3478260869565215,6,-1758.5507997477064,939.0312614205482,-4298.391597950192,-5584.6186843110545,-186.88659121522574,20.0,-0.1961724385657559,99.36842105263159,F1c fb/h05/tls,VAL,-1.6137523866858559,0.08109294388029031,-0.07051420366165284,-0.08710657515393606,-0.009399510813397929,False,
1319,24.88679245283019,-0.05249454560403907,-0.05249454560403907,0.01518217441792509,-2.0835112718576476,43.39622641509434,1.8867924528301887,9,-1585.9095323469317,747.2597809079399,-6924.030565172754,-8034.736708784475,-130.64208613533498,33.33333333333333,-0.10664639633148494,99.31766489764973,F1c fb/h10/t1,TRAIN,-1.7417423729092254,0.06767672002196416,0.05467715432334375,-0.017978185279511505,-0.08646609976290211,False,
660,28.695652173913043,-0.15490588573831113,-0.15490588573831113,-0.08646609976290211,-4.405788045899845,13.043478260869565,4.3478260869565215,11,-1404.7591371344665,525.2981730624019,-10223.788458728533,-10396.81950138756,-444.5125416838493,0.0,-0.21428905152280148,99.0909090909091,F1c fb/h10/t1,VAL,-4.039594137804288,0.06843978597540903,0.05467715432334375,-0.017978185279511505,-0.08646609976290211,False,
