symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,year,month,R,univ_ok
QNTM,2026-03-25,10:22:00,4.87,4.74,5.02,17562,10:28:00,4.73,stop,-2595.08,-3.03,False,,0,0.0,34.2,487866,-4.03,0.63,False,,3,5.69,-2.55,1.9,1.8,0.3,0.3,0.0,0.3,0.0,1.9,1.428,0.0,0.0,34.2,0.371,1.428,,2026,2026-03,-1.1366674550822151,True
MKDW,2026-03-26,09:51:00,6.13,5.86,6.73,13352,10:11:00,6.69,trail_stop,7506.13,9.17,False,,0,0.0,56.0,370929,5.43,0.38,False,,2,17.99,5.67,2.0,1.8,0.0,0.3,0.3,0.0,0.2,2.0,1.148,0.2,0.0,34.17,0.588,1.148,,2026,2026-03,2.0821211415129963,True
GLND,2026-04-01,09:47:00,8.22,8.02,8.62,20000,10:32:00,7.99,stop,-4498.4,-2.74,False,,0,0.0,22.31,1453348,3.59,-0.57,False,,3,6.79,4.01,2.6,2.0,0.3,0.3,0.3,0.3,0.2,2.6,1.799,0.2,0.0,18.37,1.683,1.799,,2026,2026-04,-1.1245999999999938,True
SMX,2026-04-07,10:19:00,8.95,8.8,9.23,29000,10:26:00,8.77,stop,-5247.55,-2.02,False,,0,0.0,44.35,1548990,-7.11,-14.46,False,,2,5.15,-6.54,2.9,1.0,0.3,0.3,0.3,0.0,0.0,2.9,1.172,0.0,0.0,36.54,2.101,1.172,,2026,2026-04,-1.2063333333333448,True
TMCR,2026-04-09,09:57:00,11.56,11.21,12.29,18000,10:09:00,12.31,exhaust+trail_stop,15227.58,7.32,False,,0,0.0,35.68,588449,0.43,-14.07,False,,2,7.47,0.93,2.6,1.8,0.3,0.0,0.3,0.0,0.0,2.6,0.93,0.0,0.0,21.21,0.547,0.93,,2026,2026-04,2.417076190476193,True
TTGT,2026-05-08,09:56:00,5.7,5.58,5.92,18000,10:04:00,5.87,trail_stop,3131.64,3.05,False,,0,0.0,24.47,565049,-2.52,-7.11,False,,2,5.64,-1.97,2.3,1.8,0.3,0.3,0.0,-0.5,0.2,2.3,0.766,0.0,0.0,20.75,0.687,0.766,,2026,2026-05,1.449833333333332,True
WATT,2026-05-14,09:42:00,25.86,25.08,27.48,11076,09:47:00,25.0,stop,-9457.69,-3.3,False,,0,0.0,29.23,513001,7.33,1.23,False,,3,12.07,7.62,1.8,2.0,0.0,0.3,0.3,0.0,0.0,1.8,0.898,0.2,0.0,15.82,1.09,0.898,,2026,2026-05,-1.0947312739024533,True
TRT,2026-05-15,10:45:00,18.47,17.82,19.87,6440,11:19:00,19.12,trail_stop,4202.5,3.53,False,,0,0.0,47.14,2740118,11.9,6.28,False,,3,6.95,12.1,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.969,0.2,0.0,28.89,1.8,0.969,,2026,2026-05,1.0039417104634518,True
MLGO,2026-05-20,10:15:00,4.6,4.4,5.06,12159,12:26:00,5.18,exhaust+trail_stop,7216.38,12.89,False,,0,0.0,81.27,607952,8.33,-1.04,False,,2,6.4,8.49,2.4,1.0,0.3,-0.3,0.0,0.0,0.2,2.4,0.892,0.2,0.0,20.84,2.054,0.892,,2026,2026-05,2.9675055514433857,True
RYOJ,2026-05-26,10:16:00,3.73,3.55,4.1,18000,10:26:00,3.91,trail_stop,3178.07,4.73,False,,0,0.0,31.21,2660207,-2.96,-17.6,False,,2,8.74,-1.95,2.3,1.8,0.3,-0.3,0.3,0.0,0.0,2.3,0.917,0.0,0.0,29.32,6.338,0.917,,2026,2026-05,0.980885802469135,True
AKTX,2026-05-27,10:14:00,15.96,15.17,17.54,11392,11:14:00,15.12,stop,-9511.11,-5.23,False,,0,0.0,23.93,2168212,-3.76,-6.51,False,,2,5.45,-2.77,2.0,1.8,0.3,-0.3,0.3,-0.5,0.2,2.0,0.722,0.0,0.0,23.93,0.566,0.722,,2026,2026-05,-1.056827576091593,True
LESL,2026-06-09,10:05:00,6.77,6.58,7.17,21000,10:19:00,6.56,stop,-4461.13,-3.14,False,,0,0.0,62.48,2755669,10.28,1.75,False,,3,6.11,10.61,2.1,1.0,0.3,0.0,0.3,0.3,0.0,2.1,1.41,0.2,0.0,33.69,1.346,1.41,,2026,2026-06,-1.118077694235592,True
OCC,2026-06-09,10:04:00,20.08,19.54,21.17,20000,10:10:00,19.48,stop,-11900.05,-2.96,False,,0,0.0,26.41,1319296,1.13,-2.63,False,,3,8.33,1.58,2.2,2.0,0.3,0.3,0.3,0.3,0.0,2.2,1.41,0.0,0.0,18.39,1.287,1.41,,2026,2026-06,-1.101856481481483,True
HTCO,2026-06-10,10:18:00,4.41,4.22,4.75,18000,10:40:00,4.2,stop,-3770.92,-4.75,False,,0,0.0,25.93,1432757,-5.6,3.13,False,,3,4.65,-4.16,1.8,1.8,0.3,-0.3,0.3,0.3,0.2,1.8,2.228,0.0,0.0,25.93,5.696,2.228,,2026,2026-06,-1.1026081871345008,True
OCC,2026-06-10,09:44:00,25.51,24.43,27.89,5252,09:45:00,24.35,stop,-6051.27,-4.52,False,,0,0.0,31.33,1418896,6.66,-0.05,False,,3,9.82,6.87,2.5,1.0,0.0,0.0,0.0,0.3,0.0,2.5,2.228,0.2,0.0,21.2,2.056,2.228,,2026,2026-06,-1.0668369721587525,True
INDP,2026-06-11,10:25:00,3.24,3.12,3.37,30000,10:27:00,3.23,trail_stop,-219.46,-0.23,False,,0,0.0,56.37,2664475,3.09,-0.82,False,,3,6.67,4.74,3.0,1.0,0.3,0.3,0.3,0.3,0.0,3.4,2.044,0.2,0.0,41.15,6.915,2.044,,2026,2026-06,-0.060961111111111056,True
CRE,2026-06-12,10:23:00,3.17,3.04,3.43,20000,10:33:00,3.38,trail_stop,4349.4,6.87,False,,0,0.0,29.01,504064,2.29,0.91,False,,2,11.25,2.76,2.1,2.0,0.0,0.3,0.3,0.3,0.0,2.1,2.439,0.2,0.0,16.18,0.207,2.439,,2026,2026-06,1.6728461538461552,True
ASBP,2026-06-16,09:57:00,6.14,5.87,6.75,20000,10:05:00,6.47,trail_stop,6511.86,5.3,False,,0,0.0,26.74,1056507,6.14,-6.02,False,,3,6.91,4.01,2.0,2.0,0.3,-0.3,0.3,0.3,0.2,2.0,1.362,0.2,0.0,15.07,6.795,1.362,,2026,2026-06,1.2059000000000017,True
RBNE,2026-07-16,10:39:00,4.8,4.69,5.04,13960,10:49:00,4.67,stop,-1856.05,-2.77,False,,0,0.0,45.83,387808,2.48,-1.14,False,,2,6.22,2.92,2.0,1.8,0.3,0.0,0.0,-0.5,0.0,2.0,0.711,0.2,0.0,21.53,0.867,0.711,,2026,2026-07,-1.208680646001569,True
SRZN,2026-08-07,10:29:00,26.01,25.21,27.68,5344,11:05:00,25.13,stop,-4676.16,-3.36,False,,0,0.0,22.51,267203,4.96,14.79,False,,2,5.59,4.73,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,1.072,0.2,0.0,22.51,4.039,1.072,,2026,2026-08,-1.0937874251496997,True
TJGC,2026-08-18,10:22:00,4.97,4.75,5.47,22000,10:33:00,4.73,stop,-5210.23,-4.76,False,,0,0.0,41.09,1223937,14.97,-2.74,False,,2,14.12,14.99,2.2,1.0,0.0,0.0,0.3,-0.5,0.2,2.2,0.555,0.2,0.0,35.52,2.779,0.555,,2026,2026-08,-1.0764938016528938,True
RDAC,2026-08-24,10:18:00,5.98,5.88,6.15,18000,10:21:00,6.03,trail_stop,937.8,0.87,False,,0,0.0,29.16,901995,2.22,-8.35,False,,2,17.86,2.72,2.3,1.8,0.0,0.3,0.3,-0.5,0.0,2.3,0.617,0.2,0.0,22.7,1.106,0.617,,2026,2026-08,0.5209999999999972,True
