symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,year,month,R,univ_ok
KBSX,2025-03-19,10:07:00,3.87,3.7,4.25,18000,10:17:00,4.79,exhaust+trail_stop,16561.72,23.78,False,,0,0.0,41.5,2714018,1.25,-36.25,False,,2,10.83,1.78,2.6,1.8,0.0,0.0,0.3,0.3,0.0,2.6,1.537,0.0,0.0,21.33,0.829,1.537,,2025,2025-03,5.4123267973856235,True
LSE,2025-03-20,10:24:00,9.45,9.14,10.04,18000,10:27:00,9.11,stop,-6001.61,-3.53,False,,0,0.0,35.85,788997,-5.04,-16.24,False,,2,5.64,-4.34,3.0,1.8,0.3,0.0,0.3,0.3,0.2,3.1,1.345,0.0,0.0,24.06,0.857,1.345,,2025,2025-03,-1.0755573476702551,True
OM,2025-03-20,10:26:00,10.02,9.66,10.79,18000,10:36:00,11.27,trail_stop,22524.02,12.49,False,,0,0.0,47.96,1110199,9.25,1322.62,False,,2,7.1,9.14,2.3,1.8,0.3,0.0,0.3,0.3,0.2,2.3,1.345,0.2,0.0,1706.45,2.508,1.345,,2025,2025-03,3.4759290123456843,True
TITN,2025-03-20,09:44:00,15.34,14.57,16.85,8307,12:04:00,17.09,exhaust+trail_stop,15668.38,12.3,False,,0,0.0,39.6,230755,8.5,-15.14,False,,2,11.12,9.1,2.5,1.8,0.0,0.0,0.0,0.3,0.0,2.5,1.345,0.2,0.0,24.72,1.144,1.345,,2025,2025-03,2.4495660833689015,True
CAPS,2025-03-25,09:45:00,3.04,2.94,3.27,18000,09:46:00,2.93,stop,-2046.03,-3.73,False,,0,0.0,21.12,1470269,9.67,-6.14,False,0.04,2,16.92,9.69,2.7,1.8,0.0,0.3,0.0,0.0,0.2,2.7,1.171,0.2,0.0,21.12,0.809,1.171,,2025,2025-03,-1.1366833333333324,True
QNTM,2025-03-28,10:16:00,10.42,10.16,10.72,14205,10:18:00,10.8,exhaust+trail_stop,5640.14,3.81,False,,0,0.0,55.58,710285,-2.03,17.78,False,-0.01,2,6.02,-0.67,1.9,1.0,0.3,0.3,0.3,0.0,0.0,1.9,1.047,0.0,0.0,32.21,0.876,1.047,,2025,2025-03,1.5271275011507337,True
WHLR,2025-03-31,10:44:00,3.51,3.42,3.68,26000,10:57:00,3.41,stop,-2577.08,-2.82,False,,0,0.0,21.98,2546969,5.06,-7.27,False,0.06,3,6.11,5.61,2.6,1.0,0.3,0.3,0.3,0.3,0.2,2.6,1.561,0.2,0.0,20.89,0.482,1.561,,2025,2025-03,-1.101316239316241,True
TNXP,2025-04-07,09:56:00,17.19,16.82,17.89,18000,09:58:00,17.47,trail_stop,5074.92,1.64,False,,0,0.0,28.43,1700591,8.17,-6.97,False,-0.19,3,7.95,7.94,3.0,1.8,0.3,0.3,0.3,0.3,0.0,3.4,2.831,0.2,0.0,21.74,2.259,2.831,,2025,2025-04,0.7619999999999979,True
TTGT,2025-04-07,10:19:00,9.96,9.65,10.36,9507,10:22:00,9.62,stop,-3218.12,-3.4,False,,0,0.0,21.57,264127,10.68,-5.09,False,-0.19,2,4.53,11.87,2.0,1.8,0.3,0.0,0.0,0.3,0.2,2.0,2.831,0.2,0.0,21.57,3.203,2.831,,2025,2025-04,-1.0919356535252445,True
SCLX,2025-04-15,09:36:00,7.21,6.99,7.53,18000,09:40:00,6.97,stop,-4322.47,-3.33,False,,0,0.0,23.33,1449474,2.38,3464.99,False,,2,5.95,3.54,2.6,1.8,0.3,0.3,0.3,0.3,0.2,2.6,3.281,0.2,0.0,3669.23,0.54,3.281,,2025,2025-04,-1.0915328282828296,True
FATN,2025-04-16,10:05:00,7.99,7.84,8.25,18000,10:21:00,8.38,exhaust+trail_stop,6421.82,4.47,False,,0,0.0,43.65,2650064,6.29,-13.14,False,,2,5.15,5.92,3.0,1.8,0.3,0.3,0.3,0.3,0.2,3.6,2.098,0.2,0.0,23.51,2.773,2.098,,2025,2025-04,2.378451851851846,True
SCLX,2025-04-23,10:30:00,4.63,4.54,4.78,18000,10:43:00,4.75,trail_stop,2199.3,2.64,False,,0,0.0,30.0,1246944,8.73,-4.76,False,,2,3.16,9.26,1.8,1.0,0.0,0.0,0.3,0.3,0.0,1.8,1.979,0.2,0.0,21.07,2.828,1.979,,2025,2025-04,1.357592592592595,True
CPS,2025-05-02,09:52:00,19.79,18.99,21.54,11827,13:01:00,21.57,exhaust+trail_stop,23252.87,9.94,False,,0,0.0,32.22,378777,6.28,11.3,False,0.01,2,17.19,5.63,2.3,1.8,0.0,0.3,0.3,0.3,0.2,2.3,1.714,0.2,0.0,29.27,0.556,1.714,,2025,2025-05,2.4576044220850575,True
