day,symbol,m,sp_mean,sp_med,mid_med,bid_med,bid_max,n_q,err
2025-09-04,DSGX,955,0.057372881355934456,0.060000000000002274,106.0975,106.07,106.15,118,
2025-09-05,LULU,603,0.1321023513139692,0.12999999999999545,175.32999999999998,175.23,175.88,1446,
2025-09-08,CRVL,615,0.7483333333333293,0.759999999999998,92.48249999999999,92.13499999999999,92.54,18,
2025-09-08,FTAI,744,0.2607692307692297,0.2599999999999909,167.35000000000002,167.22,167.25,13,
2025-09-09,TMCI,955,0.010322580645161214,0.009999999999999787,7.365,7.36,7.36,124,
2025-09-11,MU,705,0.0363433908045987,0.03999999999999204,154.53500000000003,154.52,154.82,1392,
2025-09-11,MU,955,0.02744753261486125,0.020000000000010232,150.495,150.48,150.61,1763,
2025-09-12,GRAB,678,0.009999999999999924,0.009999999999999787,5.965,5.96,5.97,169,
2025-09-12,GRAB,729,0.010012690355329736,0.009999999999999787,5.995,5.99,6.0,788,
2025-09-12,GRAB,736,0.009999999999999787,0.009999999999999787,6.015,6.01,6.01,498,
2025-09-16,TNGX,712,0.020621118012422755,0.020000000000000462,7.3100000000000005,7.3,7.31,161,
2025-09-16,TNGX,716,0.015111111111111677,0.020000000000000462,7.3149999999999995,7.31,7.31,45,
2025-09-18,ZVRA,922,0.013045045045044954,0.009999999999999787,7.995,7.99,8.01,555,
2025-09-19,SCHL,724,0.08583333333333402,0.10000000000000142,24.415,24.36,24.45,24,
2025-09-19,SCHL,726,0.043636363636362384,0.03999999999999915,24.47,24.45,24.49,11,
2025-09-19,SCHL,727,0.044285714285713526,0.04999999999999716,24.475,24.45,24.56,98,
2025-09-22,AUGO,786,0.17621359223300959,0.17999999999999972,34.59,34.47,34.64,206,
2025-09-23,PCOR,684,0.1051851851851861,0.10999999999999943,76.71000000000001,76.65,76.71,54,
2025-09-23,PCOR,687,0.05663551401868895,0.05999999999998806,76.96000000000001,76.93,77.01,107,
2025-09-23,PCOR,955,0.05744769874476989,0.04999999999999716,73.83,73.82,73.98,239,
2025-09-25,TRDA,955,0.01688524590163929,0.019999999999999574,5.54,5.53,5.54,61,
2025-09-29,ARQT,955,0.013085106382978898,0.010000000000001563,18.6,18.59,18.61,188,
