day,symbol,split,wk,entry_m,r_pct,price,slip_bps,A_net,A_why,A_xm,B_net,B_why,B_xm,C_net,C_why,C_xm,C_fill
2025-01-03,FGF,TRAIN,2024-12-28/2025-01-03,573,1.0935322,25.1753,278.8844621513942,2.0,target,583,-1.0849999988584371,stop,761,,nofill,955,0
2025-01-03,FTCI,TRAIN,2024-12-28/2025-01-03,579,5.3716044,5.7171,-210.52631578947546,2.0,target,626,2.0,target,626,2.0,target,618,1
2025-01-03,FUFU,TRAIN,2024-12-28/2025-01-03,640,3.6800313,5.6168,-259.2857142857163,0.2509259820377276,eod,957,0.2509259820377276,eod,957,0.36176935598952337,eod,957,1
2025-01-03,GRRR,TRAIN,2024-12-28/2025-01-03,585,11.260874,24.40299,-177.76407727085996,-0.3859897586717437,eod,900,-0.3859897586717437,eod,900,-0.36918131446542946,eod,900,1
2025-01-03,HNNA,TRAIN,2024-12-28/2025-01-03,621,4.67943,12.89858,202.17729393467775,0.00931581529238093,eod,955,-0.2621090838896511,eod,955,,nofill,955,0
2025-01-03,INV,TRAIN,2024-12-28/2025-01-03,638,6.1269946,13.88152,-65.02890173410547,-0.5929114557977875,eod,955,-0.5929114557977875,eod,955,-0.5719159591866225,eod,955,1
2025-01-03,IPXX,TRAIN,2024-12-28/2025-01-03,610,2.0675294,12.406508,344.8835079137469,2.0,target,638,-0.3430215654085115,eod,877,,nofill,955,0
2025-01-03,IZTC,TRAIN,2024-12-28/2025-01-03,590,5.7520213,14.85443,27.008777852799426,-1.0511555787701967,stop,638,-1.0511555787701967,stop,638,-1.0514117660874818,stop,638,1
2025-01-03,KINS,TRAIN,2024-12-28/2025-01-03,684,7.0652313,15.07509,28.87558216899455,-0.10819760064288036,eod,900,-0.10819760064288036,eod,900,-0.10677713225156563,eod,900,1
2025-01-03,LAES,TRAIN,2024-12-28/2025-01-03,577,10.073701,8.69601,173.0103806228378,-0.6331000681138466,eod,900,-0.6788399685492769,eod,900,,nofill,955,0
2025-01-03,LUCY,TRAIN,2024-12-28/2025-01-03,731,4.368527,5.40617,92.7643784786647,0.4785436840357,eod,959,0.2930370412525368,eod,959,,nofill,955,0
2025-01-03,MARO,TRAIN,2024-12-28/2025-01-03,744,6.4814067,38.901356,60.59017582831672,0.05189324117903324,eod,955,0.00453030458471974,eod,955,,nofill,955,0
2025-01-03,MESO,TRAIN,2024-12-28/2025-01-03,750,5.378479,20.67183,140.70839398350188,-0.3536274857292509,eod,955,-0.46402983846481755,eod,955,,nofill,955,0
2025-01-03,MNPR,TRAIN,2024-12-28/2025-01-03,806,5.7732296,22.28666,108.0108010801073,0.6052621893458249,eod,955,0.41443834141169483,eod,955,,nofill,955,0
2025-01-03,MPLN,TRAIN,2024-12-28/2025-01-03,575,5.380384,12.98885,355.2123552123554,1.5527971508116245,eod,955,0.5921249962019396,eod,955,,nofill,955,0
2025-01-03,NA,TRAIN,2024-12-28/2025-01-03,612,4.7058825,9.5285,421.05263157894865,-1.2412064732551136,stop,743,-1.1328210563804653,stop,743,,nofill,955,0
2025-01-03,NNAVW,TRAIN,2024-12-28/2025-01-03,575,3.2951229,6.00797,-50.083472454092174,0.7577615980460131,eod,951,0.7577615980460131,eod,951,0.9334444688429587,eod,951,1
2025-01-03,PDYN,TRAIN,2024-12-28/2025-01-03,578,8.183613,11.79528,279.08163265305984,-1.0356586249862996,stop,618,-1.0278226021740928,stop,618,,nofill,955,0
2025-01-03,PTLE,TRAIN,2024-12-28/2025-01-03,576,10.032004,12.22657,65.62756357670008,-1.0289042942965327,stop,623,-1.0279842521633415,stop,623,,nofill,955,0
2025-01-03,QBTS,TRAIN,2024-12-28/2025-01-03,577,6.2126837,9.63883,156.08740894901052,-1.0472883105734172,stop,619,-1.039666665521183,stop,619,,nofill,955,0
2025-01-03,QUBT,TRAIN,2024-12-28/2025-01-03,577,5.641646,18.811266,58.650491678762236,-1.0521759702753433,stop,614,-1.0497578914249448,stop,614,-1.0497578914249448,stop,614,1
2025-01-03,RGTI,TRAIN,2024-12-28/2025-01-03,578,9.471585,20.06,80.00000000000007,-1.0306736850273743,stop,619,-1.0292400007408804,stop,619,,nofill,955,0
2025-01-03,RGTIW,TRAIN,2024-12-28/2025-01-03,577,9.929303,8.8264,215.90909090908994,-1.0292136010956663,stop,617,-1.0249326923078919,stop,617,,nofill,955,0
2025-01-03,SLNG,TRAIN,2024-12-28/2025-01-03,580,3.3356783,5.92773,236.88663282571687,2.0,target,847,1.0559374891350992,eod,847,,nofill,955,0
2025-01-03,SOUN,TRAIN,2024-12-28/2025-01-03,575,3.5631201,20.22048,148.80952380952328,-1.0831958709166176,stop,626,-1.0629375008527355,stop,626,,nofill,955,0
2025-01-03,SPRY,TRAIN,2024-12-28/2025-01-03,571,1.974748,10.74213,84.03361344537785,2.0,target,580,2.0,target,655,,nofill,955,0
2025-01-03,STFS,TRAIN,2024-12-28/2025-01-03,576,2.6450062,8.5255,288.2352941176469,2.0,target,721,0.5337303327836227,eod,956,,nofill,955,0
2025-01-03,UCAR,TRAIN,2024-12-28/2025-01-03,582,7.254979,7.547575,-13.289036544852362,0.2781899378413689,eod,957,0.2781899378413689,eod,957,0.33323810713358104,eod,957,1
2025-01-06,ATGL,TRAIN,2025-01-04/2025-01-10,675,6.5205784,15.576691,-218.99452200727532,-0.1652515278908426,eod,948,-0.1652515278908426,eod,948,-0.1250241393716755,eod,948,1
2025-01-06,ATLN,TRAIN,2025-01-04/2025-01-10,643,13.051543,5.60677,608.2289803220009,2.0,target,675,0.6238293853875264,eod,898,,nofill,955,0
2025-01-06,BALY.T,TRAIN,2025-01-04/2025-01-10,702,1.8628268,18.54547,492.1579232017281,2.0,target,704,0.2176666693247484,eod,869,,nofill,955,0
2025-01-06,BYFC,TRAIN,2025-01-04/2025-01-10,773,4.4590845,7.21157,862.308762169679,2.0,target,802,-0.5117608695225796,eod,840,,nofill,955,0
2025-01-06,CCEL,TRAIN,2025-01-04/2025-01-10,687,4.9470105,7.637845,-229.80958634274518,-1.0596426851125553,stop,919,-1.0596426851125553,stop,919,-1.0633521137412707,stop,919,1
2025-01-06,COEP,TRAIN,2025-01-04/2025-01-10,690,7.9684024,5.73716,227.27272727272486,2.0,target,847,2.0,target,849,,nofill,955,0
2025-01-06,COMM,TRAIN,2025-01-04/2025-01-10,645,9.9475765,5.28581,85.38899430740044,0.06393636564980217,eod,955,0.007873873967584447,eod,955,,nofill,955,0
2025-01-06,CTNM,TRAIN,2025-01-04/2025-01-10,572,1.123077,14.56356,103.30578512396383,-1.266123269375115,stop,586,-1.1620000043821632,stop,586,,nofill,955,0
2025-01-06,ELTX,TRAIN,2025-01-04/2025-01-10,715,5.4828396,5.63686,53.38078291814874,0.48620424433821546,eod,895,0.42551211448298243,eod,895,0.42551211448298243,eod,895,1
2025-01-06,ESAB,TRAIN,2025-01-04/2025-01-10,589,5.151839,118.28379,16.95921309251114,-0.12477580079191543,eod,955,-0.12477580079191543,eod,955,-0.10206396578034838,eod,955,1
2025-01-06,EWCZ,TRAIN,2025-01-04/2025-01-10,584,5.566608,6.54959,-1.1102230246251565e-12,-1.0528927835407125,stop,652,-1.0528927835407125,stop,652,-1.055782608546338,stop,652,1
2025-01-06,FBIOP,TRAIN,2025-01-04/2025-01-10,619,6.795528,6.812978,-33.27179392036972,0.33132481697294436,eod,861,0.33132481697294436,eod,861,0.39271258379144586,eod,861,1
2025-01-06,HTLM,TRAIN,2025-01-04/2025-01-10,573,2.5910773,8.7261,1134.4827586206873,2.0,target,575,-0.47984330394884006,eod,958,,nofill,955,0
2025-01-06,ICCC,TRAIN,2025-01-04/2025-01-10,610,4.3645763,5.16545,302.1359223300957,-0.33613172685322695,eod,843,-0.591387298038492,eod,843,,nofill,955,0
2025-01-06,IPXXU,TRAIN,2025-01-04/2025-01-10,752,1.1108791,13.55053,510.7327905255343,2.0,target,753,-0.03549999974665303,eod,945,,nofill,955,0
2025-01-06,JNVR,TRAIN,2025-01-04/2025-01-10,627,6.314356,5.9881105,-117.58383550203422,-0.44824639784274334,eod,877,-0.44824639784274334,eod,877,-0.4207115319634293,eod,877,1
2025-01-06,LATG,TRAIN,2025-01-04/2025-01-10,618,1.3903563,10.08015,783.4825870646766,2.0,target,619,2.0,target,664,,nofill,955,0
2025-01-06,LATGU,TRAIN,2025-01-04/2025-01-10,778,6.019646,12.2366,631.1475409836054,1.3561319531583789,eod,783,0.17963265276354667,eod,783,,nofill,955,0
2025-01-06,LSE,TRAIN,2025-01-04/2025-01-10,792,5.990611,5.02503,79.8403193612751,0.21565936954583906,eod,894,0.12239263806185091,eod,894,,nofill,955,0
2025-01-06,LXEH,TRAIN,2025-01-04/2025-01-10,623,8.170226,5.7171,421.05263157894643,-0.06108799094715731,eod,958,-0.3650434832095897,eod,958,,nofill,955,0
2025-01-06,MSTZ,TRAIN,2025-01-04/2025-01-10,576,6.4752645,19.26763,140.5517959396141,-1.045330153772096,stop,593,-1.039027397112738,stop,593,,nofill,955,0
2025-01-06,NSYS,TRAIN,2025-01-04/2025-01-10,581,2.0980742,10.56159,379.48717948717905,-1.3214196793155422,stop,602,-1.1220478387426913,stop,602,,nofill,955,0
2025-01-06,OBIO,TRAIN,2025-01-04/2025-01-10,577,3.0542226,5.80737,0.0,-1.2684463613561876,stop,608,-1.2684463613561876,stop,608,-1.297372443194386,stop,608,1
2025-01-06,PLTU,TRAIN,2025-01-04/2025-01-10,653,7.578594,30.92249,22.705157314302227,-1.0722618872911194,stop,704,-1.0722618872911194,stop,704,-1.0729427101538436,stop,704,1
2025-01-06,PTIR,TRAIN,2025-01-04/2025-01-10,653,7.802734,145.79608,1.7405063291131562,-1.0374480619229114,stop,704,-1.0374480619229114,stop,704,-1.0387760104944872,stop,704,1
2025-01-06,QMCO,TRAIN,2025-01-04/2025-01-10,582,5.666063,54.59329,69.81444056586295,-1.0519468168638437,stop,883,-1.0486767340808734,stop,883,,nofill,955,0
2025-01-06,RGC,TRAIN,2025-01-04/2025-01-10,803,5.984175,5.18551,-0.7736943907177274,-0.6312430292026465,eod,959,-0.6312430292026465,eod,959,-0.6117367851294401,eod,959,1
2025-01-06,RGTIW,TRAIN,2025-01-04/2025-01-10,573,7.0887694,8.39511,35.84229390680926,2.0,target,608,2.0,target,608,2.0,target,608,1
2025-01-06,SMST,TRAIN,2025-01-04/2025-01-10,575,6.091584,5.69704,52.81690140845008,-1.0482482743404675,stop,593,-1.046583336358365,stop,593,-1.046583336358365,stop,593,1
2025-01-06,SOUNW,TRAIN,2025-01-04/2025-01-10,571,3.7609394,11.55456,-69.44444444444642,2.0,target,588,2.0,target,588,2.0,target,588,1
2025-01-06,SPCB,TRAIN,2025-01-04/2025-01-10,571,1.2961117,9.027,433.33333333333445,-1.2304615322120822,stop,573,-1.0576874996137644,stop,573,,nofill,955,0
2025-01-06,STFS,TRAIN,2025-01-04/2025-01-10,571,1.9335437,9.17745,120.2185792349697,-1.1541555312662488,stop,597,-1.10584615125898,stop,597,,nofill,955,0
2025-01-06,SYTA,TRAIN,2025-01-04/2025-01-10,813,8.228188,6.81037,14.727540500734104,0.09995048859284372,eod,956,0.09995048859284372,eod,956,0.12072726238959491,eod,956,1
2025-01-06,TSLQ,TRAIN,2025-01-04/2025-01-10,677,7.9256253,25.1753,21.91235059761043,0.017215156080299804,eod,955,0.017215156080299804,eod,955,0.027691139995515607,eod,955,1
2025-01-07,AGFY,TRAIN,2025-01-04/2025-01-10,574,1.8070656,28.51529,267.28807597608204,-1.1650150095583571,stop,602,-1.0725941708850855,stop,602,,nofill,955,0
2025-01-07,AMBI,TRAIN,2025-01-04/2025-01-10,747,9.870389,5.015,360.00000000000034,-0.8384444303009868,eod,957,-0.8793333222084336,eod,957,,nofill,955,0
2025-01-07,ASMB,TRAIN,2025-01-04/2025-01-10,827,4.0342946,17.40205,112.39193083573574,-0.18069098583603627,eod,955,-0.3196331499242766,eod,955,,nofill,955,0
2025-01-07,BALY.T,TRAIN,2025-01-04/2025-01-10,586,2.2728767,19.7591,944.1624365482215,2.0,target,587,-1.1565066769314607,stop,907,,nofill,955,0
2025-01-07,CGTL,TRAIN,2025-01-04/2025-01-10,571,2.2540224,5.62683,873.4402852049894,2.0,target,574,-0.020333333041552732,eod,955,,nofill,955,0
2025-01-07,CLMB,TRAIN,2025-01-04/2025-01-10,574,1.1957501,127.14028,178.28968128747124,-1.4798790503377295,stop,602,-1.2156794027399753,stop,602,,nofill,955,0
2025-01-07,COEP,TRAIN,2025-01-04/2025-01-10,754,45.953865,7.03103,271.0413694721825,-0.5927187428356024,eod,893,-0.6130588173430173,eod,893,,nofill,955,0
2025-01-07,CRK,TRAIN,2025-01-04/2025-01-10,839,8.8921385,18.44517,40.783034257747545,0.1572639726970905,eod,955,0.14341565721113514,eod,955,0.14341565721113514,eod,955,1
2025-01-07,CRNC,TRAIN,2025-01-04/2025-01-10,582,6.425421,20.24054,104.06342913775957,-1.0456895476576542,stop,600,-1.041186209582695,stop,600,,nofill,955,0
2025-01-07,DNLI,TRAIN,2025-01-04/2025-01-10,573,5.9833617,19.87946,30.27245206861595,1.0599608935522031,eod,955,1.0590252138157021,eod,955,1.0590252138157021,eod,955,1
2025-01-07,DOGZ,TRAIN,2025-01-04/2025-01-10,587,8.445716,38.114,126.31578947368327,0.40688782856549677,eod,955,0.26305158950592983,eod,955,,nofill,955,0
2025-01-07,ELA,TRAIN,2025-01-04/2025-01-10,599,4.8737726,7.43223,-366.93657219973085,-0.07479905253479241,eod,956,-0.07479905253479241,eod,956,-0.014176471034003338,eod,956,1
2025-01-07,ELTX,TRAIN,2025-01-04/2025-01-10,692,4.9403515,5.8174,86.20689655172154,0.35130548758871116,eod,887,0.2134374945566776,eod,887,,nofill,955,0
2025-01-07,ENGN,TRAIN,2025-01-04/2025-01-10,581,6.8215914,7.51247,-200.26702269693052,0.5707749834119209,eod,897,0.5707749834119209,eod,897,0.6428979494121722,eod,897,1
2025-01-07,FOXX,TRAIN,2025-01-04/2025-01-10,592,5.766571,6.2186,644.9999999999978,-1.2738907421077243,stop,662,-1.1337745883319847,stop,662,,nofill,955,0
2025-01-07,HERO,TRAIN,2025-01-04/2025-01-10,600,5.3050056,23.9717,-43.054393305440584,-0.38503058067492885,eod,958,-0.38503058067492885,eod,958,-0.34816665871245095,eod,958,1
2025-01-07,HSAI,TRAIN,2025-01-04/2025-01-10,584,3.8791485,14.80428,196.47696476964737,-0.07642362536638375,eod,955,-0.3537804854078879,eod,955,,nofill,955,0
2025-01-07,IPXX,TRAIN,2025-01-04/2025-01-10,699,5.4927382,12.898479,186.70495955375623,0.6291274859909749,eod,857,0.26791188675678357,eod,857,,nofill,955,0
2025-01-07,IZTC,TRAIN,2025-01-04/2025-01-10,577,2.934055,14.042,549.9999999999994,-1.1012475720461936,stop,844,-1.0378684209469362,stop,844,,nofill,955,0
2025-01-07,NGL,TRAIN,2025-01-04/2025-01-10,661,5.629646,5.06515,-19.801980198020928,-0.1237254014455189,eod,955,-0.1237254014455189,eod,955,-0.07444444048262394,eod,955,1
2025-01-07,NNE,TRAIN,2025-01-04/2025-01-10,573,3.1468248,32.65768,132.03316953316778,-1.0943341921037364,stop,594,-1.0717771909257319,stop,594,,nofill,955,0
2025-01-07,NVD,TRAIN,2025-01-04/2025-01-10,579,5.0824165,24.04191,79.26574885273263,2.0,target,639,1.7848358198896925,eod,900,,nofill,955,0
2025-01-07,OPTN,TRAIN,2025-01-04/2025-01-10,805,3.720212,6.13836,32.67973856209139,-0.6377505544102555,eod,955,-0.6403478112665228,eod,955,-0.6403478112665228,eod,955,1
2025-01-07,PTLE,TRAIN,2025-01-04/2025-01-10,583,10.004499,10.20051,117.99410029498469,0.45966136180789513,eod,895,0.34181984416450684,eod,895,,nofill,955,0
2025-01-07,RAIN,TRAIN,2025-01-04/2025-01-10,578,1.4836679,5.06515,118.81188118811892,2.0,target,624,-1.1267499950636863,stop,770,,nofill,955,0
2025-01-07,RIOX,TRAIN,2025-01-04/2025-01-10,583,7.5398893,29.482985,158.25907722708533,-1.1022882731246917,stop,607,-1.0877458917547533,stop,607,,nofill,955,0
2025-01-07,SMCX,TRAIN,2025-01-04/2025-01-10,571,5.908409,55.2653,-68.96551724138055,-1.0497750902146403,stop,576,-1.0497750902146403,stop,576,-1.0523225813490698,stop,576,1
2025-01-07,SPCB,TRAIN,2025-01-04/2025-01-10,591,4.756319,8.5255,152.94117647058903,2.0,target,655,2.0,target,724,,nofill,955,0
2025-01-07,TEO,TRAIN,2025-01-04/2025-01-10,583,7.822372,14.22254,-35.2609308885754,-0.02785075626210364,eod,900,-0.02785075626210364,eod,900,0.010878504808635725,eod,900,1
2025-01-07,UCAR,TRAIN,2025-01-04/2025-01-10,587,3.0796058,7.55259,-278.88446215139527,-1.0964150665963635,stop,593,-1.139366182350723,stop,599,-1.1541428588453908,stop,599,1
2025-01-07,XXII,TRAIN,2025-01-04/2025-01-10,585,5.4918575,5.77728,190.97222222222098,-1.242544688187064,stop,881,-1.1881463850017355,stop,881,,nofill,955,0
2025-01-07,ZSPC,TRAIN,2025-01-04/2025-01-10,571,3.7370646,10.18045,669.950738916254,2.0,target,595,0.7265436942081933,eod,958,,nofill,955,0
2025-01-08,ACRV,TRAIN,2025-01-04/2025-01-10,576,8.810078,6.3189,-293.6507936507948,-0.27220728381227144,eod,955,-0.27220728381227144,eod,955,-0.24656005090920854,eod,955,1
2025-01-08,ALGT,TRAIN,2025-01-04/2025-01-10,824,5.157409,99.41736,51.452784503629445,-0.03241331292172634,eod,955,-0.07102247360983041,eod,955,-0.07102247360983041,eod,955,1
2025-01-08,ALLT,TRAIN,2025-01-04/2025-01-10,671,7.4414687,6.98088,127.87356321839027,0.2601798720874359,eod,900,0.11385636483830189,eod,900,,nofill,955,0
2025-01-08,ALUR,TRAIN,2025-01-04/2025-01-10,571,1.701545,7.84346,12.787723785165905,-1.175310353237791,stop,582,-1.175310353237791,stop,582,-1.1947499976232674,stop,582,1
2025-01-08,ANVS,TRAIN,2025-01-04/2025-01-10,681,8.196203,5.06515,39.60396039603964,0.4208592315874091,eod,900,0.40442859429371153,eod,900,0.40442859429371153,eod,900,1
2025-01-08,APIE,TRAIN,2025-01-04/2025-01-10,694,1.6886817,28.55541,-45.66210045662156,-0.502936124374936,eod,956,-0.502936124374936,eod,956,-0.39551412981826106,eod,956,1
2025-01-08,ARTV,TRAIN,2025-01-04/2025-01-10,690,5.763805,10.61174,207.93950850661602,-0.03754411087151945,eod,898,-0.2645330663995199,eod,898,,nofill,955,0
2025-01-08,BBAR,TRAIN,2025-01-04/2025-01-10,702,4.8151712,23.02888,47.90940766550289,-0.6447386206342269,eod,955,-0.6575130449404792,eod,955,-0.6575130449404792,eod,955,1
2025-01-08,BDMD,TRAIN,2025-01-04/2025-01-10,770,13.822363,7.54256,90.69148936170058,0.3091955119930634,eod,900,0.2542028985769389,eod,900,,nofill,955,0
2025-01-08,BRLS,TRAIN,2025-01-04/2025-01-10,696,4.903125,6.29884,31.847133757960666,-0.7888799410248029,eod,951,-0.7896774225390222,eod,951,-0.7896774225390222,eod,951,1
2025-01-08,BTDR,TRAIN,2025-01-04/2025-01-10,575,4.8781085,19.764114,53.286476692049334,-1.060499247095469,stop,610,-1.0578415302698474,stop,610,-1.0578415302698474,stop,610,1
2025-01-08,CADL,TRAIN,2025-01-04/2025-01-10,639,5.0751934,8.37505,-2.220446049250313e-12,0.13692483725411733,eod,900,0.13692483725411733,eod,900,0.20825000788918108,eod,900,1
2025-01-08,CBRL,TRAIN,2025-01-04/2025-01-10,612,5.641646,56.433796,-3.554784795978261,0.27116582865480104,eod,955,0.27116582865480104,eod,955,0.3424441140438858,eod,955,1
2025-01-08,COE,TRAIN,2025-01-04/2025-01-10,782,5.209372,20.06,5.00000000000167,-0.09580861031314733,eod,959,-0.09580861031314733,eod,959,-0.050271355611764795,eod,959,1
2025-01-08,COEP,TRAIN,2025-01-04/2025-01-10,633,15.796315,6.77025,192.59259259259088,0.19281826813733485,eod,897,0.08161465287542542,eod,897,,nofill,955,0
2025-01-08,CORZW,TRAIN,2025-01-04/2025-01-10,704,5.18874,8.38508,-59.80861244019198,-0.23409524685545713,eod,956,-0.23409524685545713,eod,956,-0.18712195122316402,eod,956,1
2025-01-08,DNA,TRAIN,2025-01-04/2025-01-10,572,4.655676,11.2336,31.249999999998224,-1.0634374737417307,stop,607,-1.0632734530321584,stop,607,-1.0632734530321584,stop,607,1
2025-01-08,DSGR,TRAIN,2025-01-04/2025-01-10,593,2.6599095,34.73389,-28.87669650592062,0.15872259000330224,eod,955,0.15872259000331118,eod,955,0.3057804729523185,eod,955,1
2025-01-08,EHTH,TRAIN,2025-01-04/2025-01-10,657,4.79983,10.22057,29.440628066732533,-0.5116724374895021,eod,955,-0.5116724374895021,eod,955,-0.5111020564299738,eod,955,1
2025-01-08,ELLO,TRAIN,2025-01-04/2025-01-10,716,3.6124256,16.59965,181.2688821752273,-0.3883086761065299,eod,776,-0.5690588194386181,eod,776,,nofill,955,0
2025-01-08,ELVN,TRAIN,2025-01-04/2025-01-10,807,9.267169,23.93158,27.24224643755102,0.03632318865939764,eod,955,0.03632318865939764,eod,955,0.03941298908260364,eod,955,1
2025-01-08,EVCM,TRAIN,2025-01-04/2025-01-10,574,3.9024284,10.50141,90.73543457497557,-0.03028920673234466,eod,955,-0.16081537599586218,eod,955,,nofill,955,0
2025-01-08,EXOD,TRAIN,2025-01-04/2025-01-10,573,1.5165138,39.42793,679.2164843551229,2.0,target,574,-1.2990380954425051,stop,577,,nofill,955,0
2025-01-08,FUBO,TRAIN,2025-01-04/2025-01-10,706,16.915918,5.47638,164.83516483516425,-0.0780810940336639,eod,955,-0.14610000728039682,eod,955,,nofill,955,0
2025-01-08,GRRR,TRAIN,2025-01-04/2025-01-10,571,5.9946194,17.03094,94.22850412249551,-0.15182270745886697,eod,900,-0.23387609931451925,eod,900,,nofill,955,0
2025-01-08,HAIN,TRAIN,2025-01-04/2025-01-10,650,5.9597764,5.47638,45.787545787545625,-0.4514147886805992,eod,955,-0.4655820856409043,eod,955,-0.4655820856409043,eod,955,1
2025-01-08,HIMS,TRAIN,2025-01-04/2025-01-10,575,3.82881,27.75301,119.26273942898469,-1.077353326490477,stop,615,-1.0631417215770262,stop,615,,nofill,955,0
2025-01-08,JNVR,TRAIN,2025-01-04/2025-01-10,659,4.0055547,5.6253257,207.72006143572997,-0.6061291448702797,eod,873,-0.7275389138065181,eod,873,,nofill,955,0
2025-01-08,MODV,TRAIN,2025-01-04/2025-01-10,700,6.4064765,12.60771,-3.9777247414496397,-0.17695141057198177,eod,955,-0.17695141057198177,eod,955,-0.13654545838679064,eod,955,1
2025-01-08,MPLN,TRAIN,2025-01-04/2025-01-10,606,5.813139,12.1363,165.28925619834655,0.19762920238303952,eod,955,-0.02830188716830268,eod,955,,nofill,955,0
2025-01-08,MSTU,TRAIN,2025-01-04/2025-01-10,573,6.721856,10.12027,-4.955401387511937,-1.0436305306153537,stop,723,-1.0436305306153537,stop,723,-1.0455692324735784,stop,723,1
2025-01-08,MSTX,TRAIN,2025-01-04/2025-01-10,573,6.2189765,46.96046,55.55318240068274,-1.0472394490476054,stop,723,-1.0454590971728468,stop,723,-1.0454590971728468,stop,723,1
2025-01-08,MXL,TRAIN,2025-01-04/2025-01-10,816,6.3021674,19.98979,30.105368790767084,0.2740380635921775,eod,900,0.27382539058642535,eod,900,0.27382539058642535,eod,900,1
2025-01-08,MYTE,TRAIN,2025-01-04/2025-01-10,624,8.269948,7.65289,26.21231979030192,-0.2973593721071387,eod,957,-0.2973593721071387,eod,957,-0.294126973156888,eod,957,1
2025-01-08,NIXX,TRAIN,2025-01-04/2025-01-10,604,7.370513,5.84749,-463.1217838765012,-1.0397027299185284,stop,669,-1.0397027299185284,stop,669,-1.0412974596146183,stop,669,1
2025-01-08,NSYS,TRAIN,2025-01-04/2025-01-10,607,3.8332763,10.75216,-438.33955223880673,-1.2951630888039136,stop,658,-1.1984528308906237,stop,771,-1.2150789441130332,stop,771,1
2025-01-08,NTCL,TRAIN,2025-01-04/2025-01-10,662,3.4909468,5.651905,115.35048802129522,2.0,target,720,2.0,target,723,,nofill,955,0
2025-01-08,NVA,TRAIN,2025-01-04/2025-01-10,705,6.3650475,15.49635,-97.08737864077665,-1.0009050151559964,eod,900,-1.0009050151559964,eod,900,-1.000851023086365,eod,900,1
2025-01-08,NVAWW,TRAIN,2025-01-04/2025-01-10,571,5.519045,9.57865,-366.4921465968596,-1.6202729474947266,stop,596,-1.6202729474947266,stop,596,-1.6556999871103735,stop,596,1
2025-01-08,NVD,TRAIN,2025-01-04/2025-01-10,614,5.6405125,27.05091,61.17908787541593,-0.08835426661366179,eod,955,-0.13607677834325788,eod,955,,nofill,955,0
2025-01-08,OCSAW,TRAIN,2025-01-04/2025-01-10,571,1.8329626,6.5195,599.9999999999983,2.0,target,573,-1.0411836737528786,stop,601,,nofill,955,0
2025-01-08,OMCC,TRAIN,2025-01-04/2025-01-10,638,2.9106824,6.50947,397.53466872110897,2.0,target,646,-0.377327104899069,eod,863,,nofill,955,0
2025-01-08,RCAT,TRAIN,2025-01-04/2025-01-10,576,7.3949666,13.09918,-137.9019908116408,-1.039568134547086,stop,590,-1.039568134547086,stop,590,-1.04115169509999,stop,590,1
