day,symbol,entry_m,split,wk,mo,entry,stop,r_pct,adv20,rr_e1c_stored,why_stored,xm_stored,o_i,h_i,l_i,c_i,v_i,gap_through,gap_through_pct,entry_bar_stop_hit,last_m,n_bars,dv5,vol5,shares_100r,notional_100r,notional_frac_dv5,share_frac_vol5,rr_base,why_base,xm_base,rr_g,why_g,xm_g,entry_g,rpct_g,rr_eb,why_eb,xm_eb,rr_s25,why_s25,xm_s25,rr_s50,why_s50,xm_s50,rr_s100,why_s100,xm_s100,rr_eod10,why_eod10,xm_eod10,rr_all,why_all,xm_all,entry_all,rpct_all,max_gap_min,limit_touch_before_exit,limit_touch_m
2025-01-03,QUBT,577,TRAIN,2024-12-28/2025-01-03,2025-01,18.811266,17.75,5.641646,,-1.0167253,stop,614,18.57,18.99,18.5271,18.9199,290540.0,0,-1.2825612056094449,0,900,331,19952322.9352,1060469.0,94.22708350215687,1772.5307321632845,8.88383141110941e-05,8.88541612269259e-05,-1.0167253073216325,stop,614,-1.0167253073216325,stop,614,18.811266,5.6416511254479085,-1.0167253073216325,stop,614,-1.0418132683040808,stop,614,-1.0836265366081652,stop,614,-1.1672530732163269,stop,614,-1.0167253073216325,stop,614,-1.0836265366081652,stop,614,18.811266,5.6416511254479085,1,0,-1
2025-01-03,RGTI,578,TRAIN,2024-12-28/2025-01-03,2025-01,20.06,18.16,9.471585,,-1.0095578,stop,619,19.9,20.2,19.68,20.165,2295525.0,0,-0.7976071784646099,0,900,331,113037024.868,5732001.0,52.63157894736846,1055.7894736842113,9.340209324485663e-06,9.182060321930938e-06,-1.009557894736843,stop,619,-1.009557894736843,stop,619,20.06,9.471585244267192,-1.009557894736843,stop,619,-1.0238947368421056,stop,619,-1.0477894736842113,stop,619,-1.095578947368421,stop,619,-1.009557894736843,stop,619,-1.0477894736842113,stop,619,20.06,9.471585244267192,1,0,-1
2025-01-03,RGTIW,577,TRAIN,2024-12-28/2025-01-03,2025-01,8.8264,7.95,9.929303,,-1.0090712,stop,617,8.765,8.9427,8.765,8.9427,6879.0,0,-0.6956403516722443,0,959,322,375910.16500000004,42524.0,114.10314924691929,1007.1200365130084,0.002679150845822454,0.0026832647269052603,-1.0090712003651303,stop,617,-1.0090712003651303,stop,617,8.8264,9.92930300009063,-1.0090712003651303,stop,617,-1.0226780009128251,stop,617,-1.04535600182565,stop,617,-1.0907120036513012,stop,617,-1.0090712003651303,stop,617,-1.04535600182565,stop,617,8.8264,9.92930300009063,1,0,-1
2025-01-03,SLNG,580,TRAIN,2024-12-28/2025-01-03,2025-01,5.92773,5.73,3.3356783,,2.0,target,847,6.05,6.05,5.91,5.91,2424.0,1,2.0626782933770516,0,847,25,54299.056,8885.0,505.740150710565,2997.8910635715374,0.05521074000939422,0.05692066974795329,2.0,target,847,1.0937500000000038,eod_notape,847,6.05,5.289256198347098,2.0,target,847,2.0,target,847,2.0,target,847,2.0,target,847,2.0,target,847,1.073750000000003,eod_notape,847,6.05,5.289256198347098,50,1,847
2025-01-03,SOUN,575,TRAIN,2024-12-28/2025-01-03,2025-01,20.22048,19.5,3.5631201,,-1.0270653,stop,626,19.9,20.51,19.8,20.48,624936.0,0,-1.5849277564133013,0,900,331,50051700.1991,2410218.0,138.79635798356682,2806.528980679553,5.607260032157746e-05,5.758664070369022e-05,-1.0270652898067965,stop,626,-1.0270652898067965,stop,626,20.22048,3.563120163319558,-1.0270652898067965,stop,626,-1.0676632245169864,stop,626,-1.1353264490339778,stop,626,-1.2706528980679557,stop,626,-1.0270652898067965,stop,626,-1.1353264490339778,stop,626,20.22048,3.563120163319558,1,0,-1
2025-01-03,SPRY,571,TRAIN,2024-12-28/2025-01-03,2025-01,10.74213,10.53,1.974748,,2.0,target,580,11.035,11.41,10.65,10.745,21003.0,1,2.726368048050065,0,959,345,126739.31439999999,11702.0,471.409041625418,5063.937208315651,0.03995553575691153,0.04028448484237036,2.0,target,580,0.3663366336633668,eod,955,11.035,4.5763479836882714,2.0,target,580,2.0,target,580,2.0,target,580,2.0,target,580,2.0,target,580,0.344118811881189,eod,955,11.035,4.5763479836882714,2,1,580
2025-01-03,STFS,576,TRAIN,2024-12-28/2025-01-03,2025-01,8.5255,8.3,2.6450062,,2.0,target,721,8.52,8.755,8.52,8.755,1651.0,0,-0.06451234531698047,0,959,117,245137.283,28138.0,443.4589800443489,3780.7095343680962,0.015422825480072308,0.0157601457120033,2.0,target,721,2.0,target,721,8.5255,2.6450061579965807,2.0,target,721,2.0,target,721,2.0,target,721,2.0,target,721,2.0,target,721,2.0,target,721,8.5255,2.6450061579965807,11,1,721
2025-01-03,UCAR,582,TRAIN,2024-12-28/2025-01-03,2025-01,7.547575,7.0,7.254979,,0.3057572,eod,957,7.384,7.57,7.384,7.57,3520.0,0,-2.1672523956370093,0,957,73,22619.68,2990.0,182.62338492443953,1378.3636944710768,0.06093648073142842,0.061078055158675426,0.30575720220974234,eod,957,0.30575720220974234,eod,957,7.547575,7.254979248301609,0.30575720220974234,eod,957,0.30575720220974234,eod,957,0.30575720220974234,eod,957,0.30575720220974234,eod,957,0.2916678080628216,eod,957,0.2916678080628216,eod,957,7.547575,7.254979248301609,38,0,-1
2025-01-06,ATGL,675,TRAIN,2025-01-04/2025-01-10,2025-01,15.576691,14.561,6.5205784,,-0.13457872,eod,948,15.85,15.85,15.85,15.85,310.0,1,1.7546024377064429,0,948,11,30324.74,1994.0,98.45514039210741,1533.605299249476,0.0505727435502984,0.04937569728791746,-0.1345793159533763,eod_notape,948,-0.31807602792862705,eod_notape,948,15.85,8.132492113564666,-0.1345793159533763,eod_notape,948,-0.1345793159533763,eod_notape,948,-0.1345793159533763,eod_notape,948,-0.1345793159533763,eod_notape,948,-0.1497807896299176,eod_notape,948,-0.330054305663305,eod_notape,948,15.85,8.132492113564666,137,0,-1
2025-01-06,ATLN,643,TRAIN,2025-01-04/2025-01-10,2025-01,5.60677,4.875,13.051543,,2.0,target,675,5.7,5.85,5.7,5.85,368.0,1,1.662811208592463,0,898,50,90584.46,13993.0,136.65495989176927,766.1929294723752,0.008458326400271913,0.009765951539467538,2.0,target,675,1.09090909090909,eod_notape,898,5.7,14.473684210526319,2.0,target,675,2.0,target,675,2.0,target,675,2.0,target,675,2.0,target,675,1.0829090909090904,eod_notape,898,5.7,14.473684210526319,13,1,675
