day,em,xm,symbol,net,wk,split
2025-02-21,623,874,COEP,-1.039363611768568,2025-02-15/2025-02-21,TRAIN
2025-02-21,633,955,ETHD,1.2275559260865359,2025-02-15/2025-02-21,TRAIN
2025-02-24,571,605,GRAL,-1.188914178714054,2025-02-22/2025-02-28,TRAIN
2025-02-24,574,590,AIFF,-1.2758197531963207,2025-02-22/2025-02-28,TRAIN
2025-02-24,574,955,AXGN,-0.14902719425559255,2025-02-22/2025-02-28,TRAIN
2025-02-24,576,955,HE,0.27747474128755223,2025-02-22/2025-02-28,TRAIN
2025-02-25,571,955,AXGN,1.0009346497981106,2025-02-22/2025-02-28,TRAIN
2025-02-25,571,604,BBAI,-1.263738407760568,2025-02-22/2025-02-28,TRAIN
2025-02-25,571,955,TH,0.26014467699396016,2025-02-22/2025-02-28,TRAIN
2025-02-25,573,955,API,0.7852241586836793,2025-02-22/2025-02-28,TRAIN
2025-02-26,571,738,ARHS,-1.1237715800874242,2025-02-22/2025-02-28,TRAIN
2025-02-26,571,955,CWH,-0.32545107336172,2025-02-22/2025-02-28,TRAIN
2025-02-26,571,955,JTAI,0.2505141743360748,2025-02-22/2025-02-28,TRAIN
2025-02-26,572,955,OPCH,0.20183000209678892,2025-02-22/2025-02-28,TRAIN
2025-02-27,571,573,RVMD,-1.5175542102995871,2025-02-22/2025-02-28,TRAIN
2025-02-27,571,764,WLGS,-1.1479919476214546,2025-02-22/2025-02-28,TRAIN
2025-02-27,574,955,GEO,0.7456100082216144,2025-02-22/2025-02-28,TRAIN
2025-02-27,575,679,ATEC,2.0,2025-02-22/2025-02-28,TRAIN
2025-02-28,576,955,ASTS,0.8730466582022192,2025-02-22/2025-02-28,TRAIN
2025-02-28,576,909,MSTX,2.0,2025-02-22/2025-02-28,TRAIN
2025-02-28,576,955,ROBN,0.8890763674124186,2025-02-22/2025-02-28,TRAIN
2025-02-28,577,672,ICUI,-1.1701357673834107,2025-02-22/2025-02-28,TRAIN
2025-03-03,571,575,CYD,-1.1942686396891002,2025-03-01/2025-03-07,TRAIN
2025-03-03,571,793,DAVE,-1.2249253334286483,2025-03-01/2025-03-07,TRAIN
2025-03-03,572,584,IBIO,2.0,2025-03-01/2025-03-07,TRAIN
2025-03-03,573,671,ORGO,-1.2228128076643716,2025-03-01/2025-03-07,TRAIN
2025-03-04,571,758,LTBR,2.0,2025-03-01/2025-03-07,TRAIN
2025-03-04,574,774,GRAL,2.0,2025-03-01/2025-03-07,TRAIN
2025-03-04,574,741,SMCI,2.0,2025-03-01/2025-03-07,TRAIN
2025-03-04,574,737,SMCL,2.0,2025-03-01/2025-03-07,TRAIN
2025-03-05,571,855,NUKK,-1.191376469170774,2025-03-01/2025-03-07,TRAIN
2025-03-05,574,676,WYHG,-1.357845967067515,2025-03-01/2025-03-07,TRAIN
2025-03-05,575,955,DIN,0.5417608913391717,2025-03-01/2025-03-07,TRAIN
2025-03-05,575,955,ROST,0.22626414012207152,2025-03-01/2025-03-07,TRAIN
2025-03-06,571,581,ASTS,-1.2313310644937536,2025-03-01/2025-03-07,TRAIN
2025-03-06,571,955,M,-0.29656808454619066,2025-03-01/2025-03-07,TRAIN
2025-03-06,571,668,PHAT,-1.1493278654516508,2025-03-01/2025-03-07,TRAIN
2025-03-06,571,573,TNXP,2.0,2025-03-01/2025-03-07,TRAIN
2025-03-07,571,694,SMCL,-1.2086792153267993,2025-03-01/2025-03-07,TRAIN
