cell,split,n,per_wk,gross,cost,net,clust_t,green,null_p95,redstreak,worst,total,wk_dollar,mdd,ex5,h1,h2,imputed,mde,note
BF/$20/G3,VAL,46,2.0,0.058618824405355326,0.07417603743591435,-0.015557213030559068,-0.05957212434479881,30.434782608695656,39.130434782608695,4,-449.97794820067696,-71.56317994057162,-3.1114426061118095,-1105.9743802497517,-0.3911855000657552,,-0.015557213030559068,91.30434782608695,0.777157880916267,
BF/$10/X0,TRAIN,464,8.754716981132075,0.014619120079870441,0.07060878559983742,-0.05598966551996698,-0.9462193290403709,37.735849056603776,49.056603773584904,8,-755.7293661678023,-2597.920480126468,-49.017367549556006,-3263.681029539627,-0.1667493218567093,0.0011551474106186043,-0.09852603003220736,98.27586206896551,0.16628725168247233,
BF/$10/X0,VAL,271,11.782608695652174,-0.07940642510994785,0.07593704654365306,-0.15534347165360093,-2.0932090223122124,34.78260869565217,43.47826086956522,5,-850.7837617175044,-4209.8080818125845,-183.0351339918515,-4760.091050282953,-0.27108531752996057,,-0.15534347165360093,98.8929889298893,0.21732994305813777,
BF/$10/G3,TRAIN,453,8.547169811320755,0.12686926719385508,0.07518025370284721,0.05168901349100789,0.5498227969929769,49.056603773584904,50.943396226415096,4,-754.8615819587951,2341.512311142658,44.179477568729396,-1874.5079139312027,-0.2888823248535704,0.0832583226023653,0.02888228827747974,98.23399558498896,0.26688861005455505,
BF/$10/G3,VAL,268,11.652173913043478,-0.09134181678955357,0.08104137910117434,-0.1723831958907279,-2.027435106503749,21.73913043478261,39.130434782608695,11,-994.7903249961283,-4619.869649871509,-200.8638978205004,-5671.71197175997,-0.41283018784051856,,-0.1723831958907279,98.88059701492537,0.25664455542438247,
BF/$5/X0,TRAIN,1004,18.943396226415093,-0.0026184647723094287,0.06730329929041952,-0.06992176406272893,-1.7103215208547569,32.075471698113205,45.28301886792453,5,-1092.0182581060453,-7020.145111897985,-132.45556814901857,-7863.6415145097935,-0.1794795201705195,-0.06701569729302444,-0.07202031313656355,99.20318725099602,0.11414847950496411,
BF/$5/X0,VAL,489,21.26086956521739,-0.0649728938742903,0.07350926875090713,-0.13848216262519744,-2.3940429641249144,26.08695652173913,39.130434782608695,7,-1216.8750466489587,-6771.777752372155,-294.42511966835457,-7134.168530204542,-0.252197502432285,,-0.13848216262519744,99.38650306748467,0.15880179444813894,
BF/$5/G3,TRAIN,956,18.037735849056602,0.11333589835676806,0.07207396994001873,0.04126192841674934,0.5964479684828027,45.28301886792453,54.71698113207547,4,-1055.2003626242854,3944.640356641236,74.42717654040068,-4380.002664173906,-0.31391008301232426,0.008232247508798082,0.06574841317000281,99.16317991631799,0.18440698620038587,
BF/$5/G3,VAL,464,20.17391304347826,-0.07877284988054341,0.07899421410247766,-0.15776706398302107,-2.2060018040530567,26.08695652173913,39.130434782608695,7,-1340.6961244770907,-7320.391768812177,-318.2779029918338,-8214.362358320175,-0.40089635142587243,,-0.15776706398302107,99.35344827586206,0.19608803289293375,
UNION/$20/X0,TRAIN,268,5.056603773584905,0.003902598714572872,0.06448664301730915,-0.06058404430273628,-0.735252459082686,43.39622641509434,49.056603773584904,5,-561.291084238889,-1623.6523873133322,-30.634950704025137,-3262.9822713070366,-0.17292923266148658,-0.06894525810566166,-0.05439457434472657,66.7910447761194,0.217588537643081,
UNION/$20/X0,VAL,158,6.869565217391305,0.09140677683840019,0.06477548484088273,0.026631291997517445,0.24137167945958354,39.130434782608695,56.52173913043478,4,-720.7260834062128,420.7744135607753,18.294539720033708,-1365.1071960636816,-0.07711706787002043,,0.026631291997517445,68.9873417721519,0.28646041317031534,
