pond,rung,geom,split,n,sig,arm_b,bound_u,margin,t_margin,margin_h1,margin_h2,vs_u,t_u,cov_b,cov_u,mde
ORB,5.0,G3,TRAIN,808,-0.03621661230416105,-0.05114708840943035,-0.018973514301495364,0.019423539266046803,0.2756377023884097,-0.09495415004684435,0.09686676640498354,-0.012667957073608925,-0.17027026384708283,0.9962871287128713,0.9962871287128713,0.164600169304102
ORB,5.0,G3,VAL,456,0.28646211673047633,0.08889969591500302,0.07200528825960525,0.20312924790425382,1.5524991824580514,,0.20312924790425382,0.21368959342529267,1.467936632797707,1.0,1.0,0.31206172130285
BF,20.0,X0,TRAIN,90,-0.06018159646598607,-0.12017672086801058,-0.00388347172968759,0.04847522470301464,0.368880009492138,0.11566400024200482,-0.01871355083597555,-0.055639323689022545,-0.4095281867578996,1.0,1.0,0.36500834137095434
BF,20.0,X0,VAL,46,-0.1312282478212744,0.12982539462941337,0.10403091905046562,-0.24366714545648496,-1.577740798289397,,-0.24366714545648496,-0.201466722778439,-1.0438600623249057,1.0,1.0,0.503775477909997
BF,20.0,G3,TRAIN,90,0.06727495330168044,-0.1322282656656232,0.035931404921103215,0.1798904282392668,0.8269333051241388,0.27062096908299454,0.08915988739553911,0.012091361915164548,0.054603880421856786,1.0,1.0,0.6345250803119128
BF,20.0,G3,VAL,46,0.058618824405355305,0.1784873533579076,0.13850739969694917,-0.09995128366685663,-0.3866407244689589,,-0.09995128366685663,-0.038456346662729145,-0.13027018323959214,1.0,1.0,0.800511587480042
BF,10.0,X0,TRAIN,481,-0.009840467628438623,-0.036370458157915654,-0.028446296634483004,0.026773227628529146,0.5000604977980897,-0.01624574273474301,0.05979147794425094,0.024497531560494182,0.41769532461629466,0.9958419958419958,0.997920997920998,0.16442986759716022
BF,10.0,X0,VAL,273,-0.08642427442887027,-0.022974092609884905,0.01050447575197763,-0.044975052160777455,-0.6297506154553495,,-0.044975052160777455,-0.09098938870705033,-1.1863065504005514,0.9926739926739927,1.0,0.222403668299249
BF,10.0,G3,TRAIN,481,0.10444918079892462,-0.023100886719164937,0.03177972968568755,0.1303815078460594,1.4923287403413543,0.020554957436441233,0.21467642476561868,0.05243850712923208,0.531237130109137,0.9958419958419958,0.997920997920998,0.260771392151129
BF,10.0,G3,VAL,273,-0.08749683983179579,0.02151267018660159,0.10258177127581432,-0.08881336255668858,-1.0269422250056086,,-0.08881336255668858,-0.1979669697117342,-2.0704119803895282,0.9926739926739927,1.0,0.27096606409552143
BF,5.0,X0,TRAIN,1106,0.0019945977972770745,-0.03461218611897161,-0.04654945685403823,0.034709991725696394,0.8510931124377994,0.016343289242029855,0.04797323056790456,0.048350165551303996,1.1654846901823674,0.9918625678119349,0.9990958408679927,0.11396665982973896
BF,5.0,X0,VAL,557,-0.06732441032124707,-0.02096120404745748,0.023533189688156004,-0.05519056332437761,-0.9878715957162466,,-0.05519056332437761,-0.09095569466691782,-1.707867746359915,0.9946140035906643,1.0,0.1562793827394692
BF,5.0,G3,TRAIN,1106,0.12009809689530296,-0.01458625608450179,0.020471102314352424,0.1333173133164924,2.037499085546545,0.057499325062443374,0.18806813685944776,0.09341739518571918,1.43395497072319,0.9918625678119349,0.9990958408679927,0.1790380744468712
BF,5.0,G3,VAL,557,-0.049231611810794204,0.018528968077622637,0.0726236312751372,-0.07194736629901669,-0.970026558424361,,-0.07194736629901669,-0.1333731633517865,-1.8129359805888474,0.9946140035906643,1.0,0.19511605454696926
UNION,20.0,X0,TRAIN,268,0.00390259871457288,-0.08096236789978242,-0.07161401072071982,0.08662744126343355,1.0349925673004305,0.07726249138836204,0.09349912526267434,0.07442107591921596,0.8731124389038423,0.996268656716418,0.996268656716418,0.21786744694410431
UNION,20.0,X0,VAL,161,0.10810839314299865,0.0457877704063872,0.004396759689032337,0.0643999109048799,0.6577256162514429,,0.0643999109048799,0.09910323411648173,0.9241643962631824,1.0,1.0,0.2738774168760306
UNION,20.0,G3,TRAIN,268,0.012567227626798277,-0.05317351956656379,-0.02833497121350234,0.0667138069800971,0.5853531419118505,0.06110100609067631,0.07083229074960716,0.03375903490580934,0.28547879303870966,0.996268656716418,0.996268656716418,0.3250467684335839
UNION,20.0,G3,VAL,161,0.20946324901414132,0.08833268106937489,0.06910237871520467,0.12224714707569342,1.03010505780922,,0.12224714707569342,0.13467910041924655,1.0013578268308438,1.0,1.0,0.36052191559497937
UNION,10.0,X0,TRAIN,882,-0.017568451429104792,-0.04839198352238127,-0.056216091940307654,0.02874144139487877,0.6228737907016075,-0.03088384795936633,0.07088436435593745,0.03272770532482922,0.7050683848691291,0.9965986394557823,0.9977324263038548,0.11992401848983976
UNION,10.0,X0,VAL,549,0.03097734591749542,0.001861387549869161,-0.000519632467086757,0.04691782748723073,0.9083765391630501,,0.04691782748723073,0.030969514323497288,0.5149664291345468,0.9963570127504554,1.0,0.15049754713868976
UNION,10.0,G3,TRAIN,882,0.04987162028024798,-0.016690734629673885,0.004658851111542811,0.0687851411123304,1.1156263749109128,-0.05396850822471629,0.1555469437505537,0.023994648027687533,0.34106712521406035,0.9965986394557823,0.9977324263038548,0.1772428568898946
UNION,10.0,G3,VAL,549,0.09001929056622412,0.058425421362376835,0.0779391619664328,0.05119803541011884,0.6710804252831059,,0.05119803541011884,-0.0022766182615637683,-0.0247692146884567,0.9963570127504554,1.0,0.19569128040886738
UNION,5.0,X0,TRAIN,1809,-0.029382839639845556,-0.059456406498076396,-0.05918544794836657,0.024512700312944585,0.7159679403779685,0.006373089844161191,0.03730499433074065,0.023824857580118982,0.696884568370538,0.9944720840243229,0.9983416252072969,0.08589258018811374
UNION,5.0,X0,VAL,973,0.028916492857482507,0.004015811883930741,0.00869052941819466,0.027936134622326973,0.6210059469465432,,0.027936134622326973,0.01468756471552666,0.2939786482634933,0.9969167523124358,1.0,0.11549350278697655
UNION,5.0,G3,TRAIN,1809,0.06460491938029082,-0.03502604052352626,-0.002888278695882687,0.09281700092490656,1.813822534987111,0.008549013932664704,0.15224390360000417,0.05448255403565789,1.0459507377105923,0.9944720840243229,0.9983416252072969,0.12890981101457857
UNION,5.0,G3,VAL,973,0.10332085965024555,0.0624467344991425,0.072472602726895,0.049012419117338245,0.6865962368386873,,0.049012419117338245,0.020835647461038075,0.2461143724140235,0.9969167523124358,1.0,0.18111516362527927
