day,symbol,entry_m,rr_X0,why_X0,xm_X0,rr_G3,why_G3,xm_G3
2025-02-14,EHTH,779,-1.0530097087378665,stop,793,-1.0530097087378665,stop,793
2025-02-14,TDOC,672,-1.0460624999999992,stop,680,-1.0460624999999992,stop,680
2025-02-14,UDMY,578,2.0,target,615,2.437499999999998,eod,955
2025-02-18,CPS,587,2.0,target,836,3.7073170731707292,eod,955
2025-02-18,CSAI,577,-1.005890410958904,stop,596,-1.005890410958904,stop,596
2025-02-18,INLF,577,-1.2006848413011972,stop,595,-1.2006848413011972,stop,595
2025-02-18,LTBR,584,-1.0192781456953637,stop,601,-1.0192781456953637,stop,601
2025-02-18,MUU,666,2.0,target,925,1.431818181818195,eod,955
2025-02-18,PCLA,583,-1.0303088803088816,stop,587,-1.0303088803088816,stop,587
2025-02-18,PGY,577,-1.0136764637993385,stop,612,-1.0136764637993385,stop,612
2025-02-18,PONY,768,-1.0427619047619017,stop,804,-1.0427619047619017,stop,804
2025-02-18,PSNL,578,-1.0155945945945948,stop,813,-1.0155945945945948,stop,813
2025-02-18,SKBL,586,2.0,target,613,3.4081481481481437,eod,955
2025-02-18,SPCB,577,2.0,target,649,-0.09465517241379329,eod,899
2025-02-18,STAA,804,0.16853932584269493,eod,955,0.16853932584269493,eod,955
2025-02-18,UNG,792,1.0851063829787368,eod,955,1.0851063829787368,eod,955
2025-02-18,ZETA,580,-1.0263684210526318,stop,819,-1.0263684210526318,stop,819
2025-02-19,ARQQ,705,-1.0724045708728391,stop,742,-1.0724045708728391,stop,742
2025-02-19,DOYU,670,-1.1467441860465084,stop,783,-1.1467441860465084,stop,783
2025-02-19,SERV,641,-1.0229734391169372,stop,927,-1.0229734391169372,stop,927
2025-02-19,SKBL,582,-1.0242120343839538,stop,590,-1.0242120343839538,stop,590
2025-02-20,BHC,602,-0.4657014822475013,eod,930,-0.4657014822475013,eod,930
2025-02-20,CADL,580,2.0,target,621,0.07630345635617948,eod,955
2025-02-20,LUNG,586,-1.0152757078986594,stop,855,-1.0152757078986594,stop,855
2025-02-20,PLTD,600,-1.0271754385964909,stop,619,-1.0271754385964909,stop,619
2025-02-20,SPCB,586,-1.0322455089820384,stop,600,-1.0322455089820384,stop,600
2025-02-20,TPC,578,-1.0216605504587168,stop,662,-1.0216605504587168,stop,662
2025-02-20,U,631,1.4795918367346925,eod,955,1.4795918367346925,eod,955
2025-02-20,VNET,580,-1.023181818181818,stop,588,-1.023181818181818,stop,588
2025-02-20,YRD,580,-1.0325531914893615,stop,583,-1.0325531914893615,stop,583
2025-02-21,BILI,608,-1.0447436849925726,stop,630,-1.0447436849925726,stop,630
2025-02-21,DOYU,580,2.0,target,655,1.6111111111111138,eod,900
2025-02-21,FUFU,579,-0.20827134781315165,eod,893,-0.20827134781315165,eod,893
2025-02-21,PCLA,605,-1.013828125000001,stop,692,-1.013828125000001,stop,692
2025-02-24,RIGL,583,-1.0534898410359006,stop,653,-1.0534898410359006,stop,653
2025-02-25,AARD,626,-1.0591379310344828,stop,661,-1.0591379310344828,stop,661
2025-02-25,AHCO,584,0.08602150537634196,eod,955,0.08602150537634196,eod,955
2025-02-25,CVRX,601,-1.058030534351145,stop,630,-1.058030534351145,stop,630
2025-02-25,DOMH,719,-1.0203686741470135,stop,724,-1.0203686741470135,stop,724
2025-02-26,ASTS,590,-1.0261015406793392,stop,718,-1.0261015406793392,stop,718
2025-02-26,FUFU,624,-1.0210434782608684,stop,659,-1.0210434782608684,stop,659
2025-02-26,GRRR,578,-1.0192457627118645,stop,628,-1.0192457627118645,stop,628
2025-02-26,ORIC,588,-1.0476153846153857,stop,699,-1.0476153846153857,stop,699
