day,symbol,entry_m,rr,why
2025-01-31,IONQ,594,0.22663068181818244,pp+stop
2025-01-31,QMCO,619,1.25,pp+target
2025-01-31,HIMS,621,0.2053867548016971,pp+stop
2025-01-31,NAMS,627,0.2084363636363608,pp+stop
2025-01-31,SMR,629,1.2499999999999982,pp+target
2025-01-31,OKLO,673,0.21211016949152392,pp+stop
2025-01-31,BEN,725,0.207049019607843,pp+stop
2025-01-31,YANG,811,0.20599112426035524,pp+stop
2025-02-03,NNE,578,0.23080208333333663,pp+stop
2025-02-03,MSTX,579,0.23449801247077184,pp+stop
2025-02-03,TLN,579,0.22343364928909754,pp+stop
2025-02-03,VRNA,583,-1.0459439999999973,stop
2025-02-03,ENPH,588,-1.0764938271604925,stop
2025-02-03,ALAB,594,0.22678287841190936,pp+stop
2025-02-03,PLAY,594,1.25,pp+target
2025-02-03,GDXU,597,0.20667708333333437,pp+stop
2025-02-03,RIOX,611,0.22152777777777993,pp+stop
2025-02-03,BITU,617,1.2500000000000036,pp+target
2025-02-03,BITX,617,1.2500000000000029,pp+target
2025-02-03,TSLQ,618,-1.097481890307001,stop
2025-02-04,IONQ,578,-1.0450442017680688,stop
2025-02-04,UBRL,578,0.5241535920726659,pp+eod
2025-02-04,DAVE,580,-1.0414180672268896,stop
2025-02-04,SWTX,580,1.2499999999999982,pp+target
2025-02-04,OILU,587,0.8487341772151915,pp+eod
2025-02-04,NVDU,604,0.20598726114649285,pp+stop
2025-02-04,INSW,629,0.20673404255319283,pp+stop
2025-02-04,MP,654,0.21101639344262524,pp+stop
2025-02-04,HIMS,666,-1.0632178988326901,stop
2025-02-04,PBF,717,0.20592647058823976,pp+stop
2025-02-04,CTS,837,-1.085441441441446,stop
2025-02-05,GRAL,584,1.2499999999999991,pp+target
2025-02-05,MWA,586,0.21721052631578758,pp+stop
2025-02-05,AAOI,590,1.25,pp+target
2025-02-05,ATEN,601,0.8928571428571493,pp+eod
2025-02-05,HIMS,617,-1.0529756097560936,stop
2025-02-05,LABU,623,0.21074031007751454,pp+stop
2025-02-05,KLIC,631,0.18111111111111033,pp+stop
2025-02-05,MIRM,666,-1.0426741130091994,stop
2025-02-05,TEM,725,0.22817187499999916,pp+stop
2025-02-05,AMTM,778,-0.10810810810810552,eod
2025-02-06,ENTG,579,0.235155555555555,pp+stop
2025-02-06,DGII,580,1.25,pp+target
2025-02-06,PLTU,586,1.25,pp+target
2025-02-06,PTIR,586,1.25,pp+target
2025-02-06,PLTR,610,1.25,pp+target
2025-02-06,ACMR,615,1.25,pp+target
2025-02-06,IDCC,653,0.21133546617915677,pp+stop
2025-02-06,ALGT,666,-1.0905051546391735,stop
2025-02-06,AOSL,685,0.21062264150943666,pp+stop
2025-02-06,MPLN,699,0.23758620689655308,pp+stop
2025-02-06,NTGR,805,0.1913281250000008,pp+stop
