book,cell,label,split,n,n_weeks,tr_per_wk,green_pct,flat_pct,red_pct,green_wks,flat_wks,red_streak,worst_wk,best_wk,mo_green_pct,worst_mo,mdd,pnl,wr,top1_share,top5_share,top10_share,wk_traded_pct
ORB,E2a,E2 50% @ +0.50R + BE,TRAIN,105,53,1.9811320754716981,41.509433962264154,35.84905660377358,22.641509433962263,22,19,3,-317.7934787493338,469.50284995765435,83.33333333333334,-95.93875877207691,-588.6358510790201,2339.196513900294,41.904761904761905,0.18205133598615567,0.7546166861954337,1.2641207500039668,75.47169811320755
ORB,E2a,E2 50% @ +0.50R + BE,VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,4,-354.763157419682,589.89985783832,60.0,-601.2459414528232,-703.5785855353233,488.2288477185942,30.18867924528302,1.1554650253245329,2.61128198243657,3.6296946598659066,78.26086956521739
ORB,E2b,E2 50% @ +1.00R + BE,TRAIN,105,53,1.9811320754716981,39.62264150943396,35.84905660377358,24.528301886792452,21,19,2,-262.9310627493336,644.1445225890513,91.66666666666666,-141.10034331407468,-551.4204451864739,3541.4830914755084,38.095238095238095,0.1362829069299949,0.5710799821796458,0.9578729247948926,75.47169811320755
ORB,E2b,E2 50% @ +1.00R + BE,VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,4,-337.6383531424998,1081.0493860822398,60.0,-433.6508942628229,-522.1801888453224,1513.6996198625166,30.18867924528302,0.40611692361339635,0.9199219416331799,1.2874885190455918,78.26086956521739
ORB,E2c,E2 50% @ +1.50R + BE,TRAIN,105,53,1.9811320754716981,39.62264150943396,35.84905660377358,24.528301886792452,21,19,2,-372.5946267054276,1308.7547029993334,83.33333333333334,-44.26406658822629,-500.8856971864734,5178.374261429191,35.23809523809524,0.10417041012806748,0.4402430888087565,0.7391421494652509,75.47169811320755
ORB,E2c,E2 50% @ +1.50R + BE,VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-337.6383531424998,1248.94065009224,80.0,-54.829692664823426,-489.1654050560701,2314.176035502515,28.30188679245283,0.2875091167162894,0.6947249460641061,0.980291947992937,78.26086956521739
ORB,E3,E3 50% @ +1R + 0.5R trail,TRAIN,105,53,1.9811320754716981,39.62264150943396,35.84905660377358,24.528301886792452,21,19,2,-262.82263412335686,521.763389053054,83.33333333333334,-272.7813209902724,-687.8749680724729,2576.5068406085725,38.095238095238095,0.19051494109070222,0.5940133185797535,0.9643738250706976,75.47169811320755
ORB,E3,E3 50% @ +1R + 0.5R trail,VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-337.6383531424998,811.4927566181609,60.0,-335.6855356848232,-600.2073309313237,639.5536442724356,30.18867924528302,0.3626667825691617,0.9925814861429582,1.5769200840285056,78.26086956521739
ORB,E4a,E4 time box (short),TRAIN,105,53,1.9811320754716981,32.075471698113205,35.84905660377358,32.075471698113205,17,19,3,-225.77034417390504,1127.9387926808881,75.0,-43.75353041733191,-537.0412819119965,3767.3820477660474,32.38095238095238,0.2304128693112178,0.7839796896175173,1.2346173929366266,75.47169811320755
ORB,E4a,E4 time box (short),VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,6,-366.7719499396818,1619.8880129840006,60.0,-475.9669410956809,-532.5959495196804,2055.4944776456346,22.641509433962266,0.786145172481744,1.4746491321007407,1.689518157232452,78.26086956521739
